,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
6,0.0001,0.01,multiplicative,2.01,102.05231344064194
55,0.0051,0.01,multiplicative,0.01,123.57664853132317
97,0.0051,8.01,multiplicative,4.01,123.94558200605495
109,0.0101,0.01,multiplicative,8.01,128.76059678356611
67,0.0051,2.01,multiplicative,4.01,130.50536579537422
137,0.0101,6.009999999999999,multiplicative,4.01,130.52384914142849
119,0.0101,2.01,multiplicative,8.01,130.8603987091729
116,0.0101,2.01,multiplicative,2.01,131.04415838691864
127,0.0101,4.01,multiplicative,4.01,131.49625408480048
117,0.0101,2.01,multiplicative,4.01,131.51119774389656
118,0.0101,2.01,multiplicative,6.009999999999999,131.69212440219394
135,0.0101,6.009999999999999,multiplicative,0.01,132.10488210262147
128,0.0101,4.01,multiplicative,6.009999999999999,132.47425476859172
125,0.0101,4.01,multiplicative,0.01,132.95479572341407
129,0.0101,4.01,multiplicative,8.01,133.1190971010795
139,0.0101,6.009999999999999,multiplicative,8.01,133.1360153675713
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,133.1542099362139
136,0.0101,6.009999999999999,multiplicative,2.01,133.35702503010626
148,0.0101,8.01,multiplicative,6.009999999999999,133.66542624223274
147,0.0101,8.01,multiplicative,4.01,133.7071421153939
146,0.0101,8.01,multiplicative,2.01,133.76668991659548
106,0.0101,0.01,multiplicative,2.01,133.8468559855011
145,0.0101,8.01,multiplicative,0.01,133.92864425817928
126,0.0101,4.01,multiplicative,2.01,134.01879362348905
95,0.0051,8.01,multiplicative,0.01,134.02089680414406
85,0.0051,6.009999999999999,multiplicative,0.01,134.02961067880514
65,0.0051,2.01,multiplicative,0.01,134.08844083421377
75,0.0051,4.01,multiplicative,0.01,134.1203732607691
149,0.0101,8.01,multiplicative,8.01,134.31776633850973
115,0.0101,2.01,multiplicative,0.01,134.41971975686553
9,0.0001,0.01,multiplicative,8.01,134.45358132155118
105,0.0101,0.01,multiplicative,0.01,134.52691829526697
59,0.0051,0.01,multiplicative,8.01,134.61763480484555
58,0.0051,0.01,multiplicative,6.009999999999999,134.6177059490163
57,0.0051,0.01,multiplicative,4.01,134.61784577426533
56,0.0051,0.01,multiplicative,2.01,134.62055777769467
108,0.0101,0.01,multiplicative,6.009999999999999,135.1566762078642
76,0.0051,4.01,multiplicative,2.01,135.31255081717336
66,0.0051,2.01,multiplicative,2.01,135.376816002272
69,0.0051,2.01,multiplicative,8.01,135.38288398134182
68,0.0051,2.01,multiplicative,6.009999999999999,135.3844011892749
107,0.0101,0.01,multiplicative,4.01,135.4547264779001
87,0.0051,6.009999999999999,multiplicative,4.01,135.48343811262728
86,0.0051,6.009999999999999,multiplicative,2.01,135.4838629745379
78,0.0051,4.01,multiplicative,6.009999999999999,135.48401660988787
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,135.48402070060018
79,0.0051,4.01,multiplicative,8.01,135.48422744935692
89,0.0051,6.009999999999999,multiplicative,8.01,135.4847236397831
77,0.0051,4.01,multiplicative,4.01,135.48477982076216
96,0.0051,8.01,multiplicative,2.01,135.48996643138793
98,0.0051,8.01,multiplicative,6.009999999999999,135.4905761538604
99,0.0051,8.01,multiplicative,8.01,135.4912625514524
35,0.0001,6.009999999999999,multiplicative,0.01,137.32653018020835
45,0.0001,8.01,multiplicative,0.01,138.64945310096402
5,0.0001,0.01,multiplicative,0.01,141.8147152534709
36,0.0001,6.009999999999999,multiplicative,2.01,142.38321842953724
26,0.0001,4.01,multiplicative,2.01,143.10434792818648
46,0.0001,8.01,multiplicative,2.01,143.99337874931405
29,0.0001,4.01,multiplicative,8.01,145.7524836002629
25,0.0001,4.01,multiplicative,0.01,145.9197937542647
39,0.0001,6.009999999999999,multiplicative,8.01,147.29517127853882
16,0.0001,2.01,multiplicative,2.01,148.810107679146
15,0.0001,2.01,multiplicative,0.01,148.87141310462098
7,0.0001,0.01,multiplicative,4.01,150.26334260952024
17,0.0001,2.01,multiplicative,4.01,150.90707419349533
49,0.0001,8.01,multiplicative,8.01,157.40128913385544
