,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
126,0.0101,4.01,multiplicative,2.01,133.36842105792397
127,0.0101,4.01,multiplicative,4.01,133.96743381771068
128,0.0101,4.01,multiplicative,6.009999999999999,134.17252496866976
147,0.0101,8.01,multiplicative,4.01,134.29110025456242
137,0.0101,6.009999999999999,multiplicative,4.01,134.33891056086796
146,0.0101,8.01,multiplicative,2.01,134.5150537254161
115,0.0101,2.01,multiplicative,0.01,134.94355717650237
149,0.0101,8.01,multiplicative,8.01,135.00552621818574
136,0.0101,6.009999999999999,multiplicative,2.01,135.0200633181327
116,0.0101,2.01,multiplicative,2.01,135.1164270806869
117,0.0101,2.01,multiplicative,4.01,135.12096706605647
118,0.0101,2.01,multiplicative,6.009999999999999,135.16415373713562
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,135.2252841601984
129,0.0101,4.01,multiplicative,8.01,135.60300889554907
148,0.0101,8.01,multiplicative,6.009999999999999,135.63284270630615
120,0.0101,4.01,additive,0.01,135.66951348804042
130,0.0101,6.009999999999999,additive,0.01,135.68583760910562
119,0.0101,2.01,multiplicative,8.01,135.74261777846417
135,0.0101,6.009999999999999,multiplicative,0.01,135.7631482257386
139,0.0101,6.009999999999999,multiplicative,8.01,135.90650280018744
125,0.0101,4.01,multiplicative,0.01,136.0502051535283
142,0.0101,8.01,additive,4.01,137.47952274519673
113,0.0101,2.01,additive,6.009999999999999,137.48431971611947
110,0.0101,2.01,additive,0.01,137.51553923881167
140,0.0101,8.01,additive,0.01,137.51709209485495
111,0.0101,2.01,additive,2.01,137.5793448731232
121,0.0101,4.01,additive,2.01,137.60612309664873
100,0.0101,0.01,additive,0.01,137.77155479233093
105,0.0101,0.01,multiplicative,0.01,137.84246922918777
106,0.0101,0.01,multiplicative,2.01,138.14194197791292
108,0.0101,0.01,multiplicative,6.009999999999999,138.17464150313256
109,0.0101,0.01,multiplicative,8.01,138.4265119308993
102,0.0101,0.01,additive,4.01,138.48191076479387
141,0.0101,8.01,additive,2.01,139.36864218486707
107,0.0101,0.01,multiplicative,4.01,139.5003877881445
143,0.0101,8.01,additive,6.009999999999999,139.61748766501856
112,0.0101,2.01,additive,4.01,139.65217134222135
122,0.0101,4.01,additive,4.01,139.8634794595888
123,0.0101,4.01,additive,6.009999999999999,139.9256964378417
133,0.0101,6.009999999999999,additive,6.009999999999999,140.1459491619953
145,0.0101,8.01,multiplicative,0.01,140.21667718118786
131,0.0101,6.009999999999999,additive,2.01,140.2675169982654
132,0.0101,6.009999999999999,additive,4.01,140.28490554420694
144,0.0101,8.01,additive,8.01,140.43046515199248
134,0.0101,6.009999999999999,additive,8.01,140.53472934018484
101,0.0101,0.01,additive,2.01,141.20338520420123
45,0.0001,8.01,multiplicative,0.01,145.8616753017614
35,0.0001,6.009999999999999,multiplicative,0.01,145.8617975779678
124,0.0101,4.01,additive,8.01,145.86197218174794
25,0.0001,4.01,multiplicative,0.01,145.86200799365926
15,0.0001,2.01,multiplicative,0.01,145.86369447680775
98,0.0051,8.01,multiplicative,6.009999999999999,146.70522321320325
85,0.0051,6.009999999999999,multiplicative,0.01,147.2899755484012
89,0.0051,6.009999999999999,multiplicative,8.01,147.99749120324026
46,0.0001,8.01,multiplicative,2.01,148.08069868698783
36,0.0001,6.009999999999999,multiplicative,2.01,148.0809756842751
26,0.0001,4.01,multiplicative,2.01,148.08169518051503
16,0.0001,2.01,multiplicative,2.01,148.08570686902374
114,0.0101,2.01,additive,8.01,148.19443731127686
95,0.0051,8.01,multiplicative,0.01,148.34724428287464
75,0.0051,4.01,multiplicative,0.01,148.47857161067256
86,0.0051,6.009999999999999,multiplicative,2.01,148.57429912005452
97,0.0051,8.01,multiplicative,4.01,149.6623613612362
10,0.0001,2.01,additive,0.01,150.14864373725217
20,0.0001,4.01,additive,0.01,150.14865483997056
30,0.0001,6.009999999999999,additive,0.01,150.14865705821722
40,0.0001,8.01,additive,0.01,150.14865764804864
103,0.0101,0.01,additive,6.009999999999999,150.23900672551903
78,0.0051,4.01,multiplicative,6.009999999999999,150.31313067236835
104,0.0101,0.01,additive,8.01,150.3927762056737
50,0.0051,0.01,additive,0.01,150.44307613851362
65,0.0051,2.01,multiplicative,0.01,150.485222697399
99,0.0051,8.01,multiplicative,8.01,150.61424492961794
0,0.0001,0.01,additive,0.01,150.65696552381553
5,0.0001,0.01,multiplicative,0.01,150.6937214222118
87,0.0051,6.009999999999999,multiplicative,4.01,150.91634551074597
77,0.0051,4.01,multiplicative,4.01,151.09050351152865
79,0.0051,4.01,multiplicative,8.01,151.1017414421844
76,0.0051,4.01,multiplicative,2.01,151.18283904713553
96,0.0051,8.01,multiplicative,2.01,151.2484374899989
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,151.30959530864732
67,0.0051,2.01,multiplicative,4.01,151.4333333560903
68,0.0051,2.01,multiplicative,6.009999999999999,151.53384130751198
69,0.0051,2.01,multiplicative,8.01,152.0749651614688
66,0.0051,2.01,multiplicative,2.01,152.12584003649408
80,0.0051,6.009999999999999,additive,0.01,152.7161070714802
90,0.0051,8.01,additive,0.01,152.71682893633954
70,0.0051,4.01,additive,0.01,152.72664010810368
61,0.0051,2.01,additive,2.01,152.79106294906313
58,0.0051,0.01,multiplicative,6.009999999999999,152.8863051251426
60,0.0051,2.01,additive,0.01,153.0807465426152
55,0.0051,0.01,multiplicative,0.01,153.8129544609157
17,0.0001,2.01,multiplicative,4.01,153.81590059362696
37,0.0001,6.009999999999999,multiplicative,4.01,153.81593343995763
47,0.0001,8.01,multiplicative,4.01,153.8159787486716
27,0.0001,4.01,multiplicative,4.01,153.81618827078353
62,0.0051,2.01,additive,4.01,153.92509792345695
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,154.540212960008
57,0.0051,0.01,multiplicative,4.01,154.5840636832205
28,0.0001,4.01,multiplicative,6.009999999999999,154.62377265298122
81,0.0051,6.009999999999999,additive,2.01,154.7152230220835
