,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
87,0.0051,6.009999999999999,multiplicative,4.01,2026825165488.2786
97,0.0051,8.01,multiplicative,4.01,5689339768413.313
96,0.0051,8.01,multiplicative,2.01,5691557609550.139
89,0.0051,6.009999999999999,multiplicative,8.01,5695756355303.709
99,0.0051,8.01,multiplicative,8.01,5704909029341.097
98,0.0051,8.01,multiplicative,6.009999999999999,5706801848584.838
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,5708814757556.346
86,0.0051,6.009999999999999,multiplicative,2.01,5713605529670.14
85,0.0051,6.009999999999999,multiplicative,0.01,5969978448687.0205
95,0.0051,8.01,multiplicative,0.01,6005104600415.686
69,0.0051,2.01,multiplicative,8.01,6216811191535.38
68,0.0051,2.01,multiplicative,6.009999999999999,6216909517891.053
67,0.0051,2.01,multiplicative,4.01,6217765685322.51
66,0.0051,2.01,multiplicative,2.01,6217920944220.485
75,0.0051,4.01,multiplicative,0.01,6266719657359.477
79,0.0051,4.01,multiplicative,8.01,6292874037117.284
78,0.0051,4.01,multiplicative,6.009999999999999,6292910372150.494
76,0.0051,4.01,multiplicative,2.01,6293238892056.913
77,0.0051,4.01,multiplicative,4.01,6294583248934.915
57,0.0051,0.01,multiplicative,4.01,7312359938867.909
59,0.0051,0.01,multiplicative,8.01,7312453149917.226
56,0.0051,0.01,multiplicative,2.01,7312945108923.648
58,0.0051,0.01,multiplicative,6.009999999999999,7313269933667.678
127,0.0101,4.01,multiplicative,4.01,7321065050877.652
146,0.0101,8.01,multiplicative,2.01,9267751125569.273
148,0.0101,8.01,multiplicative,6.009999999999999,9327618155478.936
149,0.0101,8.01,multiplicative,8.01,9329179578932.857
119,0.0101,2.01,multiplicative,8.01,9348224324863.514
118,0.0101,2.01,multiplicative,6.009999999999999,9360476534996.377
109,0.0101,0.01,multiplicative,8.01,9387707950038.334
116,0.0101,2.01,multiplicative,2.01,9475085408416.354
147,0.0101,8.01,multiplicative,4.01,9590872725509.5
135,0.0101,6.009999999999999,multiplicative,0.01,9676260647748.14
126,0.0101,4.01,multiplicative,2.01,9714576628348.957
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,9778084682104.412
137,0.0101,6.009999999999999,multiplicative,4.01,9796748090512.488
128,0.0101,4.01,multiplicative,6.009999999999999,9819681694522.43
129,0.0101,4.01,multiplicative,8.01,9822193726857.303
117,0.0101,2.01,multiplicative,4.01,9835622445827.021
136,0.0101,6.009999999999999,multiplicative,2.01,9899597298021.195
139,0.0101,6.009999999999999,multiplicative,8.01,9920880937353.15
108,0.0101,0.01,multiplicative,6.009999999999999,9947714813379.531
145,0.0101,8.01,multiplicative,0.01,10184895435539.012
125,0.0101,4.01,multiplicative,0.01,10367331042372.797
107,0.0101,0.01,multiplicative,4.01,10429919415710.773
105,0.0101,0.01,multiplicative,0.01,10818072918966.625
50,0.0051,0.01,additive,0.01,11105914362475.219
115,0.0101,2.01,multiplicative,0.01,11134834140510.242
106,0.0101,0.01,multiplicative,2.01,11157393278173.275
53,0.0051,0.01,additive,6.009999999999999,11839421597309.293
65,0.0051,2.01,multiplicative,0.01,11951878561544.266
55,0.0051,0.01,multiplicative,0.01,13048522792491.51
80,0.0051,6.009999999999999,additive,0.01,15184499773087.592
101,0.0101,0.01,additive,2.01,16677030695920.041
52,0.0051,0.01,additive,4.01,16777615244101.195
102,0.0101,0.01,additive,4.01,16887021239015.414
104,0.0101,0.01,additive,8.01,16943863524732.203
