,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
120,0.0101,4.01,additive,0.01,4.459436008487601
140,0.0101,8.01,additive,0.01,4.48132208331486
110,0.0101,2.01,additive,0.01,4.524233676811222
130,0.0101,6.009999999999999,additive,0.01,4.557312149482703
141,0.0101,8.01,additive,2.01,4.570405852946087
122,0.0101,4.01,additive,4.01,4.7313793053109165
112,0.0101,2.01,additive,4.01,4.783926997846893
142,0.0101,8.01,additive,4.01,4.8090835756332035
132,0.0101,6.009999999999999,additive,4.01,4.834488312329236
143,0.0101,8.01,additive,6.009999999999999,4.884195630423712
114,0.0101,2.01,additive,8.01,4.888567551590335
113,0.0101,2.01,additive,6.009999999999999,4.94561745510809
134,0.0101,6.009999999999999,additive,8.01,4.948315480480662
131,0.0101,6.009999999999999,additive,2.01,4.980997692209187
133,0.0101,6.009999999999999,additive,6.009999999999999,4.988786481100531
121,0.0101,4.01,additive,2.01,5.01601239940547
123,0.0101,4.01,additive,6.009999999999999,5.025330806890886
124,0.0101,4.01,additive,8.01,5.036699179039248
111,0.0101,2.01,additive,2.01,5.091573343056892
144,0.0101,8.01,additive,8.01,5.170012714727992
137,0.0101,6.009999999999999,multiplicative,4.01,6.1665336172728535
118,0.0101,2.01,multiplicative,6.009999999999999,6.198314132296394
126,0.0101,4.01,multiplicative,2.01,6.250357272783449
136,0.0101,6.009999999999999,multiplicative,2.01,6.261911845657332
127,0.0101,4.01,multiplicative,4.01,6.274966561135721
119,0.0101,2.01,multiplicative,8.01,6.287553813385994
148,0.0101,8.01,multiplicative,6.009999999999999,6.302474999139048
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,6.316787019441306
139,0.0101,6.009999999999999,multiplicative,8.01,6.366413748385041
146,0.0101,8.01,multiplicative,2.01,6.373324105876816
147,0.0101,8.01,multiplicative,4.01,6.4434944072841205
149,0.0101,8.01,multiplicative,8.01,6.557320567556719
116,0.0101,2.01,multiplicative,2.01,6.557874747078776
117,0.0101,2.01,multiplicative,4.01,6.586740106302066
128,0.0101,4.01,multiplicative,6.009999999999999,6.710190128594936
129,0.0101,4.01,multiplicative,8.01,6.823250513649134
125,0.0101,4.01,multiplicative,0.01,7.014498665706286
115,0.0101,2.01,multiplicative,0.01,7.0670319306897555
145,0.0101,8.01,multiplicative,0.01,7.120199495290142
135,0.0101,6.009999999999999,multiplicative,0.01,7.125269235930027
100,0.0101,0.01,additive,0.01,7.42062178942619
102,0.0101,0.01,additive,4.01,8.340329430683243
103,0.0101,0.01,additive,6.009999999999999,8.430619803376416
101,0.0101,0.01,additive,2.01,8.445308440279073
