,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
26,0.0001,4.01,multiplicative,2.01,0.29148097227791037
2,0.0001,0.01,additive,4.01,0.4340863482329468
16,0.0001,2.01,multiplicative,2.01,1.8909756709572871
17,0.0001,2.01,multiplicative,4.01,1.9804768851570238
15,0.0001,2.01,multiplicative,0.01,2.2624532895036267
36,0.0001,6.009999999999999,multiplicative,2.01,2.4258408909779186
112,0.0101,2.01,additive,4.01,2.4396892380042914
41,0.0001,8.01,additive,2.01,3.276359800040318
31,0.0001,6.009999999999999,additive,2.01,3.279675790080751
21,0.0001,4.01,additive,2.01,3.288850555765994
11,0.0001,2.01,additive,2.01,3.338856198672672
25,0.0001,4.01,multiplicative,0.01,3.4024159047142932
46,0.0001,8.01,multiplicative,2.01,3.540205316226019
131,0.0101,6.009999999999999,additive,2.01,4.61113226843729
5,0.0001,0.01,multiplicative,0.01,4.932830625052932
6,0.0001,0.01,multiplicative,2.01,5.811601064349998
1,0.0001,0.01,additive,2.01,6.378668652590848
45,0.0001,8.01,multiplicative,0.01,6.46623336195411
121,0.0101,4.01,additive,2.01,6.7580334956672745
40,0.0001,8.01,additive,0.01,7.054953677060441
30,0.0001,6.009999999999999,additive,0.01,7.056136264598391
20,0.0001,4.01,additive,0.01,7.059478024305018
10,0.0001,2.01,additive,0.01,7.077389819833913
12,0.0001,2.01,additive,4.01,7.788518497830387
22,0.0001,4.01,additive,4.01,7.80442770193285
32,0.0001,6.009999999999999,additive,4.01,7.807412171440699
42,0.0001,8.01,additive,4.01,7.808436358498552
4,0.0001,0.01,additive,8.01,8.276164020496594
3,0.0001,0.01,additive,6.009999999999999,8.826734596364492
18,0.0001,2.01,multiplicative,6.009999999999999,9.466209670103842
115,0.0101,2.01,multiplicative,0.01,9.860958717769492
0,0.0001,0.01,additive,0.01,9.864359829994376
125,0.0101,4.01,multiplicative,0.01,9.871217117611923
13,0.0001,2.01,additive,6.009999999999999,9.891024333325959
23,0.0001,4.01,additive,6.009999999999999,9.894626424285052
33,0.0001,6.009999999999999,additive,6.009999999999999,9.895296754162473
43,0.0001,8.01,additive,6.009999999999999,9.895531885015123
14,0.0001,2.01,additive,8.01,9.984085285573627
24,0.0001,4.01,additive,8.01,9.987423999833908
34,0.0001,6.009999999999999,additive,8.01,9.988045418716036
44,0.0001,8.01,additive,8.01,9.98826330998974
128,0.0101,4.01,multiplicative,6.009999999999999,10.105250948326876
127,0.0101,4.01,multiplicative,4.01,10.229573765460174
126,0.0101,4.01,multiplicative,2.01,10.23284497468091
135,0.0101,6.009999999999999,multiplicative,0.01,10.299757418364749
136,0.0101,6.009999999999999,multiplicative,2.01,10.31205972812753
147,0.0101,8.01,multiplicative,4.01,10.31406381341229
149,0.0101,8.01,multiplicative,8.01,10.317170395797136
139,0.0101,6.009999999999999,multiplicative,8.01,10.346610963082759
129,0.0101,4.01,multiplicative,8.01,10.349824640421966
106,0.0101,0.01,multiplicative,2.01,10.481892857783743
148,0.0101,8.01,multiplicative,6.009999999999999,10.48387809355158
137,0.0101,6.009999999999999,multiplicative,4.01,10.566181688112415
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,10.584836617752497
107,0.0101,0.01,multiplicative,4.01,10.594127435609757
108,0.0101,0.01,multiplicative,6.009999999999999,10.68655533869008
146,0.0101,8.01,multiplicative,2.01,10.707623543484202
109,0.0101,0.01,multiplicative,8.01,10.711992094500443
118,0.0101,2.01,multiplicative,6.009999999999999,10.728998960088466
117,0.0101,2.01,multiplicative,4.01,10.79224420775735
119,0.0101,2.01,multiplicative,8.01,10.800680114448062
105,0.0101,0.01,multiplicative,0.01,11.032487101657784
104,0.0101,0.01,additive,8.01,11.308963605621301
103,0.0101,0.01,additive,6.009999999999999,11.31428221351323
101,0.0101,0.01,additive,2.01,11.316023117322505
102,0.0101,0.01,additive,4.01,11.343272288734967
47,0.0001,8.01,multiplicative,4.01,11.587967700042173
116,0.0101,2.01,multiplicative,2.01,11.622717030915512
134,0.0101,6.009999999999999,additive,8.01,12.069346511048595
111,0.0101,2.01,additive,2.01,12.101158259201496
122,0.0101,4.01,additive,4.01,12.194990547740844
37,0.0001,6.009999999999999,multiplicative,4.01,12.247654708453615
132,0.0101,6.009999999999999,additive,4.01,12.424417879805642
100,0.0101,0.01,additive,0.01,12.65433523075115
