,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
65,0.0051,2.01,multiplicative,0.01,114.11981104955153
136,0.0101,6.009999999999999,multiplicative,2.01,117.58136113690034
139,0.0101,6.009999999999999,multiplicative,8.01,117.78394295328248
55,0.0051,0.01,multiplicative,0.01,118.0883562606919
78,0.0051,4.01,multiplicative,6.009999999999999,118.1157073964554
79,0.0051,4.01,multiplicative,8.01,118.11986633721727
77,0.0051,4.01,multiplicative,4.01,118.12509771192003
107,0.0101,0.01,multiplicative,4.01,118.14495849469458
76,0.0051,4.01,multiplicative,2.01,118.1499333645709
89,0.0051,6.009999999999999,multiplicative,8.01,118.22803094216164
98,0.0051,8.01,multiplicative,6.009999999999999,118.23111986850132
97,0.0051,8.01,multiplicative,4.01,118.23488483939941
96,0.0051,8.01,multiplicative,2.01,118.23618317557418
99,0.0051,8.01,multiplicative,8.01,118.23738494883872
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,118.24382860496408
87,0.0051,6.009999999999999,multiplicative,4.01,118.27133778448302
86,0.0051,6.009999999999999,multiplicative,2.01,118.2765279080171
106,0.0101,0.01,multiplicative,2.01,118.90727356834144
85,0.0051,6.009999999999999,multiplicative,0.01,119.08993111505369
67,0.0051,2.01,multiplicative,4.01,119.37548437247388
68,0.0051,2.01,multiplicative,6.009999999999999,119.37659640421894
69,0.0051,2.01,multiplicative,8.01,119.37724999884176
66,0.0051,2.01,multiplicative,2.01,119.37787090694034
59,0.0051,0.01,multiplicative,8.01,119.45459462903389
56,0.0051,0.01,multiplicative,2.01,119.45467487130009
58,0.0051,0.01,multiplicative,6.009999999999999,119.45481264119127
57,0.0051,0.01,multiplicative,4.01,119.45492775998157
125,0.0101,4.01,multiplicative,0.01,119.5454703510724
127,0.0101,4.01,multiplicative,4.01,119.58071313077471
105,0.0101,0.01,multiplicative,0.01,119.61923478169061
95,0.0051,8.01,multiplicative,0.01,119.6445878979151
129,0.0101,4.01,multiplicative,8.01,119.64864993538806
126,0.0101,4.01,multiplicative,2.01,119.69127912400906
128,0.0101,4.01,multiplicative,6.009999999999999,119.72318531553417
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,119.93537194456371
118,0.0101,2.01,multiplicative,6.009999999999999,120.06121481340372
137,0.0101,6.009999999999999,multiplicative,4.01,120.07058499995611
119,0.0101,2.01,multiplicative,8.01,120.16999464640791
117,0.0101,2.01,multiplicative,4.01,120.2729051671763
108,0.0101,0.01,multiplicative,6.009999999999999,120.29804391246972
109,0.0101,0.01,multiplicative,8.01,120.29889584734212
116,0.0101,2.01,multiplicative,2.01,120.30440832546203
75,0.0051,4.01,multiplicative,0.01,121.16142577258708
146,0.0101,8.01,multiplicative,2.01,122.2064737083556
147,0.0101,8.01,multiplicative,4.01,122.23536439422433
149,0.0101,8.01,multiplicative,8.01,122.28647083515595
148,0.0101,8.01,multiplicative,6.009999999999999,122.33053385514691
5,0.0001,0.01,multiplicative,0.01,122.7286108831722
135,0.0101,6.009999999999999,multiplicative,0.01,123.82863428956621
6,0.0001,0.01,multiplicative,2.01,127.32071335252719
115,0.0101,2.01,multiplicative,0.01,127.8967971771479
145,0.0101,8.01,multiplicative,0.01,128.70242838594444
9,0.0001,0.01,multiplicative,8.01,129.68788388090468
50,0.0051,0.01,additive,0.01,130.51169106690284
53,0.0051,0.01,additive,6.009999999999999,130.93128694334948
51,0.0051,0.01,additive,2.01,130.99338719974995
52,0.0051,0.01,additive,4.01,131.00709396408368
54,0.0051,0.01,additive,8.01,131.02076256056395
8,0.0001,0.01,multiplicative,6.009999999999999,132.16428844269873
7,0.0001,0.01,multiplicative,4.01,132.74304025244217
100,0.0101,0.01,additive,0.01,134.8446355755644
101,0.0101,0.01,additive,2.01,139.01315979861627
104,0.0101,0.01,additive,8.01,139.02263229904705
102,0.0101,0.01,additive,4.01,139.02919268541953
103,0.0101,0.01,additive,6.009999999999999,139.03302899017044
0,0.0001,0.01,additive,0.01,139.13530408607585
49,0.0001,8.01,multiplicative,8.01,142.23264392576544
1,0.0001,0.01,additive,2.01,143.7223013142449
2,0.0001,0.01,additive,4.01,143.72848230068595
3,0.0001,0.01,additive,6.009999999999999,143.72957968773014
4,0.0001,0.01,additive,8.01,143.72999291984576
39,0.0001,6.009999999999999,multiplicative,8.01,144.5987239500235
18,0.0001,2.01,multiplicative,6.009999999999999,145.09895592408623
15,0.0001,2.01,multiplicative,0.01,149.82651464518472
81,0.0051,6.009999999999999,additive,2.01,149.8404257227525
25,0.0001,4.01,multiplicative,0.01,149.86804291284463
61,0.0051,2.01,additive,2.01,149.94382221106616
71,0.0051,4.01,additive,2.01,150.0866338429769
45,0.0001,8.01,multiplicative,0.01,150.13561422079454
80,0.0051,6.009999999999999,additive,0.01,150.13965226513923
35,0.0001,6.009999999999999,multiplicative,0.01,150.14696667539974
91,0.0051,8.01,additive,2.01,150.1565288738302
70,0.0051,4.01,additive,0.01,150.15876376995007
60,0.0051,2.01,additive,0.01,150.16019030022122
90,0.0051,8.01,additive,0.01,150.19637024896693
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,150.2754922381464
110,0.0101,2.01,additive,0.01,150.34182506199875
112,0.0101,2.01,additive,4.01,150.74588888888348
133,0.0101,6.009999999999999,additive,6.009999999999999,150.88229833530357
120,0.0101,4.01,additive,0.01,150.98682776549649
36,0.0001,6.009999999999999,multiplicative,2.01,151.18102265725898
46,0.0001,8.01,multiplicative,2.01,151.18996048784425
111,0.0101,2.01,additive,2.01,151.40168122619465
123,0.0101,4.01,additive,6.009999999999999,151.49623611910005
132,0.0101,6.009999999999999,additive,4.01,151.6120092725124
