,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
44,0.0001,8.01,additive,8.01,0.2376126155876388
34,0.0001,6.009999999999999,additive,8.01,0.23769630692639898
24,0.0001,4.01,additive,8.01,0.23793496195333194
43,0.0001,8.01,additive,6.009999999999999,0.23810674939863957
33,0.0001,6.009999999999999,additive,6.009999999999999,0.23819044622031094
23,0.0001,4.01,additive,6.009999999999999,0.23842911388831878
14,0.0001,2.01,additive,8.01,0.23921672672193492
42,0.0001,8.01,additive,4.01,0.2394998119722706
32,0.0001,6.009999999999999,additive,4.01,0.239583526135391
13,0.0001,2.01,additive,6.009999999999999,0.23971096068871495
22,0.0001,4.01,additive,4.01,0.23982223263429003
12,0.0001,2.01,additive,4.01,0.2411042822640747
41,0.0001,8.01,additive,2.01,0.24663824759895697
31,0.0001,6.009999999999999,additive,2.01,0.2467219944285488
21,0.0001,4.01,additive,2.01,0.24696080229233208
11,0.0001,2.01,additive,2.01,0.24824340478772416
40,0.0001,8.01,additive,0.01,0.4668857901394196
30,0.0001,6.009999999999999,additive,0.01,0.4669683773475908
20,0.0001,4.01,additive,0.01,0.46720389312270805
10,0.0001,2.01,additive,0.01,0.468468751557911
104,0.0101,0.01,additive,8.01,1.4174492935156564
108,0.0101,0.01,multiplicative,6.009999999999999,1.5942270519672264
101,0.0101,0.01,additive,2.01,1.7980961853038877
103,0.0101,0.01,additive,6.009999999999999,1.8949653157545956
94,0.0051,8.01,additive,8.01,1.930111597200889
93,0.0051,8.01,additive,6.009999999999999,1.9329990988501915
64,0.0051,2.01,additive,8.01,1.941275259937979
63,0.0051,2.01,additive,6.009999999999999,1.9523200991355547
61,0.0051,2.01,additive,2.01,1.954004748429454
82,0.0051,6.009999999999999,additive,4.01,1.9542188126148705
73,0.0051,4.01,additive,6.009999999999999,1.9551336221808717
92,0.0051,8.01,additive,4.01,1.9587271082057212
74,0.0051,4.01,additive,8.01,1.9642639626197667
91,0.0051,8.01,additive,2.01,1.9860942499914709
62,0.0051,2.01,additive,4.01,1.9890851495007065
90,0.0051,8.01,additive,0.01,1.9973956618428277
84,0.0051,6.009999999999999,additive,8.01,2.0013962721841954
80,0.0051,6.009999999999999,additive,0.01,2.0046579432780596
72,0.0051,4.01,additive,4.01,2.0130624202785476
83,0.0051,6.009999999999999,additive,6.009999999999999,2.0267645110180186
81,0.0051,6.009999999999999,additive,2.01,2.035319190677167
70,0.0051,4.01,additive,0.01,2.065528539307514
71,0.0051,4.01,additive,2.01,2.066876146908821
60,0.0051,2.01,additive,0.01,2.086048198031877
100,0.0101,0.01,additive,0.01,2.144289598764899
109,0.0101,0.01,multiplicative,8.01,2.2540555474910167
102,0.0101,0.01,additive,4.01,2.82523200272067
105,0.0101,0.01,multiplicative,0.01,2.9854251190390353
106,0.0101,0.01,multiplicative,2.01,2.985512174953934
107,0.0101,0.01,multiplicative,4.01,3.3081315514815404
132,0.0101,6.009999999999999,additive,4.01,4.190650382126344
144,0.0101,8.01,additive,8.01,4.514075262507854
110,0.0101,2.01,additive,0.01,4.519673330504235
130,0.0101,6.009999999999999,additive,0.01,4.546906396440773
133,0.0101,6.009999999999999,additive,6.009999999999999,4.568758244157212
134,0.0101,6.009999999999999,additive,8.01,4.5738637069922214
113,0.0101,2.01,additive,6.009999999999999,4.576421177591536
143,0.0101,8.01,additive,6.009999999999999,4.617932035039619
124,0.0101,4.01,additive,8.01,4.6320824538194705
120,0.0101,4.01,additive,0.01,4.662176196303718
114,0.0101,2.01,additive,8.01,4.694700980029779
142,0.0101,8.01,additive,4.01,4.696266803530881
123,0.0101,4.01,additive,6.009999999999999,4.7135481387948985
112,0.0101,2.01,additive,4.01,4.725416534985576
121,0.0101,4.01,additive,2.01,4.734576197668545
141,0.0101,8.01,additive,2.01,4.819322932842591
131,0.0101,6.009999999999999,additive,2.01,4.845880469929929
140,0.0101,8.01,additive,0.01,4.974211771802452
122,0.0101,4.01,additive,4.01,5.457936769038234
111,0.0101,2.01,additive,2.01,5.849786838892166
76,0.0051,4.01,multiplicative,2.01,6.683963869422671
75,0.0051,4.01,multiplicative,0.01,7.011281537002061
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,7.03677179040357
98,0.0051,8.01,multiplicative,6.009999999999999,7.17378161851907
89,0.0051,6.009999999999999,multiplicative,8.01,7.190709381987899
97,0.0051,8.01,multiplicative,4.01,7.276689054608511
99,0.0051,8.01,multiplicative,8.01,7.319682133772535
78,0.0051,4.01,multiplicative,6.009999999999999,7.365620530483339
87,0.0051,6.009999999999999,multiplicative,4.01,7.368116925711182
118,0.0101,2.01,multiplicative,6.009999999999999,7.413532278164067
137,0.0101,6.009999999999999,multiplicative,4.01,7.417204788230103
149,0.0101,8.01,multiplicative,8.01,7.573760863024641
127,0.0101,4.01,multiplicative,4.01,7.600144039590876
128,0.0101,4.01,multiplicative,6.009999999999999,7.6231575714321
96,0.0051,8.01,multiplicative,2.01,7.634765056001927
135,0.0101,6.009999999999999,multiplicative,0.01,7.643060727017359
125,0.0101,4.01,multiplicative,0.01,7.654018244420257
117,0.0101,2.01,multiplicative,4.01,7.684920204371465
116,0.0101,2.01,multiplicative,2.01,7.7067800543367895
139,0.0101,6.009999999999999,multiplicative,8.01,7.769168444694916
146,0.0101,8.01,multiplicative,2.01,7.798657938814676
126,0.0101,4.01,multiplicative,2.01,7.896406721738536
136,0.0101,6.009999999999999,multiplicative,2.01,8.067799174700978
79,0.0051,4.01,multiplicative,8.01,8.09808023397654
145,0.0101,8.01,multiplicative,0.01,8.212703758984501
148,0.0101,8.01,multiplicative,6.009999999999999,8.42140531738742
86,0.0051,6.009999999999999,multiplicative,2.01,8.455737275560024
66,0.0051,2.01,multiplicative,2.01,8.475135953600862
67,0.0051,2.01,multiplicative,4.01,8.522565263997219
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,8.591718097538907
129,0.0101,4.01,multiplicative,8.01,8.645222626084182
77,0.0051,4.01,multiplicative,4.01,8.965165637999926
65,0.0051,2.01,multiplicative,0.01,9.1782883517165
69,0.0051,2.01,multiplicative,8.01,9.193146205820991
115,0.0101,2.01,multiplicative,0.01,9.231531787652555
119,0.0101,2.01,multiplicative,8.01,9.242584612333946
95,0.0051,8.01,multiplicative,0.01,9.502312151559504
68,0.0051,2.01,multiplicative,6.009999999999999,9.540263569813424
85,0.0051,6.009999999999999,multiplicative,0.01,9.882878156521938
147,0.0101,8.01,multiplicative,4.01,9.885975682347986
37,0.0001,6.009999999999999,multiplicative,4.01,12.61628809242633
1,0.0001,0.01,additive,2.01,13.30726337282278
0,0.0001,0.01,additive,0.01,13.647197353374933
6,0.0001,0.01,multiplicative,2.01,14.211143964801945
7,0.0001,0.01,multiplicative,4.01,14.434882732896702
8,0.0001,0.01,multiplicative,6.009999999999999,14.583464350088535
9,0.0001,0.01,multiplicative,8.01,14.664254432584833
2,0.0001,0.01,additive,4.01,15.437128394590028
3,0.0001,0.01,additive,6.009999999999999,15.440269383895856
4,0.0001,0.01,additive,8.01,15.441358337851073
54,0.0051,0.01,additive,8.01,15.73451031328771
52,0.0051,0.01,additive,4.01,15.746344768870502
50,0.0051,0.01,additive,0.01,15.75394113318166
51,0.0051,0.01,additive,2.01,15.76826104207381
53,0.0051,0.01,additive,6.009999999999999,15.775357426737482
59,0.0051,0.01,multiplicative,8.01,16.858113864575625
55,0.0051,0.01,multiplicative,0.01,16.869635662298137
58,0.0051,0.01,multiplicative,6.009999999999999,16.897936536667974
56,0.0051,0.01,multiplicative,2.01,16.950523450039334
5,0.0001,0.01,multiplicative,0.01,17.273253734781733
57,0.0051,0.01,multiplicative,4.01,17.42319170781014
17,0.0001,2.01,multiplicative,4.01,17.91056032631087
18,0.0001,2.01,multiplicative,6.009999999999999,18.05792522999711
28,0.0001,4.01,multiplicative,6.009999999999999,18.101162545969967
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,18.109113379628106
48,0.0001,8.01,multiplicative,6.009999999999999,18.111824412008957
49,0.0001,8.01,multiplicative,8.01,18.161724086547444
39,0.0001,6.009999999999999,multiplicative,8.01,18.16920699539931
29,0.0001,4.01,multiplicative,8.01,18.185872347303153
19,0.0001,2.01,multiplicative,8.01,18.20364677498524
47,0.0001,8.01,multiplicative,4.01,20.63237221869095
16,0.0001,2.01,multiplicative,2.01,23.675791297924942
46,0.0001,8.01,multiplicative,2.01,23.755012033685357
36,0.0001,6.009999999999999,multiplicative,2.01,23.76699532072734
26,0.0001,4.01,multiplicative,2.01,23.790909840710427
27,0.0001,4.01,multiplicative,4.01,24.038260181261084
45,0.0001,8.01,multiplicative,0.01,24.171618628429748
35,0.0001,6.009999999999999,multiplicative,0.01,24.197929826365197
25,0.0001,4.01,multiplicative,0.01,24.2720471782945
15,0.0001,2.01,multiplicative,0.01,24.58920132717877
