,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
524,0.0101,6.01,additive,4.01,49.98206990571517
528,0.0101,6.01,additive,8.01,52.03890764326158
467,0.0101,3.01,additive,7.01,52.17723238079813
545,0.0101,7.01,additive,5.01,52.3577105914365
449,0.0101,2.01,additive,9.01,52.56240805375424
407,0.0101,0.01,additive,7.01,52.98987790454791
469,0.0101,3.01,additive,9.01,53.127757819730704
565,0.0101,8.01,additive,5.01,53.26304618066332
425,0.0101,1.01,additive,5.01,53.42407440037098
441,0.0101,2.01,additive,1.01,54.22940415654657
487,0.0101,4.01,additive,7.01,54.497029576965645
468,0.0101,3.01,additive,8.01,55.06631366228083
585,0.0101,9.01,additive,5.01,56.92833645937087
506,0.0101,5.01,additive,6.01,56.995853936071214
548,0.0101,7.01,additive,8.01,57.05147243798267
562,0.0101,8.01,additive,2.01,57.318790481472604
582,0.0101,9.01,additive,2.01,57.321769083585664
463,0.0101,3.01,additive,3.01,57.483728131792276
491,0.0101,4.01,multiplicative,1.01,57.60356868160319
423,0.0101,1.01,additive,3.01,57.621773635044704
547,0.0101,7.01,additive,7.01,57.70462945132667
554,0.0101,7.01,multiplicative,4.01,57.79904136711903
446,0.0101,2.01,additive,6.01,57.84978968125308
531,0.0101,6.01,multiplicative,1.01,57.99363253688438
581,0.0101,9.01,additive,1.01,58.01161456768956
584,0.0101,9.01,additive,4.01,58.188669036819064
539,0.0101,6.01,multiplicative,9.01,58.19304135057628
485,0.0101,4.01,additive,5.01,58.22546467985228
444,0.0101,2.01,additive,4.01,58.230875677905125
534,0.0101,6.01,multiplicative,4.01,58.29145003166971
507,0.0101,5.01,additive,7.01,58.36293259425218
427,0.0101,1.01,additive,7.01,58.36585077145038
527,0.0101,6.01,additive,7.01,58.40430292431762
443,0.0101,2.01,additive,3.01,58.40881290338545
406,0.0101,0.01,additive,6.01,58.531577330885895
504,0.0101,5.01,additive,4.01,58.5562307295812
529,0.0101,6.01,additive,9.01,58.56687676350151
464,0.0101,3.01,additive,4.01,58.66421343000893
523,0.0101,6.01,additive,3.01,58.68286038018988
445,0.0101,2.01,additive,5.01,58.68641670731609
421,0.0101,1.01,additive,1.01,58.69991961867811
589,0.0101,9.01,additive,9.01,58.85147087987481
516,0.0101,5.01,multiplicative,6.01,58.861653568435884
563,0.0101,8.01,additive,3.01,58.86650004783375
426,0.0101,1.01,additive,6.01,58.87356771576848
404,0.0101,0.01,additive,4.01,58.87734123597133
559,0.0101,7.01,multiplicative,9.01,58.89705222324302
498,0.0101,4.01,multiplicative,8.01,58.94651078941784
566,0.0101,8.01,additive,6.01,59.01548065609708
586,0.0101,9.01,additive,6.01,59.015517150521035
525,0.0101,6.01,additive,5.01,59.032687320415725
473,0.0101,3.01,multiplicative,3.01,59.0518153532562
532,0.0101,6.01,multiplicative,2.01,59.06020939598962
412,0.0101,0.01,multiplicative,2.01,59.081161680845014
436,0.0101,1.01,multiplicative,6.01,59.09193426426272
408,0.0101,0.01,additive,8.01,59.10246875492005
484,0.0101,4.01,additive,4.01,59.120539305807256
419,0.0101,0.01,multiplicative,9.01,59.13766681768975
513,0.0101,5.01,multiplicative,3.01,59.145906132063054
514,0.0101,5.01,multiplicative,4.01,59.146481953318485
495,0.0101,4.01,multiplicative,5.01,59.17768231962337
424,0.0101,1.01,additive,4.01,59.18798736704275
592,0.0101,9.01,multiplicative,2.01,59.218938949177605
546,0.0101,7.01,additive,6.01,59.32111346697643
544,0.0101,7.01,additive,4.01,59.34910414996474
489,0.0101,4.01,additive,9.01,59.35838622782963
538,0.0101,6.01,multiplicative,8.01,59.37423452546982
405,0.0101,0.01,additive,5.01,59.37773942232658
402,0.0101,0.01,additive,2.01,59.45966989939937
598,0.0101,9.01,multiplicative,8.01,59.4639885331193
474,0.0101,3.01,multiplicative,4.01,59.4879878660791
465,0.0101,3.01,additive,5.01,59.53458345843859
492,0.0101,4.01,multiplicative,2.01,59.55353961798634
479,0.0101,3.01,multiplicative,9.01,59.554261607869755
511,0.0101,5.01,multiplicative,1.01,59.57184231071855
518,0.0101,5.01,multiplicative,8.01,59.59397042605758
599,0.0101,9.01,multiplicative,9.01,59.62914629667395
551,0.0101,7.01,multiplicative,1.01,59.630290735728416
596,0.0101,9.01,multiplicative,6.01,59.63283822600866
438,0.0101,1.01,multiplicative,8.01,59.672949577005596
558,0.0101,7.01,multiplicative,8.01,59.68201402031089
429,0.0101,1.01,additive,9.01,59.755541332752
505,0.0101,5.01,additive,5.01,59.76399612952805
537,0.0101,6.01,multiplicative,7.01,59.86577125031318
462,0.0101,3.01,additive,2.01,59.87299625116883
572,0.0101,8.01,multiplicative,2.01,60.12389774395134
440,0.0101,2.01,additive,0.01,60.178749188280804
430,0.0101,1.01,multiplicative,0.01,60.28357649571993
578,0.0101,8.01,multiplicative,8.01,60.357485938117954
477,0.0101,3.01,multiplicative,7.01,60.36462985585529
500,0.0101,5.01,additive,0.01,60.47839722424931
431,0.0101,1.01,multiplicative,1.01,60.53957164806774
457,0.0101,2.01,multiplicative,7.01,60.55925652461316
568,0.0101,8.01,additive,8.01,60.59932086650353
496,0.0101,4.01,multiplicative,6.01,60.66555025833748
536,0.0101,6.01,multiplicative,6.01,60.68928723887802
401,0.0101,0.01,additive,1.01,60.69199487578011
557,0.0101,7.01,multiplicative,7.01,60.82525833988766
409,0.0101,0.01,additive,9.01,60.94605629270195
437,0.0101,1.01,multiplicative,7.01,60.99023075011208
517,0.0101,5.01,multiplicative,7.01,61.00324336786643
475,0.0101,3.01,multiplicative,5.01,61.06834034867394
459,0.0101,2.01,multiplicative,9.01,61.07508466230578
502,0.0101,5.01,additive,2.01,61.10551949925322
472,0.0101,3.01,multiplicative,2.01,61.20407943481317
574,0.0101,8.01,multiplicative,4.01,61.25193559170101
458,0.0101,2.01,multiplicative,8.01,61.28326844536256
499,0.0101,4.01,multiplicative,9.01,61.32690879689004
519,0.0101,5.01,multiplicative,9.01,61.344001218289584
512,0.0101,5.01,multiplicative,2.01,61.359972302190656
556,0.0101,7.01,multiplicative,6.01,61.37320730517706
579,0.0101,8.01,multiplicative,9.01,61.409468456798066
593,0.0101,9.01,multiplicative,3.01,61.41971241026487
451,0.0101,2.01,multiplicative,1.01,61.4698112900025
597,0.0101,9.01,multiplicative,7.01,61.49227189261625
455,0.0101,2.01,multiplicative,5.01,61.526792032119275
416,0.0101,0.01,multiplicative,6.01,61.54221663112341
510,0.0101,5.01,multiplicative,0.01,61.54723949987766
576,0.0101,8.01,multiplicative,6.01,61.62432049847824
490,0.0101,4.01,multiplicative,0.01,61.63572637175989
590,0.0101,9.01,multiplicative,0.01,61.645542963706276
594,0.0101,9.01,multiplicative,4.01,61.71421622703759
414,0.0101,0.01,multiplicative,4.01,61.72082792382365
494,0.0101,4.01,multiplicative,4.01,61.7643580836844
403,0.0101,0.01,additive,3.01,61.769376737034335
470,0.0101,3.01,multiplicative,0.01,61.7712086492368
497,0.0101,4.01,multiplicative,7.01,61.79114769266856
435,0.0101,1.01,multiplicative,5.01,61.81263615574481
476,0.0101,3.01,multiplicative,6.01,61.81448425374324
453,0.0101,2.01,multiplicative,3.01,61.831430220730226
552,0.0101,7.01,multiplicative,2.01,61.8506983155856
422,0.0101,1.01,additive,2.01,61.95509124146892
447,0.0101,2.01,additive,7.01,62.017370703750764
549,0.0101,7.01,additive,9.01,62.028738400469855
526,0.0101,6.01,additive,6.01,62.08209723909819
456,0.0101,2.01,multiplicative,6.01,62.10875293978336
569,0.0101,8.01,additive,9.01,62.13478590037736
486,0.0101,4.01,additive,6.01,62.20285069654637
571,0.0101,8.01,multiplicative,1.01,62.223954785709154
466,0.0101,3.01,additive,6.01,62.23405935335232
439,0.0101,1.01,multiplicative,9.01,62.242051900759456
482,0.0101,4.01,additive,2.01,62.27263819785894
509,0.0101,5.01,additive,9.01,62.28441467436846
542,0.0101,7.01,additive,2.01,62.28490678922129
471,0.0101,3.01,multiplicative,1.01,62.337334108910476
410,0.0101,0.01,multiplicative,0.01,62.36647262401423
501,0.0101,5.01,additive,1.01,62.43350389843727
587,0.0101,9.01,additive,7.01,62.49350675431581
521,0.0101,6.01,additive,1.01,62.50200214426368
442,0.0101,2.01,additive,2.01,62.555830534226914
522,0.0101,6.01,additive,2.01,62.55728476660897
567,0.0101,8.01,additive,7.01,62.57806215272522
564,0.0101,8.01,additive,4.01,62.60707568610289
591,0.0101,9.01,multiplicative,1.01,62.627904001356924
533,0.0101,6.01,multiplicative,3.01,62.647349810416344
433,0.0101,1.01,multiplicative,3.01,62.68727326343893
493,0.0101,4.01,multiplicative,3.01,62.725186418945704
595,0.0101,9.01,multiplicative,5.01,62.98146179735936
575,0.0101,8.01,multiplicative,5.01,62.98183803540185
573,0.0101,8.01,multiplicative,3.01,62.98444975562565
535,0.0101,6.01,multiplicative,5.01,63.026279692239726
515,0.0101,5.01,multiplicative,5.01,63.086894901715155
555,0.0101,7.01,multiplicative,5.01,63.08790118443386
413,0.0101,0.01,multiplicative,3.01,63.09256717175715
411,0.0101,0.01,multiplicative,1.01,63.142444253100635
454,0.0101,2.01,multiplicative,4.01,63.14727761777861
400,0.0101,0.01,additive,0.01,63.154994709370754
415,0.0101,0.01,multiplicative,5.01,63.17262191497767
417,0.0101,0.01,multiplicative,7.01,63.172737805174634
418,0.0101,0.01,multiplicative,8.01,63.180182735730945
432,0.0101,1.01,multiplicative,2.01,63.40964549805003
460,0.0101,3.01,additive,0.01,63.457017933121854
452,0.0101,2.01,multiplicative,2.01,63.45767241427371
541,0.0101,7.01,additive,1.01,63.48278151262258
561,0.0101,8.01,additive,1.01,63.486984004729806
461,0.0101,3.01,additive,1.01,63.49811825323371
481,0.0101,4.01,additive,1.01,63.51662554407605
577,0.0101,8.01,multiplicative,7.01,63.53764184149508
508,0.0101,5.01,additive,8.01,63.543494366572965
488,0.0101,4.01,additive,8.01,63.550174576608484
478,0.0101,3.01,multiplicative,8.01,63.579962171354595
588,0.0101,9.01,additive,8.01,63.589346451901164
420,0.0101,1.01,additive,0.01,63.61413163998569
520,0.0101,6.01,additive,0.01,63.64683271365983
480,0.0101,4.01,additive,0.01,63.646961380860134
540,0.0101,7.01,additive,0.01,63.647020925562416
560,0.0101,8.01,additive,0.01,63.64703413997479
580,0.0101,9.01,additive,0.01,63.647104228533934
428,0.0101,1.01,additive,8.01,63.679166053937514
448,0.0101,2.01,additive,8.01,63.68827434096798
434,0.0101,1.01,multiplicative,4.01,63.72105691244904
503,0.0101,5.01,additive,3.01,63.88602313881075
483,0.0101,4.01,additive,3.01,63.91522548180531
543,0.0101,7.01,additive,3.01,63.97580022060016
583,0.0101,9.01,additive,3.01,63.989915153122624
570,0.0101,8.01,multiplicative,0.01,64.05757685412779
553,0.0101,7.01,multiplicative,3.01,64.29800060241217
450,0.0101,2.01,multiplicative,0.01,64.31886303048032
530,0.0101,6.01,multiplicative,0.01,64.34414971086812
550,0.0101,7.01,multiplicative,0.01,64.37503644367938
3,0.0001,0.01,additive,3.01,87.00068128346281
23,0.0001,1.01,additive,3.01,87.4948549840829
43,0.0001,2.01,additive,3.01,87.4957544202678
63,0.0001,3.01,additive,3.01,87.49592885206135
103,0.0001,5.01,additive,3.01,87.49600350560294
123,0.0001,6.01,additive,3.01,87.49602286043236
143,0.0001,7.01,additive,3.01,87.49603267487106
163,0.0001,8.01,additive,3.01,87.49603761041455
183,0.0001,9.01,additive,3.01,87.49604174110593
83,0.0001,4.01,additive,3.01,87.49604599983688
4,0.0001,0.01,additive,4.01,88.0008674622068
1,0.0001,0.01,additive,1.01,88.52480872953329
21,0.0001,1.01,additive,1.01,88.66308718001181
181,0.0001,9.01,additive,1.01,88.66320420128372
101,0.0001,5.01,additive,1.01,88.66322666073906
121,0.0001,6.01,additive,1.01,88.66323204833307
141,0.0001,7.01,additive,1.01,88.66323433631746
161,0.0001,8.01,additive,1.01,88.66323587455324
61,0.0001,3.01,additive,1.01,88.66335490354486
41,0.0001,2.01,additive,1.01,88.66335579232066
81,0.0001,4.01,additive,1.01,88.66337720163348
5,0.0001,0.01,additive,5.01,88.75407680954804
64,0.0001,3.01,additive,4.01,88.9121537752034
84,0.0001,4.01,additive,4.01,88.91227033305404
104,0.0001,5.01,additive,4.01,88.91233823505604
124,0.0001,6.01,additive,4.01,88.91238775566919
144,0.0001,7.01,additive,4.01,88.91240362943121
164,0.0001,8.01,additive,4.01,88.91241369409178
184,0.0001,9.01,additive,4.01,88.91242095180255
24,0.0001,1.01,additive,4.01,88.9130082079803
44,0.0001,2.01,additive,4.01,88.9145905951645
6,0.0001,0.01,additive,6.01,89.51529525550716
7,0.0001,0.01,additive,7.01,89.82619826014336
8,0.0001,0.01,additive,8.01,90.05517350882076
25,0.0001,1.01,additive,5.01,90.14759536905356
45,0.0001,2.01,additive,5.01,90.14954248711203
65,0.0001,3.01,additive,5.01,90.14990818003571
85,0.0001,4.01,additive,5.01,90.15003943225813
105,0.0001,5.01,additive,5.01,90.15010604663993
125,0.0001,6.01,additive,5.01,90.15013921475537
145,0.0001,7.01,additive,5.01,90.15016043181495
165,0.0001,8.01,additive,5.01,90.15017682939344
185,0.0001,9.01,additive,5.01,90.15018539757625
9,0.0001,0.01,additive,9.01,90.3817538856547
26,0.0001,1.01,additive,6.01,91.6738299056031
46,0.0001,2.01,additive,6.01,91.67524595577362
66,0.0001,3.01,additive,6.01,91.67536915311572
86,0.0001,4.01,additive,6.01,91.6754607097725
106,0.0001,5.01,additive,6.01,91.67550377790013
126,0.0001,6.01,additive,6.01,91.6755272240328
146,0.0001,7.01,additive,6.01,91.67554092186404
166,0.0001,8.01,additive,6.01,91.67555031843986
186,0.0001,9.01,additive,6.01,91.67555826364983
27,0.0001,1.01,additive,7.01,91.94569096481635
47,0.0001,2.01,additive,7.01,91.94716638507145
107,0.0001,5.01,additive,7.01,91.9473094261391
87,0.0001,4.01,additive,7.01,91.94731395024425
127,0.0001,6.01,additive,7.01,91.94733407401019
147,0.0001,7.01,additive,7.01,91.94734983734858
167,0.0001,8.01,additive,7.01,91.94736017133324
187,0.0001,9.01,additive,7.01,91.94736746275802
67,0.0001,3.01,additive,7.01,91.94744483342012
351,0.0051,7.01,multiplicative,1.01,92.07571140154715
28,0.0001,1.01,additive,8.01,92.13616441511448
48,0.0001,2.01,additive,8.01,92.13776421252906
68,0.0001,3.01,additive,8.01,92.13807506047846
88,0.0001,4.01,additive,8.01,92.13815247799059
108,0.0001,5.01,additive,8.01,92.13820332441492
128,0.0001,6.01,additive,8.01,92.13823498601133
148,0.0001,7.01,additive,8.01,92.13825157627994
168,0.0001,8.01,additive,8.01,92.13826184720801
188,0.0001,9.01,additive,8.01,92.13826815358374
298,0.0051,4.01,multiplicative,8.01,92.15542197132707
29,0.0001,1.01,additive,9.01,92.27626199149603
49,0.0001,2.01,additive,9.01,92.27792262093587
69,0.0001,3.01,additive,9.01,92.27937679174647
89,0.0001,4.01,additive,9.01,92.27949059826108
109,0.0001,5.01,additive,9.01,92.27954372624747
129,0.0001,6.01,additive,9.01,92.27957221821408
149,0.0001,7.01,additive,9.01,92.27959011469886
169,0.0001,8.01,additive,9.01,92.27960194226881
189,0.0001,9.01,additive,9.01,92.27960933873948
208,0.0051,0.01,additive,8.01,92.34703628528928
221,0.0051,1.01,additive,1.01,92.4352074683256
280,0.0051,4.01,additive,0.01,92.5625310783925
