,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
68,0.0051,2.01,multiplicative,6.009999999999999,170.41371055457407
69,0.0051,2.01,multiplicative,8.01,170.41714276910741
66,0.0051,2.01,multiplicative,2.01,170.78407999882953
67,0.0051,2.01,multiplicative,4.01,170.78780131484527
98,0.0051,8.01,multiplicative,6.009999999999999,170.7946306415423
97,0.0051,8.01,multiplicative,4.01,170.79552073489015
99,0.0051,8.01,multiplicative,8.01,170.7966719386401
96,0.0051,8.01,multiplicative,2.01,170.79760295363266
77,0.0051,4.01,multiplicative,4.01,170.81729966093192
78,0.0051,4.01,multiplicative,6.009999999999999,170.81750150816904
79,0.0051,4.01,multiplicative,8.01,170.8185840038738
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,170.83530042445557
89,0.0051,6.009999999999999,multiplicative,8.01,170.83549631601446
87,0.0051,6.009999999999999,multiplicative,4.01,170.83561502324153
76,0.0051,4.01,multiplicative,2.01,170.84043232810976
86,0.0051,6.009999999999999,multiplicative,2.01,170.85927980557315
65,0.0051,2.01,multiplicative,0.01,171.12500782240545
75,0.0051,4.01,multiplicative,0.01,171.21088977882698
85,0.0051,6.009999999999999,multiplicative,0.01,171.480927284041
95,0.0051,8.01,multiplicative,0.01,171.5608246547144
145,0.0101,8.01,multiplicative,0.01,175.0762026000595
115,0.0101,2.01,multiplicative,0.01,175.40724668303324
135,0.0101,6.009999999999999,multiplicative,0.01,176.16883259089013
125,0.0101,4.01,multiplicative,0.01,177.87798020552265
105,0.0101,0.01,multiplicative,0.01,184.29106499698418
109,0.0101,0.01,multiplicative,8.01,186.29954842753187
108,0.0101,0.01,multiplicative,6.009999999999999,186.3046287989939
107,0.0101,0.01,multiplicative,4.01,186.30574349908198
106,0.0101,0.01,multiplicative,2.01,186.31130250301732
126,0.0101,4.01,multiplicative,2.01,193.19399971410468
128,0.0101,4.01,multiplicative,6.009999999999999,193.20050153044028
127,0.0101,4.01,multiplicative,4.01,193.200906553878
129,0.0101,4.01,multiplicative,8.01,193.20161611548465
148,0.0101,8.01,multiplicative,6.009999999999999,193.373494135562
149,0.0101,8.01,multiplicative,8.01,193.38025739115193
146,0.0101,8.01,multiplicative,2.01,193.38133988054943
147,0.0101,8.01,multiplicative,4.01,193.3837557057901
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,193.41432680095215
139,0.0101,6.009999999999999,multiplicative,8.01,193.41770030496838
137,0.0101,6.009999999999999,multiplicative,4.01,193.42603167922684
136,0.0101,6.009999999999999,multiplicative,2.01,193.43869060403898
116,0.0101,2.01,multiplicative,2.01,193.66432775114765
118,0.0101,2.01,multiplicative,6.009999999999999,193.69177080065572
119,0.0101,2.01,multiplicative,8.01,193.69574010927627
117,0.0101,2.01,multiplicative,4.01,193.71521538637668
57,0.0051,0.01,multiplicative,4.01,199.41587873609814
56,0.0051,0.01,multiplicative,2.01,199.73055429090735
59,0.0051,0.01,multiplicative,8.01,200.03786535067684
58,0.0051,0.01,multiplicative,6.009999999999999,200.0831646982197
55,0.0051,0.01,multiplicative,0.01,209.41074383505403
104,0.0101,0.01,additive,8.01,282.6755720744035
100,0.0101,0.01,additive,0.01,284.97131141677835
101,0.0101,0.01,additive,2.01,288.37117532059796
50,0.0051,0.01,additive,0.01,290.20562450829357
103,0.0101,0.01,additive,6.009999999999999,291.4851654010827
102,0.0101,0.01,additive,4.01,293.67861156514607
53,0.0051,0.01,additive,6.009999999999999,302.0323393885106
54,0.0051,0.01,additive,8.01,302.5036422409275
52,0.0051,0.01,additive,4.01,303.7255408968933
51,0.0051,0.01,additive,2.01,304.1955638475494
141,0.0101,8.01,additive,2.01,318.5049691363066
131,0.0101,6.009999999999999,additive,2.01,318.68987035777747
121,0.0101,4.01,additive,2.01,319.1829974557671
113,0.0101,2.01,additive,6.009999999999999,319.2291043736473
111,0.0101,2.01,additive,2.01,319.45929425067646
133,0.0101,6.009999999999999,additive,6.009999999999999,320.21187469195576
130,0.0101,6.009999999999999,additive,0.01,321.18166294981506
142,0.0101,8.01,additive,4.01,321.49499555035976
112,0.0101,2.01,additive,4.01,321.49826505422794
132,0.0101,6.009999999999999,additive,4.01,321.50159357904585
122,0.0101,4.01,additive,4.01,321.5266872128144
120,0.0101,4.01,additive,0.01,322.36489936542097
140,0.0101,8.01,additive,0.01,322.5343940934448
124,0.0101,4.01,additive,8.01,322.94171072353726
144,0.0101,8.01,additive,8.01,322.9779778355733
134,0.0101,6.009999999999999,additive,8.01,323.03890974788425
123,0.0101,4.01,additive,6.009999999999999,323.18345657279093
143,0.0101,8.01,additive,6.009999999999999,323.21765957277853
114,0.0101,2.01,additive,8.01,323.502636254391
110,0.0101,2.01,additive,0.01,325.15893364661594
90,0.0051,8.01,additive,0.01,347.4468914290285
80,0.0051,6.009999999999999,additive,0.01,347.5102800122635
70,0.0051,4.01,additive,0.01,347.5997385508795
60,0.0051,2.01,additive,0.01,347.60642325740713
64,0.0051,2.01,additive,8.01,352.64939868932987
63,0.0051,2.01,additive,6.009999999999999,352.9716012182199
93,0.0051,8.01,additive,6.009999999999999,353.05676873999647
94,0.0051,8.01,additive,8.01,353.2550522650083
