,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
47,0.0001,8.01,multiplicative,4.01,0.0838655425027454
46,0.0001,8.01,multiplicative,2.01,0.1647626131932181
36,0.0001,6.009999999999999,multiplicative,2.01,0.21702898653375596
18,0.0001,2.01,multiplicative,6.009999999999999,0.31358831465756476
26,0.0001,4.01,multiplicative,2.01,0.3491811633062401
37,0.0001,6.009999999999999,multiplicative,4.01,0.3782711319087541
73,0.0051,4.01,additive,6.009999999999999,0.879912787779311
62,0.0051,2.01,additive,4.01,0.88142983728614
16,0.0001,2.01,multiplicative,2.01,0.974448359182506
60,0.0051,2.01,additive,0.01,1.2372998395247137
122,0.0101,4.01,additive,4.01,1.254423120414275
94,0.0051,8.01,additive,8.01,1.2554879079664942
27,0.0001,4.01,multiplicative,4.01,1.3940247624177553
84,0.0051,6.009999999999999,additive,8.01,1.4438486678874858
48,0.0001,8.01,multiplicative,6.009999999999999,1.4449365547794881
143,0.0101,8.01,additive,6.009999999999999,1.5885182645806075
64,0.0051,2.01,additive,8.01,1.6882317314844777
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,1.703955597829861
52,0.0051,0.01,additive,4.01,1.7123953781098467
96,0.0051,8.01,multiplicative,2.01,1.9380832760446078
92,0.0051,8.01,additive,4.01,2.00546613739359
142,0.0101,8.01,additive,4.01,2.1456491984478596
74,0.0051,4.01,additive,8.01,2.2215357380924114
28,0.0001,4.01,multiplicative,6.009999999999999,2.2782831516327287
53,0.0051,0.01,additive,6.009999999999999,2.483693865680092
70,0.0051,4.01,additive,0.01,2.640420401403089
124,0.0101,4.01,additive,8.01,2.8491189792405556
45,0.0001,8.01,multiplicative,0.01,2.938700094797483
35,0.0001,6.009999999999999,multiplicative,0.01,2.9724235864511215
25,0.0001,4.01,multiplicative,0.01,3.0660430125341205
93,0.0051,8.01,additive,6.009999999999999,3.1390508984366745
17,0.0001,2.01,multiplicative,4.01,3.3622221985710157
15,0.0001,2.01,multiplicative,0.01,3.506325363120329
51,0.0051,0.01,additive,2.01,3.5819198493699203
131,0.0101,6.009999999999999,additive,2.01,3.667689925685815
83,0.0051,6.009999999999999,additive,6.009999999999999,3.7058996197988723
54,0.0051,0.01,additive,8.01,3.748731584493097
