,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
114,0.0101,2.01,additive,8.01,1240.3410402131622
111,0.0101,2.01,additive,2.01,1244.9012035833018
101,0.0101,0.01,additive,2.01,1255.861060925524
113,0.0101,2.01,additive,6.009999999999999,1257.0879546892663
124,0.0101,4.01,additive,8.01,1266.3290190665043
103,0.0101,0.01,additive,6.009999999999999,1273.0801601206713
102,0.0101,0.01,additive,4.01,1279.2798417011154
130,0.0101,6.009999999999999,additive,0.01,1281.5784323365435
104,0.0101,0.01,additive,8.01,1284.1947735970346
100,0.0101,0.01,additive,0.01,1285.1441311485198
142,0.0101,8.01,additive,4.01,1293.0027671598318
144,0.0101,8.01,additive,8.01,1295.166173710034
143,0.0101,8.01,additive,6.009999999999999,1296.9125243844162
122,0.0101,4.01,additive,4.01,1300.9288128879687
123,0.0101,4.01,additive,6.009999999999999,1301.4358640858907
134,0.0101,6.009999999999999,additive,8.01,1306.8763511668838
140,0.0101,8.01,additive,0.01,1312.3695758229178
131,0.0101,6.009999999999999,additive,2.01,1313.970331248114
120,0.0101,4.01,additive,0.01,1325.0990053933597
133,0.0101,6.009999999999999,additive,6.009999999999999,1327.3632499608661
132,0.0101,6.009999999999999,additive,4.01,1327.9686638659261
121,0.0101,4.01,additive,2.01,1330.3455069716044
141,0.0101,8.01,additive,2.01,1349.6662380800005
112,0.0101,2.01,additive,4.01,1375.7470536232101
110,0.0101,2.01,additive,0.01,1401.5996648919074
105,0.0101,0.01,multiplicative,0.01,1608.05116313283
108,0.0101,0.01,multiplicative,6.009999999999999,1612.556056460796
109,0.0101,0.01,multiplicative,8.01,1636.7189975370934
107,0.0101,0.01,multiplicative,4.01,1639.9966774542622
106,0.0101,0.01,multiplicative,2.01,1667.542420435668
72,0.0051,4.01,additive,4.01,1725.780590669609
73,0.0051,4.01,additive,6.009999999999999,1749.7640209275548
74,0.0051,4.01,additive,8.01,1777.9723776306507
60,0.0051,2.01,additive,0.01,1787.1962029474425
92,0.0051,8.01,additive,4.01,1787.6489490670394
81,0.0051,6.009999999999999,additive,2.01,1837.0090158177084
54,0.0051,0.01,additive,8.01,1840.5154929670296
126,0.0101,4.01,multiplicative,2.01,1844.5293211476344
90,0.0051,8.01,additive,0.01,1849.3484901536815
125,0.0101,4.01,multiplicative,0.01,1854.7800948333413
83,0.0051,6.009999999999999,additive,6.009999999999999,1855.7644352594396
71,0.0051,4.01,additive,2.01,1855.9070580995055
115,0.0101,2.01,multiplicative,0.01,1861.6577599815598
63,0.0051,2.01,additive,6.009999999999999,1864.4369021661796
70,0.0051,4.01,additive,0.01,1870.6958416897405
116,0.0101,2.01,multiplicative,2.01,1872.1219685883818
82,0.0051,6.009999999999999,additive,4.01,1874.9422225778671
145,0.0101,8.01,multiplicative,0.01,1881.255879571426
64,0.0051,2.01,additive,8.01,1884.5743043334528
61,0.0051,2.01,additive,2.01,1885.6347230750177
94,0.0051,8.01,additive,8.01,1888.2649141230174
136,0.0101,6.009999999999999,multiplicative,2.01,1895.8445028765464
91,0.0051,8.01,additive,2.01,1896.460092392482
118,0.0101,2.01,multiplicative,6.009999999999999,1897.6651922557307
93,0.0051,8.01,additive,6.009999999999999,1904.867362231775
117,0.0101,2.01,multiplicative,4.01,1905.1654167573677
53,0.0051,0.01,additive,6.009999999999999,1908.7787217756736
135,0.0101,6.009999999999999,multiplicative,0.01,1911.3458214550844
129,0.0101,4.01,multiplicative,8.01,1912.1359102575302
147,0.0101,8.01,multiplicative,4.01,1912.5010588978607
127,0.0101,4.01,multiplicative,4.01,1912.8757719680793
128,0.0101,4.01,multiplicative,6.009999999999999,1916.6588875651116
146,0.0101,8.01,multiplicative,2.01,1917.385471021347
139,0.0101,6.009999999999999,multiplicative,8.01,1917.4097825116892
52,0.0051,0.01,additive,4.01,1921.6705515674996
149,0.0101,8.01,multiplicative,8.01,1921.7818364038872
119,0.0101,2.01,multiplicative,8.01,1924.0741655407173
137,0.0101,6.009999999999999,multiplicative,4.01,1924.911446628532
148,0.0101,8.01,multiplicative,6.009999999999999,1926.8426472461858
84,0.0051,6.009999999999999,additive,8.01,1927.5066384522918
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,1928.3680916938258
51,0.0051,0.01,additive,2.01,1946.3402065795688
62,0.0051,2.01,additive,4.01,1948.5905939856882
50,0.0051,0.01,additive,0.01,1976.24225821656
80,0.0051,6.009999999999999,additive,0.01,2001.8596034580396
56,0.0051,0.01,multiplicative,2.01,2390.0953313247887
57,0.0051,0.01,multiplicative,4.01,2411.2583728437717
58,0.0051,0.01,multiplicative,6.009999999999999,2459.432349500783
55,0.0051,0.01,multiplicative,0.01,2539.411343980321
95,0.0051,8.01,multiplicative,0.01,2651.17722190018
85,0.0051,6.009999999999999,multiplicative,0.01,2651.718222962625
66,0.0051,2.01,multiplicative,2.01,2720.849565611687
75,0.0051,4.01,multiplicative,0.01,2782.496674211156
65,0.0051,2.01,multiplicative,0.01,2799.029932960706
69,0.0051,2.01,multiplicative,8.01,2812.1299430968834
78,0.0051,4.01,multiplicative,6.009999999999999,2818.8612588805313
77,0.0051,4.01,multiplicative,4.01,2826.3818887519697
86,0.0051,6.009999999999999,multiplicative,2.01,2829.3529610802134
97,0.0051,8.01,multiplicative,4.01,2830.210621827613
98,0.0051,8.01,multiplicative,6.009999999999999,2831.106500695624
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,2834.9177886077014
79,0.0051,4.01,multiplicative,8.01,2836.01722697051
87,0.0051,6.009999999999999,multiplicative,4.01,2837.0736410520526
89,0.0051,6.009999999999999,multiplicative,8.01,2842.412148132676
68,0.0051,2.01,multiplicative,6.009999999999999,2848.507006311362
76,0.0051,4.01,multiplicative,2.01,2851.052345564476
67,0.0051,2.01,multiplicative,4.01,2854.8026127460466
99,0.0051,8.01,multiplicative,8.01,2940.7096609497285
96,0.0051,8.01,multiplicative,2.01,3002.8353661810806
59,0.0051,0.01,multiplicative,8.01,3478.6938607078537
16,0.0001,2.01,multiplicative,2.01,3705.112125824567
47,0.0001,8.01,multiplicative,4.01,3710.192239129593
18,0.0001,2.01,multiplicative,6.009999999999999,3710.3377780917262
41,0.0001,8.01,additive,2.01,3713.214600160118
31,0.0001,6.009999999999999,additive,2.01,3713.5879464501454
21,0.0001,4.01,additive,2.01,3714.653878675058
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,3718.390740602564
11,0.0001,2.01,additive,2.01,3720.4217766096585
17,0.0001,2.01,multiplicative,4.01,3723.813080986498
37,0.0001,6.009999999999999,multiplicative,4.01,3724.489460845344
19,0.0001,2.01,multiplicative,8.01,3726.6733091243095
27,0.0001,4.01,multiplicative,4.01,3727.926936294108
45,0.0001,8.01,multiplicative,0.01,3732.3014993068987
35,0.0001,6.009999999999999,multiplicative,0.01,3746.6374147453253
28,0.0001,4.01,multiplicative,6.009999999999999,3747.6762222463044
15,0.0001,2.01,multiplicative,0.01,3753.28461360448
42,0.0001,8.01,additive,4.01,3757.255155000604
32,0.0001,6.009999999999999,additive,4.01,3757.66412530737
22,0.0001,4.01,additive,4.01,3758.554730681301
25,0.0001,4.01,multiplicative,0.01,3762.2108780130825
36,0.0001,6.009999999999999,multiplicative,2.01,3764.3947471953466
12,0.0001,2.01,additive,4.01,3764.804738794292
43,0.0001,8.01,additive,6.009999999999999,3766.855758502852
33,0.0001,6.009999999999999,additive,6.009999999999999,3767.269740872438
23,0.0001,4.01,additive,6.009999999999999,3768.4443160551023
44,0.0001,8.01,additive,8.01,3770.4671845796843
34,0.0001,6.009999999999999,additive,8.01,3770.8808136661373
24,0.0001,4.01,additive,8.01,3772.145061704495
49,0.0001,8.01,multiplicative,8.01,3772.270863873241
13,0.0001,2.01,additive,6.009999999999999,3774.8738513447747
39,0.0001,6.009999999999999,multiplicative,8.01,3775.462037714369
14,0.0001,2.01,additive,8.01,3778.5460467941607
46,0.0001,8.01,multiplicative,2.01,3779.7064632161505
29,0.0001,4.01,multiplicative,8.01,3788.7944711116365
26,0.0001,4.01,multiplicative,2.01,3809.756558100166
40,0.0001,8.01,additive,0.01,3850.0552761523268
30,0.0001,6.009999999999999,additive,0.01,3850.1627521040864
20,0.0001,4.01,additive,0.01,3850.395055709683
10,0.0001,2.01,additive,0.01,3852.2079804386976
48,0.0001,8.01,multiplicative,6.009999999999999,3871.165430484203
4,0.0001,0.01,additive,8.01,4125.41080344607
3,0.0001,0.01,additive,6.009999999999999,4125.485625517511
2,0.0001,0.01,additive,4.01,4125.697612307757
1,0.0001,0.01,additive,2.01,4126.796766146909
0,0.0001,0.01,additive,0.01,4165.525434760603
9,0.0001,0.01,multiplicative,8.01,4283.759274990927
8,0.0001,0.01,multiplicative,6.009999999999999,4333.361475401263
5,0.0001,0.01,multiplicative,0.01,4440.061646152041
6,0.0001,0.01,multiplicative,2.01,4453.178904742499
7,0.0001,0.01,multiplicative,4.01,4562.275120789638
