,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
67,0.0051,2.01,multiplicative,4.01,1.1013799111479278e+18
76,0.0051,4.01,multiplicative,2.01,1.1082894452678582e+18
55,0.0051,0.01,multiplicative,0.01,1.1289345732723436e+18
58,0.0051,0.01,multiplicative,6.009999999999999,1.1339043858072995e+18
56,0.0051,0.01,multiplicative,2.01,1.1352917711850418e+18
59,0.0051,0.01,multiplicative,8.01,1.1373807439155293e+18
57,0.0051,0.01,multiplicative,4.01,1.1400314628080146e+18
75,0.0051,4.01,multiplicative,0.01,1.2219078345998461e+18
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,1.2292623588866156e+18
99,0.0051,8.01,multiplicative,8.01,1.2374299407543347e+18
97,0.0051,8.01,multiplicative,4.01,1.2399342965334413e+18
69,0.0051,2.01,multiplicative,8.01,1.2506256287587597e+18
77,0.0051,4.01,multiplicative,4.01,1.252870820010564e+18
78,0.0051,4.01,multiplicative,6.009999999999999,1.254877744030653e+18
79,0.0051,4.01,multiplicative,8.01,1.2553738371714232e+18
146,0.0101,8.01,multiplicative,2.01,1.2619830979131372e+18
86,0.0051,6.009999999999999,multiplicative,2.01,1.2624443369527772e+18
135,0.0101,6.009999999999999,multiplicative,0.01,1.2625718778636347e+18
105,0.0101,0.01,multiplicative,0.01,1.2647513759321905e+18
107,0.0101,0.01,multiplicative,4.01,1.2648926291323502e+18
108,0.0101,0.01,multiplicative,6.009999999999999,1.2649091356941082e+18
106,0.0101,0.01,multiplicative,2.01,1.2649103994390093e+18
139,0.0101,6.009999999999999,multiplicative,8.01,1.2709483396095053e+18
137,0.0101,6.009999999999999,multiplicative,4.01,1.271226409046266e+18
136,0.0101,6.009999999999999,multiplicative,2.01,1.271257733718333e+18
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,1.27132903540346e+18
109,0.0101,0.01,multiplicative,8.01,1.2727852053135076e+18
115,0.0101,2.01,multiplicative,0.01,1.2730482228711265e+18
118,0.0101,2.01,multiplicative,6.009999999999999,1.27317689518558e+18
117,0.0101,2.01,multiplicative,4.01,1.2731770330717302e+18
116,0.0101,2.01,multiplicative,2.01,1.2731775378788365e+18
119,0.0101,2.01,multiplicative,8.01,1.2731777200120515e+18
125,0.0101,4.01,multiplicative,0.01,1.273372719838831e+18
126,0.0101,4.01,multiplicative,2.01,1.273619692388923e+18
128,0.0101,4.01,multiplicative,6.009999999999999,1.2736197302097341e+18
127,0.0101,4.01,multiplicative,4.01,1.2736197455066365e+18
129,0.0101,4.01,multiplicative,8.01,1.273619759358076e+18
147,0.0101,8.01,multiplicative,4.01,1.280379349044525e+18
98,0.0051,8.01,multiplicative,6.009999999999999,1.280703129874144e+18
149,0.0101,8.01,multiplicative,8.01,1.282415853412727e+18
89,0.0051,6.009999999999999,multiplicative,8.01,1.2835191920156713e+18
96,0.0051,8.01,multiplicative,2.01,1.291251732494876e+18
148,0.0101,8.01,multiplicative,6.009999999999999,1.2938599416480996e+18
95,0.0051,8.01,multiplicative,0.01,1.2965758438993357e+18
68,0.0051,2.01,multiplicative,6.009999999999999,1.2973204468243366e+18
65,0.0051,2.01,multiplicative,0.01,1.2993912903826081e+18
145,0.0101,8.01,multiplicative,0.01,1.3005406831886508e+18
66,0.0051,2.01,multiplicative,2.01,1.3008846523368788e+18
85,0.0051,6.009999999999999,multiplicative,0.01,1.3015808576302712e+18
87,0.0051,6.009999999999999,multiplicative,4.01,1.311426647056911e+18
6,0.0001,0.01,multiplicative,2.01,1.3472791622248712e+18
7,0.0001,0.01,multiplicative,4.01,1.3472791679558743e+18
8,0.0001,0.01,multiplicative,6.009999999999999,1.347283189016357e+18
9,0.0001,0.01,multiplicative,8.01,1.3472831899827203e+18
5,0.0001,0.01,multiplicative,0.01,1.3472863580641915e+18
25,0.0001,4.01,multiplicative,0.01,1.3484969123485868e+18
48,0.0001,8.01,multiplicative,6.009999999999999,1.3484969249852155e+18
46,0.0001,8.01,multiplicative,2.01,1.3484969577715057e+18
27,0.0001,4.01,multiplicative,4.01,1.3484970107323471e+18
28,0.0001,4.01,multiplicative,6.009999999999999,1.3484970732905032e+18
29,0.0001,4.01,multiplicative,8.01,1.348497100481911e+18
36,0.0001,6.009999999999999,multiplicative,2.01,1.3484972396571694e+18
37,0.0001,6.009999999999999,multiplicative,4.01,1.3484972453205176e+18
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,1.3484972494822275e+18
47,0.0001,8.01,multiplicative,4.01,1.3484972835402458e+18
39,0.0001,6.009999999999999,multiplicative,8.01,1.3484973014016092e+18
49,0.0001,8.01,multiplicative,8.01,1.3484973085570463e+18
26,0.0001,4.01,multiplicative,2.01,1.3484997980831672e+18
15,0.0001,2.01,multiplicative,0.01,1.348500253587666e+18
35,0.0001,6.009999999999999,multiplicative,0.01,1.348506537700496e+18
45,0.0001,8.01,multiplicative,0.01,1.348506549786449e+18
18,0.0001,2.01,multiplicative,6.009999999999999,1.3485075578748111e+18
16,0.0001,2.01,multiplicative,2.01,1.348507558081174e+18
19,0.0001,2.01,multiplicative,8.01,1.3485076083285857e+18
17,0.0001,2.01,multiplicative,4.01,1.3485077398445548e+18
54,0.0051,0.01,additive,8.01,1.9802986838088123e+18
53,0.0051,0.01,additive,6.009999999999999,1.981671278183862e+18
52,0.0051,0.01,additive,4.01,1.9870996947867323e+18
51,0.0051,0.01,additive,2.01,1.991913590905369e+18
102,0.0101,0.01,additive,4.01,2.0044500476726287e+18
100,0.0101,0.01,additive,0.01,2.0094472907151352e+18
113,0.0101,2.01,additive,6.009999999999999,2.0162514139475776e+18
121,0.0101,4.01,additive,2.01,2.0162983960207352e+18
104,0.0101,0.01,additive,8.01,2.0164377046720056e+18
133,0.0101,6.009999999999999,additive,6.009999999999999,2.017405673073788e+18
114,0.0101,2.01,additive,8.01,2.0174277346353856e+18
122,0.0101,4.01,additive,4.01,2.0176851736290496e+18
103,0.0101,0.01,additive,6.009999999999999,2.0179058657662743e+18
144,0.0101,8.01,additive,8.01,2.0218527703438956e+18
141,0.0101,8.01,additive,2.01,2.0220976621103864e+18
123,0.0101,4.01,additive,6.009999999999999,2.022826857087138e+18
142,0.0101,8.01,additive,4.01,2.0228825986602716e+18
132,0.0101,6.009999999999999,additive,4.01,2.023547214225538e+18
134,0.0101,6.009999999999999,additive,8.01,2.023951004263323e+18
124,0.0101,4.01,additive,8.01,2.0241065714857664e+18
111,0.0101,2.01,additive,2.01,2.0243940714858527e+18
112,0.0101,2.01,additive,4.01,2.0249000425841897e+18
101,0.0101,0.01,additive,2.01,2.0257074670694449e+18
80,0.0051,6.009999999999999,additive,0.01,2.028859375888399e+18
131,0.0101,6.009999999999999,additive,2.01,2.0294724448137953e+18
90,0.0051,8.01,additive,0.01,2.0295100163763087e+18
70,0.0051,4.01,additive,0.01,2.0303111386758323e+18
130,0.0101,6.009999999999999,additive,0.01,2.0325856130743393e+18
50,0.0051,0.01,additive,0.01,2.0339727081862129e+18
140,0.0101,8.01,additive,0.01,2.0341472560537372e+18
60,0.0051,2.01,additive,0.01,2.0352541801821527e+18
110,0.0101,2.01,additive,0.01,2.047092252312876e+18
120,0.0101,4.01,additive,0.01,2.050108800220474e+18
63,0.0051,2.01,additive,6.009999999999999,2.050465684982908e+18
94,0.0051,8.01,additive,8.01,2.052727056079956e+18
82,0.0051,6.009999999999999,additive,4.01,2.052806325744527e+18
92,0.0051,8.01,additive,4.01,2.0540908215263444e+18
62,0.0051,2.01,additive,4.01,2.0551356211330455e+18
81,0.0051,6.009999999999999,additive,2.01,2.0557772385670072e+18
71,0.0051,4.01,additive,2.01,2.0558185469643735e+18
91,0.0051,8.01,additive,2.01,2.0560656710408412e+18
64,0.0051,2.01,additive,8.01,2.0564270335610404e+18
72,0.0051,4.01,additive,4.01,2.0573600500745144e+18
61,0.0051,2.01,additive,2.01,2.057864491569873e+18
84,0.0051,6.009999999999999,additive,8.01,2.059624589849884e+18
93,0.0051,8.01,additive,6.009999999999999,2.060226937031909e+18
83,0.0051,6.009999999999999,additive,6.009999999999999,2.0603356697233385e+18
74,0.0051,4.01,additive,8.01,2.0643166030381937e+18
73,0.0051,4.01,additive,6.009999999999999,2.0661451811529313e+18
143,0.0101,8.01,additive,6.009999999999999,2.074860890214892e+18
12,0.0001,2.01,additive,4.01,2.493252271597873e+18
14,0.0001,2.01,additive,8.01,2.4939300660382525e+18
13,0.0001,2.01,additive,6.009999999999999,2.4944297648198574e+18
10,0.0001,2.01,additive,0.01,2.494538122794707e+18
0,0.0001,0.01,additive,0.01,2.495046975112312e+18
1,0.0001,0.01,additive,2.01,2.4999013413635963e+18
3,0.0001,0.01,additive,6.009999999999999,2.49993457446461e+18
4,0.0001,0.01,additive,8.01,2.499935173859654e+18
2,0.0001,0.01,additive,4.01,2.499936411413208e+18
44,0.0001,8.01,additive,8.01,2.5016260339313306e+18
11,0.0001,2.01,additive,2.01,2.502409721885142e+18
40,0.0001,8.01,additive,0.01,2.5038008880876554e+18
34,0.0001,6.009999999999999,additive,8.01,2.506581088257471e+18
33,0.0001,6.009999999999999,additive,6.009999999999999,2.5069365846379443e+18
42,0.0001,8.01,additive,4.01,2.5069498396748436e+18
41,0.0001,8.01,additive,2.01,2.507228273800875e+18
43,0.0001,8.01,additive,6.009999999999999,2.5076251734024745e+18
31,0.0001,6.009999999999999,additive,2.01,2.5083448634796314e+18
32,0.0001,6.009999999999999,additive,4.01,2.5085057226691983e+18
21,0.0001,4.01,additive,2.01,2.508578753902224e+18
22,0.0001,4.01,additive,4.01,2.5091535670264356e+18
23,0.0001,4.01,additive,6.009999999999999,2.50915474847699e+18
24,0.0001,4.01,additive,8.01,2.509156876977115e+18
20,0.0001,4.01,additive,0.01,2.5092849959777987e+18
30,0.0001,6.009999999999999,additive,0.01,2.5092952938681124e+18
