,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
588,0.0101,9.01,additive,8.01,0.16023970480695532
412,0.0101,0.01,multiplicative,2.01,0.2005620611271042
573,0.0101,8.01,multiplicative,3.01,0.2827325422474969
423,0.0101,1.01,additive,3.01,0.2836767713282079
499,0.0101,4.01,multiplicative,9.01,0.29673744361833354
540,0.0101,7.01,additive,0.01,0.30555022217799976
524,0.0101,6.01,additive,4.01,0.30696079094674766
451,0.0101,2.01,multiplicative,1.01,0.3130891360642245
511,0.0101,5.01,multiplicative,1.01,0.31912758568218474
534,0.0101,6.01,multiplicative,4.01,0.32168332259828164
467,0.0101,3.01,additive,7.01,0.3222359465831459
595,0.0101,9.01,multiplicative,5.01,0.3228954416584292
407,0.0101,0.01,additive,7.01,0.32344320607420857
435,0.0101,1.01,multiplicative,5.01,0.32439663836482885
504,0.0101,5.01,additive,4.01,0.3267465049042796
586,0.0101,9.01,additive,6.01,0.3317957616041756
489,0.0101,4.01,additive,9.01,0.3331559533092295
594,0.0101,9.01,multiplicative,4.01,0.34150717756283266
566,0.0101,8.01,additive,6.01,0.34182316071954655
426,0.0101,1.01,additive,6.01,0.34280023674589066
425,0.0101,1.01,additive,5.01,0.34294735330214904
420,0.0101,1.01,additive,0.01,0.3443160166251427
502,0.0101,5.01,additive,2.01,0.3447931059192025
585,0.0101,9.01,additive,5.01,0.34606172495776877
556,0.0101,7.01,multiplicative,6.01,0.3463777730659695
482,0.0101,4.01,additive,2.01,0.3466029121161231
455,0.0101,2.01,multiplicative,5.01,0.34732430291910066
579,0.0101,8.01,multiplicative,9.01,0.3482611148968051
590,0.0101,9.01,multiplicative,0.01,0.34827358122331886
483,0.0101,4.01,additive,3.01,0.3494307360193396
507,0.0101,5.01,additive,7.01,0.35088562893516395
503,0.0101,5.01,additive,3.01,0.35128097581913803
411,0.0101,0.01,multiplicative,1.01,0.35154659643794905
492,0.0101,4.01,multiplicative,2.01,0.35350767734279137
442,0.0101,2.01,additive,2.01,0.35394237794239847
439,0.0101,1.01,multiplicative,9.01,0.35438854161723854
575,0.0101,8.01,multiplicative,5.01,0.35476101627441653
466,0.0101,3.01,additive,6.01,0.35534659450252265
440,0.0101,2.01,additive,0.01,0.35538347750644783
509,0.0101,5.01,additive,9.01,0.3557631808601223
553,0.0101,7.01,multiplicative,3.01,0.3565356660696594
463,0.0101,3.01,additive,3.01,0.35675473136380176
446,0.0101,2.01,additive,6.01,0.3568869475523538
490,0.0101,4.01,multiplicative,0.01,0.35705346191052206
547,0.0101,7.01,additive,7.01,0.3578859530360545
468,0.0101,3.01,additive,8.01,0.35801921798624525
525,0.0101,6.01,additive,5.01,0.35838006656052984
477,0.0101,3.01,multiplicative,7.01,0.35865170216766507
401,0.0101,0.01,additive,1.01,0.35892933832577484
449,0.0101,2.01,additive,9.01,0.36121853287639866
430,0.0101,1.01,multiplicative,0.01,0.36161774442628164
429,0.0101,1.01,additive,9.01,0.36211312805289114
512,0.0101,5.01,multiplicative,2.01,0.36244171269578385
500,0.0101,5.01,additive,0.01,0.36338804541664343
403,0.0101,0.01,additive,3.01,0.36372320285455984
550,0.0101,7.01,multiplicative,0.01,0.3638456645638419
417,0.0101,0.01,multiplicative,7.01,0.3641829210527467
415,0.0101,0.01,multiplicative,5.01,0.3656751185498076
599,0.0101,9.01,multiplicative,9.01,0.36616558060783017
596,0.0101,9.01,multiplicative,6.01,0.3666490558019804
576,0.0101,8.01,multiplicative,6.01,0.3673554514076875
450,0.0101,2.01,multiplicative,0.01,0.3675607325241611
518,0.0101,5.01,multiplicative,8.01,0.3676051585309137
567,0.0101,8.01,additive,7.01,0.3676903456800927
542,0.0101,7.01,additive,2.01,0.36796810645160255
480,0.0101,4.01,additive,0.01,0.36796863228640325
531,0.0101,6.01,multiplicative,1.01,0.3681244995991377
424,0.0101,1.01,additive,4.01,0.36814055847260946
561,0.0101,8.01,additive,1.01,0.36827879420985016
433,0.0101,1.01,multiplicative,3.01,0.36830024564950475
448,0.0101,2.01,additive,8.01,0.36830842516992285
583,0.0101,9.01,additive,3.01,0.36851425175581737
572,0.0101,8.01,multiplicative,2.01,0.3687199412645156
548,0.0101,7.01,additive,8.01,0.3687625612783701
462,0.0101,3.01,additive,2.01,0.36913714117492763
580,0.0101,9.01,additive,0.01,0.3692631432578883
473,0.0101,3.01,multiplicative,3.01,0.36928611516653453
428,0.0101,1.01,additive,8.01,0.36943267803463303
475,0.0101,3.01,multiplicative,5.01,0.36970532929642685
526,0.0101,6.01,additive,6.01,0.3698843527732606
560,0.0101,8.01,additive,0.01,0.37042798826060763
