,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
107,0.0101,0.01,multiplicative,4.01,49.40422047314304
109,0.0101,0.01,multiplicative,8.01,49.44976588469423
106,0.0101,0.01,multiplicative,2.01,49.52126350588539
108,0.0101,0.01,multiplicative,6.009999999999999,49.71206211269006
105,0.0101,0.01,multiplicative,0.01,49.84225739508569
57,0.0051,0.01,multiplicative,4.01,50.10576403506201
58,0.0051,0.01,multiplicative,6.009999999999999,50.112107294392764
59,0.0051,0.01,multiplicative,8.01,50.24402902969782
55,0.0051,0.01,multiplicative,0.01,50.31587911863208
56,0.0051,0.01,multiplicative,2.01,50.672981857268255
5,0.0001,0.01,multiplicative,0.01,74.72804989768845
6,0.0001,0.01,multiplicative,2.01,74.72806827373977
8,0.0001,0.01,multiplicative,6.009999999999999,74.72806830113593
7,0.0001,0.01,multiplicative,4.01,74.72806830195178
9,0.0001,0.01,multiplicative,8.01,74.72806830343474
15,0.0001,2.01,multiplicative,0.01,74.73696909870213
25,0.0001,4.01,multiplicative,0.01,74.73697987796223
45,0.0001,8.01,multiplicative,0.01,74.73698238474475
35,0.0001,6.009999999999999,multiplicative,0.01,74.73698278295261
19,0.0001,2.01,multiplicative,8.01,74.73706315205504
16,0.0001,2.01,multiplicative,2.01,74.73706315283626
18,0.0001,2.01,multiplicative,6.009999999999999,74.73706315295762
17,0.0001,2.01,multiplicative,4.01,74.7370631533224
26,0.0001,4.01,multiplicative,2.01,74.73706934529172
28,0.0001,4.01,multiplicative,6.009999999999999,74.7370693459635
29,0.0001,4.01,multiplicative,8.01,74.73706934601546
27,0.0001,4.01,multiplicative,4.01,74.73706934610404
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,74.73706936965145
39,0.0001,6.009999999999999,multiplicative,8.01,74.73706936968281
37,0.0001,6.009999999999999,multiplicative,4.01,74.7370693697455
36,0.0001,6.009999999999999,multiplicative,2.01,74.7370693710979
46,0.0001,8.01,multiplicative,2.01,74.73706937909796
47,0.0001,8.01,multiplicative,4.01,74.73706937914577
49,0.0001,8.01,multiplicative,8.01,74.7370693792226
48,0.0001,8.01,multiplicative,6.009999999999999,74.73706937923748
136,0.0101,6.009999999999999,multiplicative,2.01,77.8200680685612
139,0.0101,6.009999999999999,multiplicative,8.01,77.94646066568544
137,0.0101,6.009999999999999,multiplicative,4.01,78.25599114244774
147,0.0101,8.01,multiplicative,4.01,78.34536684689076
125,0.0101,4.01,multiplicative,0.01,78.44972057554621
149,0.0101,8.01,multiplicative,8.01,78.47366877357474
148,0.0101,8.01,multiplicative,6.009999999999999,78.49750637867423
146,0.0101,8.01,multiplicative,2.01,78.51855687481425
115,0.0101,2.01,multiplicative,0.01,78.60461200586737
116,0.0101,2.01,multiplicative,2.01,78.73260100595337
127,0.0101,4.01,multiplicative,4.01,78.81723405648009
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,78.81890635980446
117,0.0101,2.01,multiplicative,4.01,78.82700348344791
126,0.0101,4.01,multiplicative,2.01,78.83834604339688
119,0.0101,2.01,multiplicative,8.01,78.85715586771033
128,0.0101,4.01,multiplicative,6.009999999999999,78.8791405735582
129,0.0101,4.01,multiplicative,8.01,78.88950283522456
118,0.0101,2.01,multiplicative,6.009999999999999,78.90496688375993
135,0.0101,6.009999999999999,multiplicative,0.01,78.94324775482941
145,0.0101,8.01,multiplicative,0.01,79.2185038970165
65,0.0051,2.01,multiplicative,0.01,79.38017759482192
68,0.0051,2.01,multiplicative,6.009999999999999,79.58953203163723
66,0.0051,2.01,multiplicative,2.01,79.65399582904574
69,0.0051,2.01,multiplicative,8.01,79.99844827160045
67,0.0051,2.01,multiplicative,4.01,80.04281730082717
79,0.0051,4.01,multiplicative,8.01,80.29958566452888
76,0.0051,4.01,multiplicative,2.01,80.34066699435812
89,0.0051,6.009999999999999,multiplicative,8.01,80.5442571158866
87,0.0051,6.009999999999999,multiplicative,4.01,80.56760895829082
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,80.57006571357199
86,0.0051,6.009999999999999,multiplicative,2.01,80.57788916294169
85,0.0051,6.009999999999999,multiplicative,0.01,80.64997962607308
95,0.0051,8.01,multiplicative,0.01,80.67595796720026
75,0.0051,4.01,multiplicative,0.01,80.80331306565199
97,0.0051,8.01,multiplicative,4.01,80.95403959871602
99,0.0051,8.01,multiplicative,8.01,80.9823301047103
96,0.0051,8.01,multiplicative,2.01,80.98254278552137
98,0.0051,8.01,multiplicative,6.009999999999999,81.0068447637411
60,0.0051,2.01,additive,0.01,82.97078417575902
78,0.0051,4.01,multiplicative,6.009999999999999,83.00447936906045
74,0.0051,4.01,additive,8.01,83.23084787507483
114,0.0101,2.01,additive,8.01,83.25177664528444
144,0.0101,8.01,additive,8.01,83.26878666798322
90,0.0051,8.01,additive,0.01,83.31633897656054
80,0.0051,6.009999999999999,additive,0.01,83.33752633977605
121,0.0101,4.01,additive,2.01,83.36085077585389
71,0.0051,4.01,additive,2.01,83.36942815724298
131,0.0101,6.009999999999999,additive,2.01,83.40492894847006
70,0.0051,4.01,additive,0.01,83.42048670554226
83,0.0051,6.009999999999999,additive,6.009999999999999,83.43056360777317
133,0.0101,6.009999999999999,additive,6.009999999999999,83.46043373153879
84,0.0051,6.009999999999999,additive,8.01,83.46297534274474
140,0.0101,8.01,additive,0.01,83.46872542429057
141,0.0101,8.01,additive,2.01,83.4771977735778
94,0.0051,8.01,additive,8.01,83.50102090068637
142,0.0101,8.01,additive,4.01,83.50477627124043
122,0.0101,4.01,additive,4.01,83.50765274154938
77,0.0051,4.01,multiplicative,4.01,83.52615369070202
73,0.0051,4.01,additive,6.009999999999999,83.52938494274346
132,0.0101,6.009999999999999,additive,4.01,83.54141482768617
81,0.0051,6.009999999999999,additive,2.01,83.54818385280537
134,0.0101,6.009999999999999,additive,8.01,83.57627663065044
112,0.0101,2.01,additive,4.01,83.6141705155705
62,0.0051,2.01,additive,4.01,83.62229071060126
124,0.0101,4.01,additive,8.01,83.65361045131348
123,0.0101,4.01,additive,6.009999999999999,83.68038875360119
52,0.0051,0.01,additive,4.01,83.68179383894181
113,0.0101,2.01,additive,6.009999999999999,83.69029131374613
