,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
117,0.0101,2.01,multiplicative,4.01,141.83830608206648
97,0.0051,8.01,multiplicative,4.01,145.8524649476199
98,0.0051,8.01,multiplicative,6.009999999999999,146.19266384393322
96,0.0051,8.01,multiplicative,2.01,146.21855361804148
87,0.0051,6.009999999999999,multiplicative,4.01,147.68765943803427
99,0.0051,8.01,multiplicative,8.01,148.37625236285578
65,0.0051,2.01,multiplicative,0.01,151.8845045387145
95,0.0051,8.01,multiplicative,0.01,154.50044169039364
79,0.0051,4.01,multiplicative,8.01,159.9908638067935
100,0.0101,0.01,additive,0.01,162.2107874601486
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,165.0964062970764
66,0.0051,2.01,multiplicative,2.01,165.4909918972675
67,0.0051,2.01,multiplicative,4.01,165.76175260852241
69,0.0051,2.01,multiplicative,8.01,165.8369506013864
76,0.0051,4.01,multiplicative,2.01,167.04528656683016
70,0.0051,4.01,additive,0.01,167.38973186107998
130,0.0101,6.009999999999999,additive,0.01,168.4637922849037
78,0.0051,4.01,multiplicative,6.009999999999999,168.84069895094024
110,0.0101,2.01,additive,0.01,168.91017549225103
86,0.0051,6.009999999999999,multiplicative,2.01,169.51424032029735
89,0.0051,6.009999999999999,multiplicative,8.01,169.62375614654604
52,0.0051,0.01,additive,4.01,169.6442392304758
54,0.0051,0.01,additive,8.01,169.718495866671
146,0.0101,8.01,multiplicative,2.01,170.2810752230679
108,0.0101,0.01,multiplicative,6.009999999999999,170.49550209733712
120,0.0101,4.01,additive,0.01,170.71017909053768
50,0.0051,0.01,additive,0.01,170.75219328000946
77,0.0051,4.01,multiplicative,4.01,170.75663806662155
90,0.0051,8.01,additive,0.01,171.13631454344358
53,0.0051,0.01,additive,6.009999999999999,171.7993466170329
80,0.0051,6.009999999999999,additive,0.01,171.88714267490576
104,0.0101,0.01,additive,8.01,172.8639787787678
28,0.0001,4.01,multiplicative,6.009999999999999,173.2533047619732
