,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
65,0.0051,2.01,multiplicative,0.01,111.73899690103946
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,111.7408561134777
85,0.0051,6.009999999999999,multiplicative,0.01,111.81897941320314
75,0.0051,4.01,multiplicative,0.01,112.08617162304762
59,0.0051,0.01,multiplicative,8.01,112.11636444357241
78,0.0051,4.01,multiplicative,6.009999999999999,112.29261528108962
57,0.0051,0.01,multiplicative,4.01,112.5274800865119
95,0.0051,8.01,multiplicative,0.01,113.0368946721159
87,0.0051,6.009999999999999,multiplicative,4.01,113.2900274045263
79,0.0051,4.01,multiplicative,8.01,114.44805869278787
96,0.0051,8.01,multiplicative,2.01,114.69728157849761
99,0.0051,8.01,multiplicative,8.01,114.85673725035299
97,0.0051,8.01,multiplicative,4.01,115.3299127873193
89,0.0051,6.009999999999999,multiplicative,8.01,115.58907861525078
29,0.0001,4.01,multiplicative,8.01,116.31344496384952
67,0.0051,2.01,multiplicative,4.01,116.68938330358645
66,0.0051,2.01,multiplicative,2.01,116.7851308468904
76,0.0051,4.01,multiplicative,2.01,117.11226444545125
129,0.0101,4.01,multiplicative,8.01,117.39088218482343
19,0.0001,2.01,multiplicative,8.01,117.47913043137008
127,0.0101,4.01,multiplicative,4.01,117.53154071909626
77,0.0051,4.01,multiplicative,4.01,117.54183715288666
69,0.0051,2.01,multiplicative,8.01,117.55676970011102
56,0.0051,0.01,multiplicative,2.01,117.72551222642474
105,0.0101,0.01,multiplicative,0.01,118.0883469006709
86,0.0051,6.009999999999999,multiplicative,2.01,118.35755209824232
147,0.0101,8.01,multiplicative,4.01,118.47398778329077
128,0.0101,4.01,multiplicative,6.009999999999999,118.67296542332679
148,0.0101,8.01,multiplicative,6.009999999999999,118.83224674889232
126,0.0101,4.01,multiplicative,2.01,118.83837059655879
98,0.0051,8.01,multiplicative,6.009999999999999,118.8705844044669
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,118.88971356962341
139,0.0101,6.009999999999999,multiplicative,8.01,119.12419739217783
28,0.0001,4.01,multiplicative,6.009999999999999,119.16005180464806
149,0.0101,8.01,multiplicative,8.01,119.34944958637705
106,0.0101,0.01,multiplicative,2.01,119.38165139214156
125,0.0101,4.01,multiplicative,0.01,119.48039414970819
136,0.0101,6.009999999999999,multiplicative,2.01,119.58468259146177
109,0.0101,0.01,multiplicative,8.01,119.71985904735661
119,0.0101,2.01,multiplicative,8.01,119.89937805087472
117,0.0101,2.01,multiplicative,4.01,120.10301819472097
107,0.0101,0.01,multiplicative,4.01,120.11226700320856
108,0.0101,0.01,multiplicative,6.009999999999999,120.2191070686756
145,0.0101,8.01,multiplicative,0.01,120.25595129135385
137,0.0101,6.009999999999999,multiplicative,4.01,120.29796333427846
48,0.0001,8.01,multiplicative,6.009999999999999,120.53725542222098
115,0.0101,2.01,multiplicative,0.01,120.55615130725799
135,0.0101,6.009999999999999,multiplicative,0.01,120.62236284664269
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,120.62488603437711
58,0.0051,0.01,multiplicative,6.009999999999999,120.66419893122938
68,0.0051,2.01,multiplicative,6.009999999999999,120.71821999622172
5,0.0001,0.01,multiplicative,0.01,120.81289413709568
118,0.0101,2.01,multiplicative,6.009999999999999,120.82120563093959
146,0.0101,8.01,multiplicative,2.01,120.92447984826113
18,0.0001,2.01,multiplicative,6.009999999999999,120.92901493426729
55,0.0051,0.01,multiplicative,0.01,121.24325031645009
116,0.0101,2.01,multiplicative,2.01,121.54836828282482
49,0.0001,8.01,multiplicative,8.01,122.3737740575372
39,0.0001,6.009999999999999,multiplicative,8.01,122.63852573516358
16,0.0001,2.01,multiplicative,2.01,125.78273995137867
6,0.0001,0.01,multiplicative,2.01,130.4014899171508
35,0.0001,6.009999999999999,multiplicative,0.01,131.6030516187885
25,0.0001,4.01,multiplicative,0.01,137.0117607981408
15,0.0001,2.01,multiplicative,0.01,137.19504083989688
8,0.0001,0.01,multiplicative,6.009999999999999,143.8427745395965
26,0.0001,4.01,multiplicative,2.01,144.77622993219896
9,0.0001,0.01,multiplicative,8.01,147.85569484148925
45,0.0001,8.01,multiplicative,0.01,150.30814141657288
50,0.0051,0.01,additive,0.01,150.63042531568604
0,0.0001,0.01,additive,0.01,152.0141787242275
100,0.0101,0.01,additive,0.01,152.10011702934295
52,0.0051,0.01,additive,4.01,152.285780184296
53,0.0051,0.01,additive,6.009999999999999,152.8690534904723
51,0.0051,0.01,additive,2.01,153.0626241456646
54,0.0051,0.01,additive,8.01,153.72789165038347
90,0.0051,8.01,additive,0.01,154.6675244447868
110,0.0101,2.01,additive,0.01,154.98106986955256
101,0.0101,0.01,additive,2.01,155.55674051655708
140,0.0101,8.01,additive,0.01,155.85610199727168
80,0.0051,6.009999999999999,additive,0.01,155.95044483299446
70,0.0051,4.01,additive,0.01,156.18458309525863
120,0.0101,4.01,additive,0.01,156.42849924588137
10,0.0001,2.01,additive,0.01,156.54442690026596
20,0.0001,4.01,additive,0.01,156.54461172950417
30,0.0001,6.009999999999999,additive,0.01,156.54465502680083
40,0.0001,8.01,additive,0.01,156.5446781330427
74,0.0051,4.01,additive,8.01,156.6687226065629
130,0.0101,6.009999999999999,additive,0.01,156.7245378448662
61,0.0051,2.01,additive,2.01,156.84548364337957
104,0.0101,0.01,additive,8.01,156.88428610207973
83,0.0051,6.009999999999999,additive,6.009999999999999,156.94305875334257
