,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
59,0.0051,0.01,multiplicative,8.01,167.15683032982454
57,0.0051,0.01,multiplicative,4.01,167.23149385126814
58,0.0051,0.01,multiplicative,6.009999999999999,167.24296088958562
56,0.0051,0.01,multiplicative,2.01,167.24719602847344
6,0.0001,0.01,multiplicative,2.01,171.54650544077276
109,0.0101,0.01,multiplicative,8.01,173.3982161583749
108,0.0101,0.01,multiplicative,6.009999999999999,174.82993416095235
107,0.0101,0.01,multiplicative,4.01,174.84599426573772
106,0.0101,0.01,multiplicative,2.01,175.00236855262344
105,0.0101,0.01,multiplicative,0.01,175.410650190148
7,0.0001,0.01,multiplicative,4.01,176.4236874432143
65,0.0051,2.01,multiplicative,0.01,176.44317707868262
95,0.0051,8.01,multiplicative,0.01,176.67857058680354
55,0.0051,0.01,multiplicative,0.01,178.19054403653627
96,0.0051,8.01,multiplicative,2.01,178.4455517095641
98,0.0051,8.01,multiplicative,6.009999999999999,178.4715088639081
86,0.0051,6.009999999999999,multiplicative,2.01,179.49828563640835
68,0.0051,2.01,multiplicative,6.009999999999999,179.73713706786532
77,0.0051,4.01,multiplicative,4.01,179.87827893556286
67,0.0051,2.01,multiplicative,4.01,180.5572473029678
69,0.0051,2.01,multiplicative,8.01,180.66931831127312
87,0.0051,6.009999999999999,multiplicative,4.01,180.9401143879155
75,0.0051,4.01,multiplicative,0.01,181.18815494164517
89,0.0051,6.009999999999999,multiplicative,8.01,181.2177515740154
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,181.2592197904506
79,0.0051,4.01,multiplicative,8.01,181.7579361120937
66,0.0051,2.01,multiplicative,2.01,182.00476814954536
78,0.0051,4.01,multiplicative,6.009999999999999,182.22936793659855
85,0.0051,6.009999999999999,multiplicative,0.01,182.2589435439576
97,0.0051,8.01,multiplicative,4.01,182.3676438411436
99,0.0051,8.01,multiplicative,8.01,182.6409636088566
118,0.0101,2.01,multiplicative,6.009999999999999,182.95282238379028
126,0.0101,4.01,multiplicative,2.01,182.98618769587486
127,0.0101,4.01,multiplicative,4.01,183.00406039717407
115,0.0101,2.01,multiplicative,0.01,183.0060997705025
129,0.0101,4.01,multiplicative,8.01,183.05693330077298
117,0.0101,2.01,multiplicative,4.01,183.0725311268646
147,0.0101,8.01,multiplicative,4.01,183.07542882183952
135,0.0101,6.009999999999999,multiplicative,0.01,183.324401596702
125,0.0101,4.01,multiplicative,0.01,183.5243053704832
136,0.0101,6.009999999999999,multiplicative,2.01,183.55326850058847
76,0.0051,4.01,multiplicative,2.01,183.75840043631464
148,0.0101,8.01,multiplicative,6.009999999999999,183.77992050546416
119,0.0101,2.01,multiplicative,8.01,183.7802319744624
137,0.0101,6.009999999999999,multiplicative,4.01,183.78683983922684
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,183.82958224620862
146,0.0101,8.01,multiplicative,2.01,183.83190849854736
149,0.0101,8.01,multiplicative,8.01,183.85510630032033
