,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
66,0.0051,2.01,multiplicative,2.01,106.51114919942822
7,0.0001,0.01,multiplicative,4.01,107.53087979795555
88,0.0051,6.009999999999999,multiplicative,6.009999999999999,108.50109121795334
56,0.0051,0.01,multiplicative,2.01,108.9140256151467
55,0.0051,0.01,multiplicative,0.01,109.34581938523664
148,0.0101,8.01,multiplicative,6.009999999999999,109.92053984022745
147,0.0101,8.01,multiplicative,4.01,110.92722738020903
145,0.0101,8.01,multiplicative,0.01,111.13808795862961
109,0.0101,0.01,multiplicative,8.01,111.65519432538082
107,0.0101,0.01,multiplicative,4.01,111.6725302991536
106,0.0101,0.01,multiplicative,2.01,111.69157269050459
108,0.0101,0.01,multiplicative,6.009999999999999,111.80617695813906
95,0.0051,8.01,multiplicative,0.01,112.41214512633424
125,0.0101,4.01,multiplicative,0.01,112.4531698951567
135,0.0101,6.009999999999999,multiplicative,0.01,112.58804595895644
129,0.0101,4.01,multiplicative,8.01,113.037687503555
68,0.0051,2.01,multiplicative,6.009999999999999,113.06828875831705
128,0.0101,4.01,multiplicative,6.009999999999999,113.07149505332879
137,0.0101,6.009999999999999,multiplicative,4.01,113.08695040584125
69,0.0051,2.01,multiplicative,8.01,113.15533358556604
127,0.0101,4.01,multiplicative,4.01,113.19934686375048
136,0.0101,6.009999999999999,multiplicative,2.01,113.31475572614436
97,0.0051,8.01,multiplicative,4.01,113.44305368114908
86,0.0051,6.009999999999999,multiplicative,2.01,113.5117599228158
139,0.0101,6.009999999999999,multiplicative,8.01,113.9222225398169
138,0.0101,6.009999999999999,multiplicative,6.009999999999999,113.98855921290694
89,0.0051,6.009999999999999,multiplicative,8.01,114.47875030543449
146,0.0101,8.01,multiplicative,2.01,114.93384315291372
116,0.0101,2.01,multiplicative,2.01,114.99865323673181
117,0.0101,2.01,multiplicative,4.01,115.0064319972519
126,0.0101,4.01,multiplicative,2.01,115.01061009112192
118,0.0101,2.01,multiplicative,6.009999999999999,115.15158260713585
149,0.0101,8.01,multiplicative,8.01,115.17505898585864
119,0.0101,2.01,multiplicative,8.01,115.17687892618976
96,0.0051,8.01,multiplicative,2.01,115.30293947188622
105,0.0101,0.01,multiplicative,0.01,116.26754102441205
77,0.0051,4.01,multiplicative,4.01,116.33975419922686
59,0.0051,0.01,multiplicative,8.01,116.41311464821918
5,0.0001,0.01,multiplicative,0.01,116.50329042914824
75,0.0051,4.01,multiplicative,0.01,116.96306789396877
115,0.0101,2.01,multiplicative,0.01,117.35249523511652
78,0.0051,4.01,multiplicative,6.009999999999999,118.61392528827122
99,0.0051,8.01,multiplicative,8.01,120.383230827491
79,0.0051,4.01,multiplicative,8.01,120.40481988944636
58,0.0051,0.01,multiplicative,6.009999999999999,120.44085639827968
57,0.0051,0.01,multiplicative,4.01,120.65992556638574
85,0.0051,6.009999999999999,multiplicative,0.01,120.85781170289754
6,0.0001,0.01,multiplicative,2.01,122.23091083073408
98,0.0051,8.01,multiplicative,6.009999999999999,122.67031127423826
76,0.0051,4.01,multiplicative,2.01,123.32068901130535
65,0.0051,2.01,multiplicative,0.01,123.55920319572597
87,0.0051,6.009999999999999,multiplicative,4.01,124.14887608926955
67,0.0051,2.01,multiplicative,4.01,124.86368015306284
27,0.0001,4.01,multiplicative,4.01,131.39821914949718
46,0.0001,8.01,multiplicative,2.01,131.75085446767397
37,0.0001,6.009999999999999,multiplicative,4.01,132.39612377178824
8,0.0001,0.01,multiplicative,6.009999999999999,132.98984971773825
36,0.0001,6.009999999999999,multiplicative,2.01,136.55873813302398
15,0.0001,2.01,multiplicative,0.01,138.53190156256417
47,0.0001,8.01,multiplicative,4.01,142.0171275772399
38,0.0001,6.009999999999999,multiplicative,6.009999999999999,142.04482123715565
25,0.0001,4.01,multiplicative,0.01,143.5247732032911
49,0.0001,8.01,multiplicative,8.01,145.4632541149115
48,0.0001,8.01,multiplicative,6.009999999999999,146.1698869795445
26,0.0001,4.01,multiplicative,2.01,146.17196279271653
35,0.0001,6.009999999999999,multiplicative,0.01,146.2881328532225
45,0.0001,8.01,multiplicative,0.01,146.9629747938792
50,0.0051,0.01,additive,0.01,148.67058130764664
0,0.0001,0.01,additive,0.01,149.26142839774585
53,0.0051,0.01,additive,6.009999999999999,151.8218742532471
54,0.0051,0.01,additive,8.01,151.8277638663499
52,0.0051,0.01,additive,4.01,152.01113380646706
51,0.0051,0.01,additive,2.01,152.0332266687889
100,0.0101,0.01,additive,0.01,152.5489329183733
19,0.0001,2.01,multiplicative,8.01,152.92395545588278
39,0.0001,6.009999999999999,multiplicative,8.01,153.57905809287908
29,0.0001,4.01,multiplicative,8.01,154.6053193344982
101,0.0101,0.01,additive,2.01,156.19369625818246
103,0.0101,0.01,additive,6.009999999999999,156.8090813640899
102,0.0101,0.01,additive,4.01,157.00829792982782
104,0.0101,0.01,additive,8.01,157.0440321944624
9,0.0001,0.01,multiplicative,8.01,158.95499085606482
28,0.0001,4.01,multiplicative,6.009999999999999,159.46354517777547
120,0.0101,4.01,additive,0.01,162.54063715329147
140,0.0101,8.01,additive,0.01,163.04392454146057
10,0.0001,2.01,additive,0.01,163.05778656751113
20,0.0001,4.01,additive,0.01,163.05903463640098
30,0.0001,6.009999999999999,additive,0.01,163.05921831724368
40,0.0001,8.01,additive,0.01,163.05928165874784
81,0.0051,6.009999999999999,additive,2.01,163.27780478575684
110,0.0101,2.01,additive,0.01,163.31381243546704
130,0.0101,6.009999999999999,additive,0.01,163.65516184692459
64,0.0051,2.01,additive,8.01,164.01809121316737
94,0.0051,8.01,additive,8.01,164.06891150519766
62,0.0051,2.01,additive,4.01,164.1068315787535
63,0.0051,2.01,additive,6.009999999999999,164.12229753712697
72,0.0051,4.01,additive,4.01,164.31728876807642
93,0.0051,8.01,additive,6.009999999999999,164.39002521574315
74,0.0051,4.01,additive,8.01,164.77073569296303
70,0.0051,4.01,additive,0.01,165.2766296505667
1,0.0001,0.01,additive,2.01,165.47543213965872
71,0.0051,4.01,additive,2.01,165.5338261061551
60,0.0051,2.01,additive,0.01,165.85300862543218
61,0.0051,2.01,additive,2.01,165.85878743646987
18,0.0001,2.01,multiplicative,6.009999999999999,165.9606753020634
73,0.0051,4.01,additive,6.009999999999999,166.44059400126076
91,0.0051,8.01,additive,2.01,166.56066145879342
90,0.0051,8.01,additive,0.01,166.57300962782253
82,0.0051,6.009999999999999,additive,4.01,167.2959210943181
92,0.0051,8.01,additive,4.01,167.34002838656505
16,0.0001,2.01,multiplicative,2.01,167.58732398372715
80,0.0051,6.009999999999999,additive,0.01,168.22355063513925
123,0.0101,4.01,additive,6.009999999999999,169.43650261929707
133,0.0101,6.009999999999999,additive,6.009999999999999,169.90916264294327
122,0.0101,4.01,additive,4.01,169.97765843355143
121,0.0101,4.01,additive,2.01,170.09571775675062
144,0.0101,8.01,additive,8.01,170.33117828429144
