,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
410,0.0101,0.01,multiplicative,0.01,156.66067761618288
406,0.0101,0.01,additive,6.01,160.18052735259093
412,0.0101,0.01,multiplicative,2.01,161.55100000396885
442,0.0101,2.01,additive,2.01,161.774007832623
454,0.0101,2.01,multiplicative,4.01,161.8209386373861
599,0.0101,9.01,multiplicative,9.01,162.70777043402947
572,0.0101,8.01,multiplicative,2.01,163.0767097690849
459,0.0101,2.01,multiplicative,9.01,163.13235891539597
414,0.0101,0.01,multiplicative,4.01,163.20309554847228
533,0.0101,6.01,multiplicative,3.01,163.34482916534873
559,0.0101,7.01,multiplicative,9.01,163.56569524295708
561,0.0101,8.01,additive,1.01,163.60298544215084
471,0.0101,3.01,multiplicative,1.01,163.99306071028556
433,0.0101,1.01,multiplicative,3.01,164.05545190624377
455,0.0101,2.01,multiplicative,5.01,164.68150817082287
519,0.0101,5.01,multiplicative,9.01,165.12569683053775
544,0.0101,7.01,additive,4.01,179.58534134767487
489,0.0101,4.01,additive,9.01,180.63576849927685
446,0.0101,2.01,additive,6.01,180.66950419958974
429,0.0101,1.01,additive,9.01,181.04018660583552
426,0.0101,1.01,additive,6.01,182.67072236284244
402,0.0101,0.01,additive,2.01,182.83230478418736
525,0.0101,6.01,additive,5.01,183.12204725358887
549,0.0101,7.01,additive,9.01,183.49137360278624
421,0.0101,1.01,additive,1.01,183.61885111555583
465,0.0101,3.01,additive,5.01,183.677840308807
548,0.0101,7.01,additive,8.01,183.98970342251596
401,0.0101,0.01,additive,1.01,184.0510712689814
529,0.0101,6.01,additive,9.01,184.07400507051224
580,0.0101,9.01,additive,0.01,184.22519859998093
448,0.0101,2.01,additive,8.01,184.38669425221065
482,0.0101,4.01,additive,2.01,184.44587123032346
468,0.0101,3.01,additive,8.01,184.6671442829064
487,0.0101,4.01,additive,7.01,184.70683080373416
447,0.0101,2.01,additive,7.01,184.7608295859222
445,0.0101,2.01,additive,5.01,184.8234631620846
583,0.0101,9.01,additive,3.01,184.99637014862705
568,0.0101,8.01,additive,8.01,185.09039849584752
586,0.0101,9.01,additive,6.01,185.1121116888827
567,0.0101,8.01,additive,7.01,185.32836674427625
405,0.0101,0.01,additive,5.01,185.43956834337112
541,0.0101,7.01,additive,1.01,185.5312172502928
523,0.0101,6.01,additive,3.01,185.6727333417843
503,0.0101,5.01,additive,3.01,185.76497088067117
431,0.0101,1.01,multiplicative,1.01,185.776618907007
