,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
10,0.0001,0.01,multiplicative,0.01,96.00334625096444
9,0.0001,0.01,additive,9.01,102.66446535450473
8,0.0001,0.01,additive,8.01,102.67022048447181
7,0.0001,0.01,additive,7.01,102.67465567970957
6,0.0001,0.01,additive,6.01,102.68116772282525
5,0.0001,0.01,additive,5.01,102.68230608862902
4,0.0001,0.01,additive,4.01,102.70147663597359
3,0.0001,0.01,additive,3.01,102.7416358765056
1,0.0001,0.01,additive,1.01,102.80192624560101
2,0.0001,0.01,additive,2.01,102.8230116019826
0,0.0001,0.01,additive,0.01,102.92754734494989
19,0.0001,0.01,multiplicative,9.01,103.21445974885995
18,0.0001,0.01,multiplicative,8.01,103.30743569541261
17,0.0001,0.01,multiplicative,7.01,103.41888715493687
16,0.0001,0.01,multiplicative,6.01,103.55957973254
15,0.0001,0.01,multiplicative,5.01,103.75754946081767
14,0.0001,0.01,multiplicative,4.01,104.0326193569344
13,0.0001,0.01,multiplicative,3.01,104.27284097907284
12,0.0001,0.01,multiplicative,2.01,104.51095195380425
11,0.0001,0.01,multiplicative,1.01,104.64484127478862
20,0.0001,1.01,additive,0.01,109.06204767455037
29,0.0001,1.01,additive,9.01,109.08144415207583
28,0.0001,1.01,additive,8.01,109.08392221018896
27,0.0001,1.01,additive,7.01,109.08721633882227
26,0.0001,1.01,additive,6.01,109.09258484665202
25,0.0001,1.01,additive,5.01,109.1005847856961
40,0.0001,2.01,additive,0.01,109.11187997159666
24,0.0001,1.01,additive,4.01,109.11428841230334
60,0.0001,3.01,additive,0.01,109.12138819676201
80,0.0001,4.01,additive,0.01,109.1247243577223
100,0.0001,5.01,additive,0.01,109.12625089593146
120,0.0001,6.01,additive,0.01,109.12705894577702
140,0.0001,7.01,additive,0.01,109.12746011474003
160,0.0001,8.01,additive,0.01,109.12779002198694
180,0.0001,9.01,additive,0.01,109.12801579559704
49,0.0001,2.01,additive,9.01,109.13770592565754
23,0.0001,1.01,additive,3.01,109.13964615832127
48,0.0001,2.01,additive,8.01,109.13996146490157
47,0.0001,2.01,additive,7.01,109.1432003202683
69,0.0001,3.01,additive,9.01,109.14798374032274
46,0.0001,2.01,additive,6.01,109.14804002079822
68,0.0001,3.01,additive,8.01,109.15024101181557
89,0.0001,4.01,additive,9.01,109.15158382591156
109,0.0001,5.01,additive,9.01,109.15325451133059
67,0.0001,3.01,additive,7.01,109.15343873806741
88,0.0001,4.01,additive,8.01,109.15380068021047
129,0.0001,6.01,additive,9.01,109.15413941847787
149,0.0001,7.01,additive,9.01,109.15468997339758
169,0.0001,8.01,additive,9.01,109.15504552024348
189,0.0001,9.01,additive,9.01,109.155285149914
108,0.0001,5.01,additive,8.01,109.15546749456153
45,0.0001,2.01,additive,5.01,109.15563422032542
128,0.0001,6.01,additive,8.01,109.1563685095617
148,0.0001,7.01,additive,8.01,109.1568242570006
87,0.0001,4.01,additive,7.01,109.15690508315775
168,0.0001,8.01,additive,8.01,109.15716845726898
188,0.0001,9.01,additive,8.01,109.1574151718042
66,0.0001,3.01,additive,6.01,109.15817900916346
107,0.0001,5.01,additive,7.01,109.15855315982003
127,0.0001,6.01,additive,7.01,109.1595278682886
147,0.0001,7.01,additive,7.01,109.16010833226738
167,0.0001,8.01,additive,7.01,109.160408141131
187,0.0001,9.01,additive,7.01,109.16064768449814
86,0.0001,4.01,additive,6.01,109.1617428239824
106,0.0001,5.01,additive,6.01,109.16333106119366
126,0.0001,6.01,additive,6.01,109.16423419101615
146,0.0001,7.01,additive,6.01,109.16477384714368
166,0.0001,8.01,additive,6.01,109.16512369257867
186,0.0001,9.01,additive,6.01,109.1653643877364
65,0.0001,3.01,additive,5.01,109.16560523068848
44,0.0001,2.01,additive,4.01,109.16888337176212
85,0.0001,4.01,additive,5.01,109.16916268775516
105,0.0001,5.01,additive,5.01,109.17079089462094
125,0.0001,6.01,additive,5.01,109.17167320716752
145,0.0001,7.01,additive,5.01,109.17221805357056
165,0.0001,8.01,additive,5.01,109.1725639142277
185,0.0001,9.01,additive,5.01,109.17280345307552
64,0.0001,3.01,additive,4.01,109.17853162137651
84,0.0001,4.01,additive,4.01,109.18204453106998
104,0.0001,5.01,additive,4.01,109.18371954674325
124,0.0001,6.01,additive,4.01,109.18456555857951
144,0.0001,7.01,additive,4.01,109.18507665119385
164,0.0001,8.01,additive,4.01,109.18540311454488
184,0.0001,9.01,additive,4.01,109.18564449271966
22,0.0001,1.01,additive,2.01,109.19324730155876
43,0.0001,2.01,additive,3.01,109.19553382309857
63,0.0001,3.01,additive,3.01,109.20541743622297
83,0.0001,4.01,additive,3.01,109.20799357957415
103,0.0001,5.01,additive,3.01,109.20953724033929
123,0.0001,6.01,additive,3.01,109.21039636194956
143,0.0001,7.01,additive,3.01,109.21092044907714
163,0.0001,8.01,additive,3.01,109.211261288668
183,0.0001,9.01,additive,3.01,109.21149553748073
42,0.0001,2.01,additive,2.01,109.24538538380254
62,0.0001,3.01,additive,2.01,109.25482383758221
82,0.0001,4.01,additive,2.01,109.25825714095573
102,0.0001,5.01,additive,2.01,109.25980163969612
122,0.0001,6.01,additive,2.01,109.26064256918323
142,0.0001,7.01,additive,2.01,109.26114004121938
162,0.0001,8.01,additive,2.01,109.26147072693016
182,0.0001,9.01,additive,2.01,109.26169156397759
21,0.0001,1.01,additive,1.01,109.27006508543404
41,0.0001,2.01,additive,1.01,109.33304711845419
61,0.0001,3.01,additive,1.01,109.34170685379561
81,0.0001,4.01,additive,1.01,109.34390446153971
101,0.0001,5.01,additive,1.01,109.34531913077855
121,0.0001,6.01,additive,1.01,109.34609914988091
141,0.0001,7.01,additive,1.01,109.34654785541616
161,0.0001,8.01,additive,1.01,109.34684565714467
181,0.0001,9.01,additive,1.01,109.34705235878599
419,0.0101,0.01,multiplicative,9.01,114.4223110843716
34,0.0001,1.01,multiplicative,4.01,132.26558234272414
413,0.0101,0.01,multiplicative,3.01,132.30913361150454
35,0.0001,1.01,multiplicative,5.01,132.9679221649844
36,0.0001,1.01,multiplicative,6.01,133.5370576528662
37,0.0001,1.01,multiplicative,7.01,134.0132632441923
417,0.0101,0.01,multiplicative,7.01,134.02592693701777
38,0.0001,1.01,multiplicative,8.01,134.38651040331442
418,0.0101,0.01,multiplicative,8.01,134.5709911467015
39,0.0001,1.01,multiplicative,9.01,134.73024614358513
32,0.0001,1.01,multiplicative,2.01,134.84204766429625
30,0.0001,1.01,multiplicative,0.01,134.88872083786848
412,0.0101,0.01,multiplicative,2.01,135.43480444578748
31,0.0001,1.01,multiplicative,1.01,135.7738360021464
33,0.0001,1.01,multiplicative,3.01,136.33207899372218
414,0.0101,0.01,multiplicative,4.01,136.38157701649823
131,0.0001,6.01,multiplicative,1.01,136.44385049218184
171,0.0001,8.01,multiplicative,1.01,136.44391935799771
151,0.0001,7.01,multiplicative,1.01,136.44465715167394
