,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
189,0.0001,9.01,additive,9.01,41.25322115020818
169,0.0001,8.01,additive,9.01,41.253222425813135
149,0.0001,7.01,additive,9.01,41.25322373686944
188,0.0001,9.01,additive,8.01,41.25322550082245
129,0.0001,6.01,additive,9.01,41.253226067495184
168,0.0001,8.01,additive,8.01,41.253226499864894
148,0.0001,7.01,additive,8.01,41.253228023425834
109,0.0001,5.01,additive,9.01,41.25322968797797
128,0.0001,6.01,additive,8.01,41.25323025732236
108,0.0001,5.01,additive,8.01,41.25323396974164
187,0.0001,9.01,additive,7.01,41.25323561620903
89,0.0001,4.01,additive,9.01,41.25323659425511
167,0.0001,8.01,additive,7.01,41.25323674401001
147,0.0001,7.01,additive,7.01,41.25323815715742
127,0.0001,6.01,additive,7.01,41.253240368905416
186,0.0001,9.01,additive,6.01,41.25324344463975
107,0.0001,5.01,additive,7.01,41.25324410752935
166,0.0001,8.01,additive,6.01,41.25324417730714
88,0.0001,4.01,additive,8.01,41.25324463586363
146,0.0001,7.01,additive,6.01,41.25324565568966
126,0.0001,6.01,additive,6.01,41.253247901699396
87,0.0001,4.01,additive,7.01,41.25324863134225
69,0.0001,3.01,additive,9.01,41.25325121067709
106,0.0001,5.01,additive,6.01,41.2532516413101
86,0.0001,4.01,additive,6.01,41.253257894778606
185,0.0001,9.01,additive,5.01,41.25325872294103
68,0.0001,3.01,additive,8.01,41.2532596038184
165,0.0001,8.01,additive,5.01,41.25325974574218
145,0.0001,7.01,additive,5.01,41.25326120082292
125,0.0001,6.01,additive,5.01,41.25326341989037
67,0.0001,3.01,additive,7.01,41.253263527610166
105,0.0001,5.01,additive,5.01,41.25326729395167
66,0.0001,3.01,additive,6.01,41.25327268317308
85,0.0001,4.01,additive,5.01,41.25327337739797
65,0.0001,3.01,additive,5.01,41.253288129931235
184,0.0001,9.01,additive,4.01,41.25328903546255
164,0.0001,8.01,additive,4.01,41.253289993428574
144,0.0001,7.01,additive,4.01,41.2532915098019
124,0.0001,6.01,additive,4.01,41.25329377746904
49,0.0001,2.01,additive,9.01,41.25329526439897
104,0.0001,5.01,additive,4.01,41.2532976243551
48,0.0001,2.01,additive,8.01,41.25329955826063
84,0.0001,4.01,additive,4.01,41.25330477429217
47,0.0001,2.01,additive,7.01,41.25330512754904
46,0.0001,2.01,additive,6.01,41.2533146929868
64,0.0001,3.01,additive,4.01,41.2533194805982
