,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
143,0.0001,7.01,additive,3.01,98.54247393391668
123,0.0001,6.01,additive,3.01,98.54321034057826
103,0.0001,5.01,additive,3.01,98.543983615418
44,0.0001,2.01,additive,4.01,98.54544899011525
83,0.0001,4.01,additive,3.01,98.54667365923252
63,0.0001,3.01,additive,3.01,98.54678436998049
149,0.0001,7.01,additive,9.01,98.5496167183716
189,0.0001,9.01,additive,9.01,98.5496183459262
169,0.0001,8.01,additive,9.01,98.54985831643917
188,0.0001,9.01,additive,8.01,98.5500846583232
129,0.0001,6.01,additive,9.01,98.55031019817372
168,0.0001,8.01,additive,8.01,98.55040274640474
148,0.0001,7.01,additive,8.01,98.55088591010615
109,0.0001,5.01,additive,9.01,98.55125869763896
128,0.0001,6.01,additive,8.01,98.55131182179946
187,0.0001,9.01,additive,7.01,98.55152532039509
167,0.0001,8.01,additive,7.01,98.5519788933226
147,0.0001,7.01,additive,7.01,98.55237135437191
108,0.0001,5.01,additive,8.01,98.55247487815305
127,0.0001,6.01,additive,7.01,98.55316025719172
89,0.0001,4.01,additive,9.01,98.5534655822919
47,0.0001,2.01,additive,7.01,98.55380182345021
107,0.0001,5.01,additive,7.01,98.55434574280729
186,0.0001,9.01,additive,6.01,98.55453742534327
88,0.0001,4.01,additive,8.01,98.5546900258675
166,0.0001,8.01,additive,6.01,98.55482587153652
64,0.0001,3.01,additive,4.01,98.55502934829666
146,0.0001,7.01,additive,6.01,98.55520323924885
46,0.0001,2.01,additive,6.01,98.55614997247667
126,0.0001,6.01,additive,6.01,98.55719521517965
106,0.0001,5.01,additive,6.01,98.55756757917435
87,0.0001,4.01,additive,7.01,98.55773586832059
43,0.0001,2.01,additive,3.01,98.55832716079561
69,0.0001,3.01,additive,9.01,98.55860615428813
185,0.0001,9.01,additive,5.01,98.55895248904035
86,0.0001,4.01,additive,6.01,98.55938989842177
165,0.0001,8.01,additive,5.01,98.55940396242094
68,0.0001,3.01,additive,8.01,98.5596014862981
145,0.0001,7.01,additive,5.01,98.55979157285213
125,0.0001,6.01,additive,5.01,98.56059588939247
183,0.0001,9.01,additive,3.01,98.5609287308803
45,0.0001,2.01,additive,5.01,98.56115631048759
163,0.0001,8.01,additive,3.01,98.56120645092783
67,0.0001,3.01,additive,7.01,98.56148065315996
105,0.0001,5.01,additive,5.01,98.5617649383862
66,0.0001,3.01,additive,6.01,98.56393613616389
85,0.0001,4.01,additive,5.01,98.56515577360734
184,0.0001,9.01,additive,4.01,98.56702552448321
164,0.0001,8.01,additive,4.01,98.56776143956795
182,0.0001,9.01,additive,2.01,98.567778427386
144,0.0001,7.01,additive,4.01,98.56786291632693
162,0.0001,8.01,additive,2.01,98.56826225788569
124,0.0001,6.01,additive,4.01,98.56865710648788
142,0.0001,7.01,additive,2.01,98.5687340491539
65,0.0001,3.01,additive,5.01,98.56887715411716
122,0.0001,6.01,additive,2.01,98.56946501144992
102,0.0001,5.01,additive,2.01,98.56961157503159
104,0.0001,5.01,additive,4.01,98.56984603635726
49,0.0001,2.01,additive,9.01,98.57205640389529
84,0.0001,4.01,additive,4.01,98.57242232781552
82,0.0001,4.01,additive,2.01,98.57291608874432
48,0.0001,2.01,additive,8.01,98.57292040776632
62,0.0001,3.01,additive,2.01,98.57653742912456
42,0.0001,2.01,additive,2.01,98.58766270738347
29,0.0001,1.01,additive,9.01,98.59183868405178
28,0.0001,1.01,additive,8.01,98.59269577821038
27,0.0001,1.01,additive,7.01,98.59419062138025
26,0.0001,1.01,additive,6.01,98.59819991894739
25,0.0001,1.01,additive,5.01,98.60157420361514
24,0.0001,1.01,additive,4.01,98.60944732005991
23,0.0001,1.01,additive,3.01,98.62048359652172
181,0.0001,9.01,additive,1.01,98.64351999202128
161,0.0001,8.01,additive,1.01,98.6438226013276
141,0.0001,7.01,additive,1.01,98.64431136234141
121,0.0001,6.01,additive,1.01,98.64501408244062
101,0.0001,5.01,additive,1.01,98.64702034531055
81,0.0001,4.01,additive,1.01,98.6536283818776
22,0.0001,1.01,additive,2.01,98.65686274920601
41,0.0001,2.01,additive,1.01,98.65873317984037
61,0.0001,3.01,additive,1.01,98.6604613346881
21,0.0001,1.01,additive,1.01,98.72924545253355
180,0.0001,9.01,additive,0.01,98.96561295823811
160,0.0001,8.01,additive,0.01,98.9658976598227
140,0.0001,7.01,additive,0.01,98.9662924634142
120,0.0001,6.01,additive,0.01,98.96725082558645
100,0.0001,5.01,additive,0.01,98.9681766786796
80,0.0001,4.01,additive,0.01,98.97506999949874
60,0.0001,3.01,additive,0.01,98.97968920306036
40,0.0001,2.01,additive,0.01,98.98426024655676
20,0.0001,1.01,additive,0.01,99.05247267272742
19,0.0001,0.01,multiplicative,9.01,101.38089466333547
18,0.0001,0.01,multiplicative,8.01,101.38837944051978
17,0.0001,0.01,multiplicative,7.01,101.39765284453146
16,0.0001,0.01,multiplicative,6.01,101.41197282943052
15,0.0001,0.01,multiplicative,5.01,101.4310297054389
14,0.0001,0.01,multiplicative,4.01,101.45618122255567
