,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
596,0.0101,9.01,multiplicative,6.01,31.21629317454801
574,0.0101,8.01,multiplicative,4.01,33.18802395751518
598,0.0101,9.01,multiplicative,8.01,33.44799187856608
451,0.0101,2.01,multiplicative,1.01,33.53564486680864
503,0.0101,5.01,additive,3.01,33.718133312231025
538,0.0101,6.01,multiplicative,8.01,33.801131945883384
462,0.0101,3.01,additive,2.01,34.101971827148056
535,0.0101,6.01,multiplicative,5.01,34.10598296952438
576,0.0101,8.01,multiplicative,6.01,34.485089667964225
578,0.0101,8.01,multiplicative,8.01,34.75781100625507
597,0.0101,9.01,multiplicative,7.01,34.79509356679147
568,0.0101,8.01,additive,8.01,34.92002909314442
525,0.0101,6.01,additive,5.01,34.9394435374088
465,0.0101,3.01,additive,5.01,35.07975390819574
589,0.0101,9.01,additive,9.01,35.12773952785371
599,0.0101,9.01,multiplicative,9.01,35.159483092955426
460,0.0101,3.01,additive,0.01,35.17337791500162
593,0.0101,9.01,multiplicative,3.01,35.19850407031406
455,0.0101,2.01,multiplicative,5.01,35.29344719657131
518,0.0101,5.01,multiplicative,8.01,35.31902051976783
459,0.0101,2.01,multiplicative,9.01,35.439259313954494
595,0.0101,9.01,multiplicative,5.01,35.47250248036872
446,0.0101,2.01,additive,6.01,35.59288262716389
531,0.0101,6.01,multiplicative,1.01,35.592895296847814
552,0.0101,7.01,multiplicative,2.01,35.60895626610203
469,0.0101,3.01,additive,9.01,35.62562562824093
509,0.0101,5.01,additive,9.01,35.65391827712678
502,0.0101,5.01,additive,2.01,35.7190238163934
569,0.0101,8.01,additive,9.01,35.71917668292913
423,0.0101,1.01,additive,3.01,35.73101463558193
549,0.0101,7.01,additive,9.01,35.75797778851041
421,0.0101,1.01,additive,1.01,35.75886655630714
406,0.0101,0.01,additive,6.01,35.76255041096746
401,0.0101,0.01,additive,1.01,35.780302860852046
539,0.0101,6.01,multiplicative,9.01,35.82450342530602
513,0.0101,5.01,multiplicative,3.01,35.83261377760421
454,0.0101,2.01,multiplicative,4.01,35.85908957348388
480,0.0101,4.01,additive,0.01,35.88185190780604
428,0.0101,1.01,additive,8.01,35.9980600254019
419,0.0101,0.01,multiplicative,9.01,36.00351511471836
533,0.0101,6.01,multiplicative,3.01,36.09089886933832
476,0.0101,3.01,multiplicative,6.01,36.09514817747823
461,0.0101,3.01,additive,1.01,36.09783622841571
536,0.0101,6.01,multiplicative,6.01,36.119382935741335
519,0.0101,5.01,multiplicative,9.01,36.216752964215054
553,0.0101,7.01,multiplicative,3.01,36.249215453862924
585,0.0101,9.01,additive,5.01,36.26267213098792
440,0.0101,2.01,additive,0.01,36.272832758018964
417,0.0101,0.01,multiplicative,7.01,36.3132146784281
499,0.0101,4.01,multiplicative,9.01,36.321018986928124
489,0.0101,4.01,additive,9.01,36.328537577901635
467,0.0101,3.01,additive,7.01,36.35413589828834
433,0.0101,1.01,multiplicative,3.01,36.37419378271489
529,0.0101,6.01,additive,9.01,36.38366924844271
487,0.0101,4.01,additive,7.01,36.384961959771594
530,0.0101,6.01,multiplicative,0.01,36.41715152314581
456,0.0101,2.01,multiplicative,6.01,36.429435431509106
414,0.0101,0.01,multiplicative,4.01,36.486712352116946
579,0.0101,8.01,multiplicative,9.01,36.54116441981298
470,0.0101,3.01,multiplicative,0.01,36.552750611251916
437,0.0101,1.01,multiplicative,7.01,36.61447261832726
447,0.0101,2.01,additive,7.01,36.64036668605354
564,0.0101,8.01,additive,4.01,36.66477561589625
582,0.0101,9.01,additive,2.01,36.68476092483343
551,0.0101,7.01,multiplicative,1.01,36.700560140952604
488,0.0101,4.01,additive,8.01,36.70081610165413
409,0.0101,0.01,additive,9.01,36.78808153379068
561,0.0101,8.01,additive,1.01,36.81865708708741
510,0.0101,5.01,multiplicative,0.01,36.83068290893734
479,0.0101,3.01,multiplicative,9.01,36.836270547566485
572,0.0101,8.01,multiplicative,2.01,36.84164545615564
562,0.0101,8.01,additive,2.01,36.89254827892682
504,0.0101,5.01,additive,4.01,36.94885374912655
405,0.0101,0.01,additive,5.01,36.965374682302574
521,0.0101,6.01,additive,1.01,37.0164885238781
422,0.0101,1.01,additive,2.01,37.01806289704604
449,0.0101,2.01,additive,9.01,37.0216179417763
543,0.0101,7.01,additive,3.01,37.06278410825011
591,0.0101,9.01,multiplicative,1.01,37.06808246728483
483,0.0101,4.01,additive,3.01,37.13356078791484
457,0.0101,2.01,multiplicative,7.01,37.187852831058876
520,0.0101,6.01,additive,0.01,37.20665371642869
403,0.0101,0.01,additive,3.01,37.28296731159217
453,0.0101,2.01,multiplicative,3.01,37.32247255020161
588,0.0101,9.01,additive,8.01,37.352449766212736
575,0.0101,8.01,multiplicative,5.01,37.36608447888007
517,0.0101,5.01,multiplicative,7.01,37.36719763306031
506,0.0101,5.01,additive,6.01,37.428301352165434
534,0.0101,6.01,multiplicative,4.01,37.43716905593755
492,0.0101,4.01,multiplicative,2.01,37.45982175368924
560,0.0101,8.01,additive,0.01,37.45997611154999
413,0.0101,0.01,multiplicative,3.01,37.46971316543615
584,0.0101,9.01,additive,4.01,37.49253480128111
463,0.0101,3.01,additive,3.01,37.56659361756694
540,0.0101,7.01,additive,0.01,37.581537063426325
581,0.0101,9.01,additive,1.01,37.61760152177145
559,0.0101,7.01,multiplicative,9.01,37.62122468204072
524,0.0101,6.01,additive,4.01,37.62343662000042
485,0.0101,4.01,additive,5.01,37.63158269741434
571,0.0101,8.01,multiplicative,1.01,37.64100805160852
594,0.0101,9.01,multiplicative,4.01,37.68068289093045
526,0.0101,6.01,additive,6.01,37.69800316182582
410,0.0101,0.01,multiplicative,0.01,37.70013751678154
438,0.0101,1.01,multiplicative,8.01,37.706899079131254
444,0.0101,2.01,additive,4.01,37.745564994460125
542,0.0101,7.01,additive,2.01,37.783497390851785
555,0.0101,7.01,multiplicative,5.01,37.787258618242355
466,0.0101,3.01,additive,6.01,37.80231256494264
434,0.0101,1.01,multiplicative,4.01,37.808788487372205
556,0.0101,7.01,multiplicative,6.01,37.85296673820663
450,0.0101,2.01,multiplicative,0.01,37.876017467644694
490,0.0101,4.01,multiplicative,0.01,37.921896013369896
432,0.0101,1.01,multiplicative,2.01,37.93549027097807
583,0.0101,9.01,additive,3.01,37.97398079659464
464,0.0101,3.01,additive,4.01,38.09978475870401
472,0.0101,3.01,multiplicative,2.01,38.10524356057441
408,0.0101,0.01,additive,8.01,38.13034977116535
508,0.0101,5.01,additive,8.01,38.15170730503508
493,0.0101,4.01,multiplicative,3.01,38.23529983194019
436,0.0101,1.01,multiplicative,6.01,38.2631535123327
415,0.0101,0.01,multiplicative,5.01,38.264684733630666
554,0.0101,7.01,multiplicative,4.01,38.33587285309406
557,0.0101,7.01,multiplicative,7.01,38.38337246638519
402,0.0101,0.01,additive,2.01,38.390563152613744
481,0.0101,4.01,additive,1.01,38.41949533852861
426,0.0101,1.01,additive,6.01,38.42366253740828
495,0.0101,4.01,multiplicative,5.01,38.42771204928253
404,0.0101,0.01,additive,4.01,38.44623045192468
425,0.0101,1.01,additive,5.01,38.45652464744281
407,0.0101,0.01,additive,7.01,38.558597317375444
498,0.0101,4.01,multiplicative,8.01,38.59143641364261
420,0.0101,1.01,additive,0.01,38.6176426201293
491,0.0101,4.01,multiplicative,1.01,38.622284461490636
458,0.0101,2.01,multiplicative,8.01,38.629312872400526
563,0.0101,8.01,additive,3.01,38.631205608762656
445,0.0101,2.01,additive,5.01,38.7455080666053
528,0.0101,6.01,additive,8.01,38.78560790092542
441,0.0101,2.01,additive,1.01,38.83235758183924
443,0.0101,2.01,additive,3.01,38.891090868033054
442,0.0101,2.01,additive,2.01,38.92381661872224
590,0.0101,9.01,multiplicative,0.01,38.94961011931081
482,0.0101,4.01,additive,2.01,39.00481273358467
544,0.0101,7.01,additive,4.01,39.016547605671455
523,0.0101,6.01,additive,3.01,39.062446634786525
430,0.0101,1.01,multiplicative,0.01,39.31211557480821
448,0.0101,2.01,additive,8.01,39.31356329142807
580,0.0101,9.01,additive,0.01,39.331559367060855
577,0.0101,8.01,multiplicative,7.01,39.41924908566302
515,0.0101,5.01,multiplicative,5.01,39.432582810596955
505,0.0101,5.01,additive,5.01,39.441409815852026
565,0.0101,8.01,additive,5.01,39.46154405772555
537,0.0101,6.01,multiplicative,7.01,39.471561995332166
500,0.0101,5.01,additive,0.01,39.4877070871682
439,0.0101,1.01,multiplicative,9.01,39.50649149129034
548,0.0101,7.01,additive,8.01,39.52898896448071
507,0.0101,5.01,additive,7.01,39.611417439324555
496,0.0101,4.01,multiplicative,6.01,39.661548252144364
494,0.0101,4.01,multiplicative,4.01,39.663399766884076
473,0.0101,3.01,multiplicative,3.01,39.67291794043868
541,0.0101,7.01,additive,1.01,39.730673802001284
573,0.0101,8.01,multiplicative,3.01,39.73455540128551
435,0.0101,1.01,multiplicative,5.01,39.765427106220564
522,0.0101,6.01,additive,2.01,39.869980540622564
545,0.0101,7.01,additive,5.01,39.88267107519625
484,0.0101,4.01,additive,4.01,39.88422807574142
527,0.0101,6.01,additive,7.01,40.06118951082427
558,0.0101,7.01,multiplicative,8.01,40.16757637882877
468,0.0101,3.01,additive,8.01,40.234109159221276
511,0.0101,5.01,multiplicative,1.01,40.27316313523443
532,0.0101,6.01,multiplicative,2.01,40.30095587160057
477,0.0101,3.01,multiplicative,7.01,40.325421861306744
452,0.0101,2.01,multiplicative,2.01,40.38652757692809
550,0.0101,7.01,multiplicative,0.01,40.44466874616061
512,0.0101,5.01,multiplicative,2.01,40.52732014480788
587,0.0101,9.01,additive,7.01,40.54851844898888
570,0.0101,8.01,multiplicative,0.01,40.58485833157348
418,0.0101,0.01,multiplicative,8.01,40.59536719131341
566,0.0101,8.01,additive,6.01,40.61467341530779
497,0.0101,4.01,multiplicative,7.01,40.629532167723646
416,0.0101,0.01,multiplicative,6.01,40.63330676004884
516,0.0101,5.01,multiplicative,6.01,40.71518179788
471,0.0101,3.01,multiplicative,1.01,40.95897826928668
424,0.0101,1.01,additive,4.01,41.02507427559047
478,0.0101,3.01,multiplicative,8.01,41.06268211009513
514,0.0101,5.01,multiplicative,4.01,41.148031686552976
474,0.0101,3.01,multiplicative,4.01,41.20917195678303
567,0.0101,8.01,additive,7.01,41.23869314347318
486,0.0101,4.01,additive,6.01,41.259221825064024
547,0.0101,7.01,additive,7.01,41.44923262191679
400,0.0101,0.01,additive,0.01,41.55475679760699
427,0.0101,1.01,additive,7.01,41.73314701553904
431,0.0101,1.01,multiplicative,1.01,41.7600828836316
546,0.0101,7.01,additive,6.01,41.78660559013017
475,0.0101,3.01,multiplicative,5.01,42.05716832310244
429,0.0101,1.01,additive,9.01,42.22587643288832
411,0.0101,0.01,multiplicative,1.01,42.571409256345255
586,0.0101,9.01,additive,6.01,42.638588605187856
592,0.0101,9.01,multiplicative,2.01,43.27217025746892
501,0.0101,5.01,additive,1.01,43.306485968736155
412,0.0101,0.01,multiplicative,2.01,49.828874680802095
13,0.0001,0.01,multiplicative,3.01,71.59481582019237
356,0.0051,7.01,multiplicative,6.01,78.9043880927624
373,0.0051,8.01,multiplicative,3.01,79.0105268921863
398,0.0051,9.01,multiplicative,8.01,79.02571910625268
269,0.0051,3.01,additive,9.01,79.05446627159706
309,0.0051,5.01,additive,9.01,79.05794571404927
389,0.0051,9.01,additive,9.01,79.07586087987659
327,0.0051,6.01,additive,7.01,79.07981571091054
225,0.0051,1.01,additive,5.01,79.08718014741383
345,0.0051,7.01,additive,5.01,79.08729475635148
305,0.0051,5.01,additive,5.01,79.09054264837737
306,0.0051,5.01,additive,6.01,79.09398811230714
289,0.0051,4.01,additive,9.01,79.1056099454124
369,0.0051,8.01,additive,9.01,79.11345811564988
248,0.0051,2.01,additive,8.01,79.13331428620707
272,0.0051,3.01,multiplicative,2.01,79.13608206274473
288,0.0051,4.01,additive,8.01,79.13820816515299
324,0.0051,6.01,additive,4.01,79.1432383828682
304,0.0051,5.01,additive,4.01,79.1440226786298
337,0.0051,6.01,multiplicative,7.01,79.14758563208309
366,0.0051,8.01,additive,6.01,79.17659934509761
387,0.0051,9.01,additive,7.01,79.1785488515189
375,0.0051,8.01,multiplicative,5.01,79.18189750742921
344,0.0051,7.01,additive,4.01,79.18461295908938
367,0.0051,8.01,additive,7.01,79.20534266774071
328,0.0051,6.01,additive,8.01,79.21589665364945
342,0.0051,7.01,additive,2.01,79.2171658651069
359,0.0051,7.01,multiplicative,9.01,79.22085227403055
368,0.0051,8.01,additive,8.01,79.22715686076826
388,0.0051,9.01,additive,8.01,79.2309471370138
377,0.0051,8.01,multiplicative,7.01,79.23155134842978
347,0.0051,7.01,additive,7.01,79.24438696982294
346,0.0051,7.01,additive,6.01,79.24515175803387
326,0.0051,6.01,additive,6.01,79.27564096778383
348,0.0051,7.01,additive,8.01,79.2787555747972
355,0.0051,7.01,multiplicative,5.01,79.29273258254464
385,0.0051,9.01,additive,5.01,79.29483580515505
319,0.0051,5.01,multiplicative,9.01,79.31024824708182
246,0.0051,2.01,additive,6.01,79.32925653738798
263,0.0051,3.01,additive,3.01,79.3430663464044
267,0.0051,3.01,additive,7.01,79.35076228314466
229,0.0051,1.01,additive,9.01,79.35112194656043
353,0.0051,7.01,multiplicative,3.01,79.37387659829533
282,0.0051,4.01,additive,2.01,79.40615011190799
362,0.0051,8.01,additive,2.01,79.4068234362665
244,0.0051,2.01,additive,4.01,79.41050407359072
363,0.0051,8.01,additive,3.01,79.41304806578174
