,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
443,0.0101,2.01,additive,3.01,46.961974027982485
406,0.0101,0.01,additive,6.01,49.17130772756098
562,0.0101,8.01,additive,2.01,51.73179303806543
419,0.0101,0.01,multiplicative,9.01,58.23600733721025
414,0.0101,0.01,multiplicative,4.01,59.289492002268844
415,0.0101,0.01,multiplicative,5.01,62.32591360602349
418,0.0101,0.01,multiplicative,8.01,63.34517739563386
441,0.0101,2.01,additive,1.01,64.4672185152642
483,0.0101,4.01,additive,3.01,65.57532295166523
524,0.0101,6.01,additive,4.01,65.62538869161465
528,0.0101,6.01,additive,8.01,67.27231534569447
569,0.0101,8.01,additive,9.01,67.87790102399347
577,0.0101,8.01,multiplicative,7.01,67.95700814569531
401,0.0101,0.01,additive,1.01,68.1537086620213
527,0.0101,6.01,additive,7.01,70.10446952746007
444,0.0101,2.01,additive,4.01,70.60909653275932
546,0.0101,7.01,additive,6.01,71.16980926938056
549,0.0101,7.01,additive,9.01,71.378671879127
420,0.0101,1.01,additive,0.01,71.40226691789262
568,0.0101,8.01,additive,8.01,72.05816712490397
464,0.0101,3.01,additive,4.01,72.99841881125319
488,0.0101,4.01,additive,8.01,73.15198050655799
448,0.0101,2.01,additive,8.01,73.36777361927905
496,0.0101,4.01,multiplicative,6.01,73.9376202221725
474,0.0101,3.01,multiplicative,4.01,74.08713325434218
404,0.0101,0.01,additive,4.01,74.12144069330266
442,0.0101,2.01,additive,2.01,74.14432224194374
447,0.0101,2.01,additive,7.01,74.38381625062736
481,0.0101,4.01,additive,1.01,74.43035173451499
533,0.0101,6.01,multiplicative,3.01,74.56075938789319
543,0.0101,7.01,additive,3.01,74.56365717537494
541,0.0101,7.01,additive,1.01,75.50610436565881
421,0.0101,1.01,additive,1.01,75.69017284914739
553,0.0101,7.01,multiplicative,3.01,76.10602702063447
462,0.0101,3.01,additive,2.01,76.16364431472911
461,0.0101,3.01,additive,1.01,76.37434157715767
402,0.0101,0.01,additive,2.01,76.70542734893122
427,0.0101,1.01,additive,7.01,77.28481972352729
548,0.0101,7.01,additive,8.01,77.43605760204719
430,0.0101,1.01,multiplicative,0.01,77.546057135171
531,0.0101,6.01,multiplicative,1.01,77.59481470643104
563,0.0101,8.01,additive,3.01,77.8106647493436
417,0.0101,0.01,multiplicative,7.01,77.85214065213823
510,0.0101,5.01,multiplicative,0.01,77.95752226826859
560,0.0101,8.01,additive,0.01,78.14046077258817
540,0.0101,7.01,additive,0.01,78.14535372661777
500,0.0101,5.01,additive,0.01,78.15883959364537
520,0.0101,6.01,additive,0.01,78.1765474853453
580,0.0101,9.01,additive,0.01,78.19540875563669
460,0.0101,3.01,additive,0.01,78.27139972538538
403,0.0101,0.01,additive,3.01,78.306444105049
453,0.0101,2.01,multiplicative,3.01,78.36045524275727
497,0.0101,4.01,multiplicative,7.01,78.37276995030003
538,0.0101,6.01,multiplicative,8.01,78.44643333731469
459,0.0101,2.01,multiplicative,9.01,78.48421323833968
440,0.0101,2.01,additive,0.01,78.5086096371235
558,0.0101,7.01,multiplicative,8.01,78.64697291758111
480,0.0101,4.01,additive,0.01,78.7044801160336
597,0.0101,9.01,multiplicative,7.01,78.73543588748132
400,0.0101,0.01,additive,0.01,78.78289812063932
537,0.0101,6.01,multiplicative,7.01,78.80343514468017
479,0.0101,3.01,multiplicative,9.01,78.8942112916613
542,0.0101,7.01,additive,2.01,78.90891036280772
468,0.0101,3.01,additive,8.01,78.9350517962262
492,0.0101,4.01,multiplicative,2.01,78.94784356535096
519,0.0101,5.01,multiplicative,9.01,79.3905580065667
595,0.0101,9.01,multiplicative,5.01,79.4563818055277
596,0.0101,9.01,multiplicative,6.01,79.46548648242295
518,0.0101,5.01,multiplicative,8.01,79.61654538496214
436,0.0101,1.01,multiplicative,6.01,80.15981187281704
516,0.0101,5.01,multiplicative,6.01,80.23982492846655
589,0.0101,9.01,additive,9.01,80.38460807835746
583,0.0101,9.01,additive,3.01,80.3860783950918
529,0.0101,6.01,additive,9.01,80.39296144314524
503,0.0101,5.01,additive,3.01,80.39483581537394
523,0.0101,6.01,additive,3.01,80.39532834690802
449,0.0101,2.01,additive,9.01,80.40016277200387
428,0.0101,1.01,additive,8.01,80.41186720946804
425,0.0101,1.01,additive,5.01,80.47924830743386
506,0.0101,5.01,additive,6.01,80.47973583406153
526,0.0101,6.01,additive,6.01,80.48085961693464
446,0.0101,2.01,additive,6.01,80.48226684089569
586,0.0101,9.01,additive,6.01,80.48458043868338
566,0.0101,8.01,additive,6.01,80.48555387941485
485,0.0101,4.01,additive,5.01,80.48571026000121
505,0.0101,5.01,additive,5.01,80.48582014012402
486,0.0101,4.01,additive,6.01,80.48621740198958
465,0.0101,3.01,additive,5.01,80.4878025210593
585,0.0101,9.01,additive,5.01,80.49001673413609
565,0.0101,8.01,additive,5.01,80.49030879123569
545,0.0101,7.01,additive,5.01,80.49101165618815
426,0.0101,1.01,additive,6.01,80.4939727077978
547,0.0101,7.01,additive,7.01,80.52827137779717
567,0.0101,8.01,additive,7.01,80.52903568013886
467,0.0101,3.01,additive,7.01,80.53297452692364
592,0.0101,9.01,multiplicative,2.01,80.76438187641092
593,0.0101,9.01,multiplicative,3.01,80.79462688747094
517,0.0101,5.01,multiplicative,7.01,80.84992101526852
587,0.0101,9.01,additive,7.01,80.89829900930764
508,0.0101,5.01,additive,8.01,80.97171098776062
576,0.0101,8.01,multiplicative,6.01,81.0113539355324
476,0.0101,3.01,multiplicative,6.01,81.20772398649956
515,0.0101,5.01,multiplicative,5.01,81.26381923767494
487,0.0101,4.01,additive,7.01,81.29518720293801
579,0.0101,8.01,multiplicative,9.01,81.3905902869642
532,0.0101,6.01,multiplicative,2.01,81.57131354850375
584,0.0101,9.01,additive,4.01,81.68758266578764
581,0.0101,9.01,additive,1.01,81.74233912261914
491,0.0101,4.01,multiplicative,1.01,81.86982766873001
555,0.0101,7.01,multiplicative,5.01,82.02606888085704
588,0.0101,9.01,additive,8.01,82.0804598320758
423,0.0101,1.01,additive,3.01,82.08626191065355
590,0.0101,9.01,multiplicative,0.01,82.29248475508876
554,0.0101,7.01,multiplicative,4.01,82.29250800408855
502,0.0101,5.01,additive,2.01,82.39115832926815
574,0.0101,8.01,multiplicative,4.01,82.39343389517526
493,0.0101,4.01,multiplicative,3.01,82.39568131285131
471,0.0101,3.01,multiplicative,1.01,82.51093068306531
455,0.0101,2.01,multiplicative,5.01,82.51203296367794
511,0.0101,5.01,multiplicative,1.01,82.64409893493583
456,0.0101,2.01,multiplicative,6.01,83.030411613678
539,0.0101,6.01,multiplicative,9.01,83.03145890896305
405,0.0101,0.01,additive,5.01,83.0908292870963
484,0.0101,4.01,additive,4.01,83.17841641673897
498,0.0101,4.01,multiplicative,8.01,83.37421553065174
470,0.0101,3.01,multiplicative,0.01,83.40254968501308
433,0.0101,1.01,multiplicative,3.01,83.44995890788707
552,0.0101,7.01,multiplicative,2.01,83.53036834977723
534,0.0101,6.01,multiplicative,4.01,83.57313440123578
564,0.0101,8.01,additive,4.01,83.58712671142662
556,0.0101,7.01,multiplicative,6.01,83.75216849788255
575,0.0101,8.01,multiplicative,5.01,83.80182106373537
521,0.0101,6.01,additive,1.01,83.89728036444804
473,0.0101,3.01,multiplicative,3.01,84.13307458535083
495,0.0101,4.01,multiplicative,5.01,84.20912928036259
598,0.0101,9.01,multiplicative,8.01,84.35883936924783
525,0.0101,6.01,additive,5.01,84.44031774290531
573,0.0101,8.01,multiplicative,3.01,84.57795008481588
439,0.0101,1.01,multiplicative,9.01,84.61425990986638
431,0.0101,1.01,multiplicative,1.01,84.67710521586997
472,0.0101,3.01,multiplicative,2.01,84.68684061483982
494,0.0101,4.01,multiplicative,4.01,84.7112776720919
454,0.0101,2.01,multiplicative,4.01,84.86010003677413
571,0.0101,8.01,multiplicative,1.01,84.86641194492053
570,0.0101,8.01,multiplicative,0.01,85.05377057668935
451,0.0101,2.01,multiplicative,1.01,85.11188561200495
504,0.0101,5.01,additive,4.01,85.30066177574825
407,0.0101,0.01,additive,7.01,85.37594360064597
437,0.0101,1.01,multiplicative,7.01,85.42477008347461
557,0.0101,7.01,multiplicative,7.01,85.46661147425083
536,0.0101,6.01,multiplicative,6.01,85.54861459963071
466,0.0101,3.01,additive,6.01,85.70516508051715
475,0.0101,3.01,multiplicative,5.01,85.7184278534924
457,0.0101,2.01,multiplicative,7.01,85.8880756951152
482,0.0101,4.01,additive,2.01,85.98284439948151
514,0.0101,5.01,multiplicative,4.01,86.12478392264887
522,0.0101,6.01,additive,2.01,86.57630739337029
551,0.0101,7.01,multiplicative,1.01,86.59773102693048
422,0.0101,1.01,additive,2.01,86.65621381876232
458,0.0101,2.01,multiplicative,8.01,87.30978522695777
530,0.0101,6.01,multiplicative,0.01,87.34357030675152
594,0.0101,9.01,multiplicative,4.01,87.37476405584243
478,0.0101,3.01,multiplicative,8.01,87.40784888908846
424,0.0101,1.01,additive,4.01,87.43207636473754
550,0.0101,7.01,multiplicative,0.01,87.4874751575285
432,0.0101,1.01,multiplicative,2.01,87.48766789221723
513,0.0101,5.01,multiplicative,3.01,87.74910445605958
409,0.0101,0.01,additive,9.01,87.85245687121487
413,0.0101,0.01,multiplicative,3.01,88.00125615403782
509,0.0101,5.01,additive,9.01,88.02254653018454
429,0.0101,1.01,additive,9.01,88.19278011740495
477,0.0101,3.01,multiplicative,7.01,88.24236874279013
489,0.0101,4.01,additive,9.01,88.31908544918053
591,0.0101,9.01,multiplicative,1.01,88.43739304993522
410,0.0101,0.01,multiplicative,0.01,88.50970635533942
445,0.0101,2.01,additive,5.01,88.6529663196518
416,0.0101,0.01,multiplicative,6.01,88.74576851600982
469,0.0101,3.01,additive,9.01,88.79555517219487
438,0.0101,1.01,multiplicative,8.01,88.79597112459913
452,0.0101,2.01,multiplicative,2.01,88.84195275478001
408,0.0101,0.01,additive,8.01,89.26014378572933
578,0.0101,8.01,multiplicative,8.01,89.56338235354616
450,0.0101,2.01,multiplicative,0.01,89.98637426247514
435,0.0101,1.01,multiplicative,5.01,90.02223311242442
490,0.0101,4.01,multiplicative,0.01,90.03555273845205
434,0.0101,1.01,multiplicative,4.01,90.16536233044745
582,0.0101,9.01,additive,2.01,90.22906297547483
507,0.0101,5.01,additive,7.01,90.44236982300605
512,0.0101,5.01,multiplicative,2.01,90.51664384346377
572,0.0101,8.01,multiplicative,2.01,91.1496050847378
561,0.0101,8.01,additive,1.01,91.78943326397365
412,0.0101,0.01,multiplicative,2.01,92.08112862764524
463,0.0101,3.01,additive,3.01,92.26804613741697
544,0.0101,7.01,additive,4.01,92.55819723432052
411,0.0101,0.01,multiplicative,1.01,92.67618057956855
599,0.0101,9.01,multiplicative,9.01,93.04774535150153
499,0.0101,4.01,multiplicative,9.01,95.18266249082635
501,0.0101,5.01,additive,1.01,97.68710217086922
559,0.0101,7.01,multiplicative,9.01,98.33693362955935
535,0.0101,6.01,multiplicative,5.01,108.59483570410674
192,0.0001,9.01,multiplicative,2.01,210.25166356555002
53,0.0001,2.01,multiplicative,3.01,210.42298668605864
172,0.0001,8.01,multiplicative,2.01,210.88583618989742
152,0.0001,7.01,multiplicative,2.01,211.5009198264549
132,0.0001,6.01,multiplicative,2.01,212.6065242989965
112,0.0001,5.01,multiplicative,2.01,214.2154485529225
92,0.0001,4.01,multiplicative,2.01,216.7177130057437
191,0.0001,9.01,multiplicative,1.01,218.09532388903727
171,0.0001,8.01,multiplicative,1.01,218.20688059554703
151,0.0001,7.01,multiplicative,1.01,218.7591696709472
131,0.0001,6.01,multiplicative,1.01,219.57688776664045
159,0.0001,7.01,multiplicative,9.01,220.46466703319246
111,0.0001,5.01,multiplicative,1.01,220.85149939645814
72,0.0001,3.01,multiplicative,2.01,221.27798815088317
33,0.0001,1.01,multiplicative,3.01,222.20249678407626
91,0.0001,4.01,multiplicative,1.01,222.93789578805254
190,0.0001,9.01,multiplicative,0.01,223.99916191782268
170,0.0001,8.01,multiplicative,0.01,224.35805268942926
35,0.0001,1.01,multiplicative,5.01,224.53843880066503
150,0.0001,7.01,multiplicative,0.01,224.89729564594893
130,0.0001,6.01,multiplicative,0.01,225.6876155132594
71,0.0001,3.01,multiplicative,1.01,226.63826892341876
110,0.0001,5.01,multiplicative,0.01,226.95069578196328
