,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
550,0.0101,7.01,multiplicative,0.01,73.71658495361784
539,0.0101,6.01,multiplicative,9.01,74.34416116039277
497,0.0101,4.01,multiplicative,7.01,76.5243816538594
574,0.0101,8.01,multiplicative,4.01,76.55435206538634
572,0.0101,8.01,multiplicative,2.01,76.84898950372734
431,0.0101,1.01,multiplicative,1.01,77.71290828353965
432,0.0101,1.01,multiplicative,2.01,77.81546864604556
518,0.0101,5.01,multiplicative,8.01,78.08374774569472
472,0.0101,3.01,multiplicative,2.01,79.65933491017779
455,0.0101,2.01,multiplicative,5.01,81.58401939094736
438,0.0101,1.01,multiplicative,8.01,81.87098615042945
491,0.0101,4.01,multiplicative,1.01,81.99651022415777
434,0.0101,1.01,multiplicative,4.01,83.75157983471321
577,0.0101,8.01,multiplicative,7.01,84.87872709517644
479,0.0101,3.01,multiplicative,9.01,85.03913983319748
591,0.0101,9.01,multiplicative,1.01,85.72153140156728
478,0.0101,3.01,multiplicative,8.01,85.9456126772303
453,0.0101,2.01,multiplicative,3.01,86.18742243409665
454,0.0101,2.01,multiplicative,4.01,86.63283916266563
531,0.0101,6.01,multiplicative,1.01,86.7271952234828
590,0.0101,9.01,multiplicative,0.01,87.54180800971051
451,0.0101,2.01,multiplicative,1.01,87.82427954131934
490,0.0101,4.01,multiplicative,0.01,88.55357164976799
452,0.0101,2.01,multiplicative,2.01,89.13855573668887
537,0.0101,6.01,multiplicative,7.01,89.33332011865683
597,0.0101,9.01,multiplicative,7.01,89.3493132285544
579,0.0101,8.01,multiplicative,9.01,89.94232339929532
555,0.0101,7.01,multiplicative,5.01,90.1030164450815
595,0.0101,9.01,multiplicative,5.01,90.84037708336727
532,0.0101,6.01,multiplicative,2.01,91.4198007790842
516,0.0101,5.01,multiplicative,6.01,91.60399999863573
594,0.0101,9.01,multiplicative,4.01,91.80354795421572
473,0.0101,3.01,multiplicative,3.01,91.93473711208733
498,0.0101,4.01,multiplicative,8.01,91.94354743537185
559,0.0101,7.01,multiplicative,9.01,92.10585500623277
534,0.0101,6.01,multiplicative,4.01,92.2584259027203
552,0.0101,7.01,multiplicative,2.01,92.41669158812567
493,0.0101,4.01,multiplicative,3.01,92.45256836213089
596,0.0101,9.01,multiplicative,6.01,92.64445101976364
513,0.0101,5.01,multiplicative,3.01,92.96678107259689
536,0.0101,6.01,multiplicative,6.01,93.70820023932845
533,0.0101,6.01,multiplicative,3.01,93.83155044773423
575,0.0101,8.01,multiplicative,5.01,94.08052467958741
458,0.0101,2.01,multiplicative,8.01,94.1269947918774
492,0.0101,4.01,multiplicative,2.01,94.19076893261582
570,0.0101,8.01,multiplicative,0.01,94.39385733226695
474,0.0101,3.01,multiplicative,4.01,94.44933014965237
578,0.0101,8.01,multiplicative,8.01,94.61590341587315
517,0.0101,5.01,multiplicative,7.01,94.80060771354422
457,0.0101,2.01,multiplicative,7.01,95.6546277938638
530,0.0101,6.01,multiplicative,0.01,95.736145821083
554,0.0101,7.01,multiplicative,4.01,96.92179918617428
515,0.0101,5.01,multiplicative,5.01,97.18074462001461
470,0.0101,3.01,multiplicative,0.01,97.38744564573915
476,0.0101,3.01,multiplicative,6.01,97.6998677433752
592,0.0101,9.01,multiplicative,2.01,97.75219839308225
553,0.0101,7.01,multiplicative,3.01,97.88992578453205
459,0.0101,2.01,multiplicative,9.01,98.03319112023641
437,0.0101,1.01,multiplicative,7.01,98.18402388470183
471,0.0101,3.01,multiplicative,1.01,98.93580004376278
535,0.0101,6.01,multiplicative,5.01,99.16461541777906
558,0.0101,7.01,multiplicative,8.01,99.62930030278682
557,0.0101,7.01,multiplicative,7.01,100.00970190959862
551,0.0101,7.01,multiplicative,1.01,100.35354757732817
519,0.0101,5.01,multiplicative,9.01,100.58564468906253
593,0.0101,9.01,multiplicative,3.01,101.37092349912177
494,0.0101,4.01,multiplicative,4.01,101.6333733123866
576,0.0101,8.01,multiplicative,6.01,102.32070318459556
599,0.0101,9.01,multiplicative,9.01,102.87094087204446
475,0.0101,3.01,multiplicative,5.01,103.08830527334824
538,0.0101,6.01,multiplicative,8.01,104.02947977132443
433,0.0101,1.01,multiplicative,3.01,104.06810565102673
495,0.0101,4.01,multiplicative,5.01,104.37956254516659
573,0.0101,8.01,multiplicative,3.01,105.34734048967249
456,0.0101,2.01,multiplicative,6.01,105.36987756449993
514,0.0101,5.01,multiplicative,4.01,105.50775291502416
499,0.0101,4.01,multiplicative,9.01,105.9026892353162
