,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
206,0.0051,0.01,additive,6.01,16.035038137574375
208,0.0051,0.01,additive,8.01,16.042975929136272
207,0.0051,0.01,additive,7.01,16.043374954994782
201,0.0051,0.01,additive,1.01,16.058175223031164
204,0.0051,0.01,additive,4.01,16.062949913271538
203,0.0051,0.01,additive,3.01,16.137833835200347
202,0.0051,0.01,additive,2.01,16.15410494347993
271,0.0051,3.01,multiplicative,1.01,16.17815848269515
404,0.0101,0.01,additive,4.01,16.190783356123035
403,0.0101,0.01,additive,3.01,16.19595164902467
401,0.0101,0.01,additive,1.01,16.213349218114875
405,0.0101,0.01,additive,5.01,16.226997432747893
409,0.0101,0.01,additive,9.01,16.244942678221673
515,0.0101,5.01,multiplicative,5.01,16.259279848027546
458,0.0101,2.01,multiplicative,8.01,16.262678482638073
537,0.0101,6.01,multiplicative,7.01,16.269811944610673
230,0.0051,1.01,multiplicative,0.01,16.28242830835556
439,0.0101,1.01,multiplicative,9.01,16.284047034608783
491,0.0101,4.01,multiplicative,1.01,16.28991231310549
535,0.0101,6.01,multiplicative,5.01,16.291853433553293
591,0.0101,9.01,multiplicative,1.01,16.292398006227774
575,0.0101,8.01,multiplicative,5.01,16.293234424696177
570,0.0101,8.01,multiplicative,0.01,16.29859012943438
558,0.0101,7.01,multiplicative,8.01,16.298969619822106
577,0.0101,8.01,multiplicative,7.01,16.304739256373608
450,0.0101,2.01,multiplicative,0.01,16.30882789369152
557,0.0101,7.01,multiplicative,7.01,16.312103256662102
587,0.0101,9.01,additive,7.01,16.319693738703897
582,0.0101,9.01,additive,2.01,16.341907756816337
546,0.0101,7.01,additive,6.01,16.342446230640554
562,0.0101,8.01,additive,2.01,16.343964649428973
416,0.0101,0.01,multiplicative,6.01,16.345839066835694
499,0.0101,4.01,multiplicative,9.01,16.35478078891999
435,0.0101,1.01,multiplicative,5.01,16.355676113967643
452,0.0101,2.01,multiplicative,2.01,16.362210668973887
282,0.0051,4.01,additive,2.01,16.37099734410713
422,0.0101,1.01,additive,2.01,16.37235114974103
