,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
417,0.0101,0.01,multiplicative,7.01,89.34220978385514
416,0.0101,0.01,multiplicative,6.01,89.63850640076949
418,0.0101,0.01,multiplicative,8.01,90.15943376462903
412,0.0101,0.01,multiplicative,2.01,90.65561602327654
410,0.0101,0.01,multiplicative,0.01,91.05546229760402
413,0.0101,0.01,multiplicative,3.01,91.59666497917968
414,0.0101,0.01,multiplicative,4.01,91.88784098576389
415,0.0101,0.01,multiplicative,5.01,95.23819485722731
411,0.0101,0.01,multiplicative,1.01,96.29095835407429
419,0.0101,0.01,multiplicative,9.01,99.40857134474471
313,0.0051,5.01,multiplicative,3.01,165.71892773049822
219,0.0051,0.01,multiplicative,9.01,166.4266689300277
310,0.0051,5.01,multiplicative,0.01,166.59565572041203
252,0.0051,2.01,multiplicative,2.01,166.92163556691028
291,0.0051,4.01,multiplicative,1.01,166.96303780965385
332,0.0051,6.01,multiplicative,2.01,167.21788015725767
396,0.0051,9.01,multiplicative,6.01,167.9187062482473
297,0.0051,4.01,multiplicative,7.01,168.16994822495013
277,0.0051,3.01,multiplicative,7.01,168.41944292817055
230,0.0051,1.01,multiplicative,0.01,169.06789567236365
258,0.0051,2.01,multiplicative,8.01,169.0704360630351
273,0.0051,3.01,multiplicative,3.01,169.2841407130477
210,0.0051,0.01,multiplicative,0.01,169.37932211633066
272,0.0051,3.01,multiplicative,2.01,169.51903318418593
232,0.0051,1.01,multiplicative,2.01,169.53197691416605
374,0.0051,8.01,multiplicative,4.01,169.65377259027804
375,0.0051,8.01,multiplicative,5.01,169.67378314669938
315,0.0051,5.01,multiplicative,5.01,170.11920319709813
294,0.0051,4.01,multiplicative,4.01,170.40035735543307
279,0.0051,3.01,multiplicative,9.01,170.42311657174125
319,0.0051,5.01,multiplicative,9.01,170.4839010317153
233,0.0051,1.01,multiplicative,3.01,170.59329608905873
316,0.0051,5.01,multiplicative,6.01,170.61325628704827
254,0.0051,2.01,multiplicative,4.01,170.61975621601474
296,0.0051,4.01,multiplicative,6.01,170.72505222388017
312,0.0051,5.01,multiplicative,2.01,170.7531830741271
390,0.0051,9.01,multiplicative,0.01,170.78051153430675
236,0.0051,1.01,multiplicative,6.01,170.8063228363849
318,0.0051,5.01,multiplicative,8.01,170.87052957781756
253,0.0051,2.01,multiplicative,3.01,170.9011130906541
217,0.0051,0.01,multiplicative,7.01,170.9078187635125
256,0.0051,2.01,multiplicative,6.01,171.01539076541695
356,0.0051,7.01,multiplicative,6.01,171.0230313312567
335,0.0051,6.01,multiplicative,5.01,171.05363925095466
338,0.0051,6.01,multiplicative,8.01,171.08366352476716
238,0.0051,1.01,multiplicative,8.01,171.11656502650285
379,0.0051,8.01,multiplicative,9.01,171.44139299008538
235,0.0051,1.01,multiplicative,5.01,171.49860431975824
398,0.0051,9.01,multiplicative,8.01,171.5573471315332
330,0.0051,6.01,multiplicative,0.01,171.73537217623837
394,0.0051,9.01,multiplicative,4.01,171.742155266632
317,0.0051,5.01,multiplicative,7.01,171.77274478605935
213,0.0051,0.01,multiplicative,3.01,171.85247087913427
350,0.0051,7.01,multiplicative,0.01,171.99017010229036
234,0.0051,1.01,multiplicative,4.01,172.04612052829174
352,0.0051,7.01,multiplicative,2.01,172.1272496192981
270,0.0051,3.01,multiplicative,0.01,172.28536564819373
