,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
19,0.0001,0.01,multiplicative,9.01,43.743318983977666
11,0.0001,0.01,multiplicative,1.01,44.533151982869384
15,0.0001,0.01,multiplicative,5.01,44.65069836450409
10,0.0001,0.01,multiplicative,0.01,45.09215940665013
16,0.0001,0.01,multiplicative,6.01,45.14975071451318
18,0.0001,0.01,multiplicative,8.01,45.505814080527294
17,0.0001,0.01,multiplicative,7.01,45.74718145021812
13,0.0001,0.01,multiplicative,3.01,45.8179511583875
14,0.0001,0.01,multiplicative,4.01,47.69153277231611
12,0.0001,0.01,multiplicative,2.01,47.84493937931143
514,0.0101,5.01,multiplicative,4.01,72.29578202842708
579,0.0101,8.01,multiplicative,9.01,74.62643688369498
495,0.0101,4.01,multiplicative,5.01,77.63720811589539
519,0.0101,5.01,multiplicative,9.01,77.90026447201862
592,0.0101,9.01,multiplicative,2.01,79.23002731461737
558,0.0101,7.01,multiplicative,8.01,79.58660169551041
557,0.0101,7.01,multiplicative,7.01,80.06391379025528
555,0.0101,7.01,multiplicative,5.01,81.879406679993
578,0.0101,8.01,multiplicative,8.01,82.18347002702798
438,0.0101,1.01,multiplicative,8.01,85.15973927594659
517,0.0101,5.01,multiplicative,7.01,85.23876525324025
431,0.0101,1.01,multiplicative,1.01,85.35269788599258
538,0.0101,6.01,multiplicative,8.01,85.79920765195567
494,0.0101,4.01,multiplicative,4.01,86.62831383234668
497,0.0101,4.01,multiplicative,7.01,86.8462746865195
552,0.0101,7.01,multiplicative,2.01,86.997141606355
534,0.0101,6.01,multiplicative,4.01,88.08754871015795
599,0.0101,9.01,multiplicative,9.01,88.46941653986295
496,0.0101,4.01,multiplicative,6.01,88.59479238899014
452,0.0101,2.01,multiplicative,2.01,88.78325806369743
454,0.0101,2.01,multiplicative,4.01,90.29097883022824
453,0.0101,2.01,multiplicative,3.01,90.48386771639343
596,0.0101,9.01,multiplicative,6.01,90.8677667016735
598,0.0101,9.01,multiplicative,8.01,90.97424012366615
