,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
10,0.0001,0.01,multiplicative,0.01,216.92401871002815
11,0.0001,0.01,multiplicative,1.01,217.42619805632876
12,0.0001,0.01,multiplicative,2.01,217.54814449961594
13,0.0001,0.01,multiplicative,3.01,217.6236276303256
14,0.0001,0.01,multiplicative,4.01,217.69181547842655
15,0.0001,0.01,multiplicative,5.01,217.75102243900292
16,0.0001,0.01,multiplicative,6.01,217.78613018016293
0,0.0001,0.01,additive,0.01,217.8114355758976
17,0.0001,0.01,multiplicative,7.01,217.82777610023476
18,0.0001,0.01,multiplicative,8.01,217.85821801423438
19,0.0001,0.01,multiplicative,9.01,217.88212224645667
1,0.0001,0.01,additive,1.01,218.21355234340015
2,0.0001,0.01,additive,2.01,218.22371101356535
3,0.0001,0.01,additive,3.01,218.22573434642334
4,0.0001,0.01,additive,4.01,218.2265182361809
5,0.0001,0.01,additive,5.01,218.22685844786113
6,0.0001,0.01,additive,6.01,218.22704423866858
7,0.0001,0.01,additive,7.01,218.22715670511897
8,0.0001,0.01,additive,8.01,218.22722995585207
9,0.0001,0.01,additive,9.01,218.2272802293332
180,0.0001,9.01,additive,0.01,221.4803431604794
160,0.0001,8.01,additive,0.01,221.48034346625198
140,0.0001,7.01,additive,0.01,221.48034364856386
120,0.0001,6.01,additive,0.01,221.48034531534438
100,0.0001,5.01,additive,0.01,221.4803464698586
80,0.0001,4.01,additive,0.01,221.48034855436956
60,0.0001,3.01,additive,0.01,221.48035225641553
40,0.0001,2.01,additive,0.01,221.4803644371001
20,0.0001,1.01,additive,0.01,221.48096633903876
181,0.0001,9.01,additive,1.01,221.81248389347678
161,0.0001,8.01,additive,1.01,221.8124843750082
141,0.0001,7.01,additive,1.01,221.81248498095883
121,0.0001,6.01,additive,1.01,221.81248596947776
101,0.0001,5.01,additive,1.01,221.81248740548173
81,0.0001,4.01,additive,1.01,221.81249029439405
61,0.0001,3.01,additive,1.01,221.81304974192167
41,0.0001,2.01,additive,1.01,221.81306821402436
21,0.0001,1.01,additive,1.01,221.81312093182112
122,0.0001,6.01,additive,2.01,221.82122828701284
102,0.0001,5.01,additive,2.01,221.82123017262293
182,0.0001,9.01,additive,2.01,221.82123280821054
162,0.0001,8.01,additive,2.01,221.82123328887255
82,0.0001,4.01,additive,2.01,221.82123374411913
142,0.0001,7.01,additive,2.01,221.82123409964467
62,0.0001,3.01,additive,2.01,221.82124429840727
42,0.0001,2.01,additive,2.01,221.82126512717323
22,0.0001,1.01,additive,2.01,221.8219508457863
183,0.0001,9.01,additive,3.01,221.82280527458542
163,0.0001,8.01,additive,3.01,221.8228060861305
143,0.0001,7.01,additive,3.01,221.82280685290385
123,0.0001,6.01,additive,3.01,221.82280812192042
103,0.0001,5.01,additive,3.01,221.82281028008506
83,0.0001,4.01,additive,3.01,221.82281493857167
63,0.0001,3.01,additive,3.01,221.82282422339222
43,0.0001,2.01,additive,3.01,221.82283109960002
23,0.0001,1.01,additive,3.01,221.82297590262132
184,0.0001,9.01,additive,4.01,221.8233349994562
164,0.0001,8.01,additive,4.01,221.82333555802842
144,0.0001,7.01,additive,4.01,221.82333640577076
124,0.0001,6.01,additive,4.01,221.823337942247
104,0.0001,5.01,additive,4.01,221.82334012360462
84,0.0001,4.01,additive,4.01,221.82334396525908
64,0.0001,3.01,additive,4.01,221.82335259483017
44,0.0001,2.01,additive,4.01,221.82337678544124
24,0.0001,1.01,additive,4.01,221.82347969703622
185,0.0001,9.01,additive,5.01,221.82357454524902
165,0.0001,8.01,additive,5.01,221.82357509099234
145,0.0001,7.01,additive,5.01,221.8235758187156
125,0.0001,6.01,additive,5.01,221.82357722770203
105,0.0001,5.01,additive,5.01,221.8235794811531
85,0.0001,4.01,additive,5.01,221.82358378163013
65,0.0001,3.01,additive,5.01,221.82359299541355
45,0.0001,2.01,additive,5.01,221.82361675169173
186,0.0001,9.01,additive,6.01,221.82370302048434
166,0.0001,8.01,additive,6.01,221.82370361576525
146,0.0001,7.01,additive,6.01,221.82370449079025
126,0.0001,6.01,additive,6.01,221.82370594250446
106,0.0001,5.01,additive,6.01,221.8237082278553
86,0.0001,4.01,additive,6.01,221.82371250701516
66,0.0001,3.01,additive,6.01,221.82372199812053
25,0.0001,1.01,additive,5.01,221.82372264491067
46,0.0001,2.01,additive,6.01,221.8237460793672
187,0.0001,9.01,additive,7.01,221.82378022358012
167,0.0001,8.01,additive,7.01,221.82378082252777
147,0.0001,7.01,additive,7.01,221.82378173706672
127,0.0001,6.01,additive,7.01,221.82378314832002
107,0.0001,5.01,additive,7.01,221.82378528590064
87,0.0001,4.01,additive,7.01,221.82378958809235
67,0.0001,3.01,additive,7.01,221.8237986347419
47,0.0001,2.01,additive,7.01,221.82382413100288
188,0.0001,9.01,additive,8.01,221.8238301382436
168,0.0001,8.01,additive,8.01,221.82383084378674
148,0.0001,7.01,additive,8.01,221.82383175795667
128,0.0001,6.01,additive,8.01,221.82383298216575
108,0.0001,5.01,additive,8.01,221.82383533151926
88,0.0001,4.01,additive,8.01,221.8238394095513
68,0.0001,3.01,additive,8.01,221.82384853808037
26,0.0001,1.01,additive,6.01,221.8238533654642
189,0.0001,9.01,additive,9.01,221.82386422572637
169,0.0001,8.01,additive,9.01,221.82386484405623
149,0.0001,7.01,additive,9.01,221.8238657292519
129,0.0001,6.01,additive,9.01,221.8238672072059
109,0.0001,5.01,additive,9.01,221.82386935461912
89,0.0001,4.01,additive,9.01,221.82387346768905
48,0.0001,2.01,additive,8.01,221.82387393176546
69,0.0001,3.01,additive,9.01,221.82388280838933
49,0.0001,2.01,additive,9.01,221.82390806186234
27,0.0001,1.01,additive,7.01,221.82392922037383
28,0.0001,1.01,additive,8.01,221.82398399681247
29,0.0001,1.01,additive,9.01,221.82401846556124
59,0.0001,2.01,multiplicative,9.01,228.81712867256886
50,0.0001,2.01,multiplicative,0.01,232.64809888057113
33,0.0001,1.01,multiplicative,3.01,232.6503996264151
70,0.0001,3.01,multiplicative,0.01,232.83877298346258
35,0.0001,1.01,multiplicative,5.01,232.8466138313359
34,0.0001,1.01,multiplicative,4.01,232.86556612127467
36,0.0001,1.01,multiplicative,6.01,232.87137464325517
90,0.0001,4.01,multiplicative,0.01,232.8876064539705
37,0.0001,1.01,multiplicative,7.01,232.89197253010934
38,0.0001,1.01,multiplicative,8.01,232.90898010191702
110,0.0001,5.01,multiplicative,0.01,232.9146540599983
39,0.0001,1.01,multiplicative,9.01,232.9231275154817
130,0.0001,6.01,multiplicative,0.01,232.9305947499553
150,0.0001,7.01,multiplicative,0.01,232.9398797766048
170,0.0001,8.01,multiplicative,0.01,232.94609976419787
190,0.0001,9.01,multiplicative,0.01,232.95024405542816
191,0.0001,9.01,multiplicative,1.01,233.5001720376673
171,0.0001,8.01,multiplicative,1.01,233.5029385595473
151,0.0001,7.01,multiplicative,1.01,233.50687056111613
131,0.0001,6.01,multiplicative,1.01,233.51303614083483
111,0.0001,5.01,multiplicative,1.01,233.5239408131158
91,0.0001,4.01,multiplicative,1.01,233.5522226334364
192,0.0001,9.01,multiplicative,2.01,233.65989881378195
172,0.0001,8.01,multiplicative,2.01,233.66316100781938
152,0.0001,7.01,multiplicative,2.01,233.66651576617073
132,0.0001,6.01,multiplicative,2.01,233.67463366170335
112,0.0001,5.01,multiplicative,2.01,233.69213774999872
193,0.0001,9.01,multiplicative,3.01,233.81910404532408
173,0.0001,8.01,multiplicative,3.01,233.82327166481326
153,0.0001,7.01,multiplicative,3.01,233.82958331274077
133,0.0001,6.01,multiplicative,3.01,233.84336995266486
113,0.0001,5.01,multiplicative,3.01,233.85702710002212
71,0.0001,3.01,multiplicative,1.01,234.00830072913732
194,0.0001,9.01,multiplicative,4.01,234.0212091760517
174,0.0001,8.01,multiplicative,4.01,234.02582565824466
154,0.0001,7.01,multiplicative,4.01,234.03267804350423
134,0.0001,6.01,multiplicative,4.01,234.04256884613943
92,0.0001,4.01,multiplicative,2.01,234.13296278176446
72,0.0001,3.01,multiplicative,2.01,234.20183419822598
195,0.0001,9.01,multiplicative,5.01,234.21503380977822
175,0.0001,8.01,multiplicative,5.01,234.2219829948456
51,0.0001,2.01,multiplicative,1.01,234.255323268479
93,0.0001,4.01,multiplicative,3.01,234.3288281774562
73,0.0001,3.01,multiplicative,3.01,234.3973103179132
52,0.0001,2.01,multiplicative,2.01,234.44364617719881
114,0.0001,5.01,multiplicative,4.01,234.5261168697127
94,0.0001,4.01,multiplicative,4.01,234.57225350039553
53,0.0001,2.01,multiplicative,3.01,234.64567022113894
74,0.0001,3.01,multiplicative,4.01,234.6755866737807
155,0.0001,7.01,multiplicative,5.01,234.71764897307045
135,0.0001,6.01,multiplicative,5.01,234.7305788852701
115,0.0001,5.01,multiplicative,5.01,234.76164692198802
54,0.0001,2.01,multiplicative,4.01,234.7717887788528
95,0.0001,4.01,multiplicative,5.01,234.7931820705992
196,0.0001,9.01,multiplicative,6.01,234.89886440476297
176,0.0001,8.01,multiplicative,6.01,234.90365805245776
156,0.0001,7.01,multiplicative,6.01,234.9142997104393
75,0.0001,3.01,multiplicative,5.01,234.92020248987814
136,0.0001,6.01,multiplicative,6.01,234.93747088931232
116,0.0001,5.01,multiplicative,6.01,234.96197445195023
55,0.0001,2.01,multiplicative,5.01,234.96581167398423
96,0.0001,4.01,multiplicative,6.01,234.99254443787126
197,0.0001,9.01,multiplicative,7.01,235.06254026452666
177,0.0001,8.01,multiplicative,7.01,235.06931035898506
157,0.0001,7.01,multiplicative,7.01,235.08131359894406
56,0.0001,2.01,multiplicative,6.01,235.08875024764254
137,0.0001,6.01,multiplicative,7.01,235.09958914854673
117,0.0001,5.01,multiplicative,7.01,235.12102319938532
76,0.0001,3.01,multiplicative,6.01,235.13289925914538
58,0.0001,2.01,multiplicative,8.01,235.18117749754987
57,0.0001,2.01,multiplicative,7.01,235.19339071104417
198,0.0001,9.01,multiplicative,8.01,235.19378335063004
97,0.0001,4.01,multiplicative,7.01,235.19497502132882
178,0.0001,8.01,multiplicative,8.01,235.20197239279022
158,0.0001,7.01,multiplicative,8.01,235.213296819955
138,0.0001,6.01,multiplicative,8.01,235.22293522030333
118,0.0001,5.01,multiplicative,8.01,235.2400623900501
179,0.0001,8.01,multiplicative,9.01,235.29768048603762
199,0.0001,9.01,multiplicative,9.01,235.297909175602
77,0.0001,3.01,multiplicative,7.01,235.30611910609886
159,0.0001,7.01,multiplicative,9.01,235.30977127154398
139,0.0001,6.01,multiplicative,9.01,235.31435027127642
98,0.0001,4.01,multiplicative,8.01,235.32272201298932
119,0.0001,5.01,multiplicative,9.01,235.37684182526763
78,0.0001,3.01,multiplicative,8.01,235.4012914514353
99,0.0001,4.01,multiplicative,9.01,235.4369768449197
79,0.0001,3.01,multiplicative,9.01,235.5343719633989
30,0.0001,1.01,multiplicative,0.01,242.01653419008414
32,0.0001,1.01,multiplicative,2.01,242.02333422163795
31,0.0001,1.01,multiplicative,1.01,243.01167016220396
577,0.0101,8.01,multiplicative,7.01,406.0444671493869
593,0.0101,9.01,multiplicative,3.01,407.2783941044378
599,0.0101,9.01,multiplicative,9.01,408.3750261012761
512,0.0101,5.01,multiplicative,2.01,408.5048200733324
474,0.0101,3.01,multiplicative,4.01,410.3407707152663
575,0.0101,8.01,multiplicative,5.01,410.6369259173544
536,0.0101,6.01,multiplicative,6.01,411.0338152197906
470,0.0101,3.01,multiplicative,0.01,411.16445038554286
431,0.0101,1.01,multiplicative,1.01,412.1602591797368
473,0.0101,3.01,multiplicative,3.01,412.2698715036776
530,0.0101,6.01,multiplicative,0.01,412.2956263516993
518,0.0101,5.01,multiplicative,8.01,412.45080735675583
430,0.0101,1.01,multiplicative,0.01,413.0083055662757
571,0.0101,8.01,multiplicative,1.01,415.8191652373617
553,0.0101,7.01,multiplicative,3.01,416.32811559466734
492,0.0101,4.01,multiplicative,2.01,417.77830027959305
535,0.0101,6.01,multiplicative,5.01,418.7116256024756
539,0.0101,6.01,multiplicative,9.01,419.5077772105215
491,0.0101,4.01,multiplicative,1.01,419.5350951080569
558,0.0101,7.01,multiplicative,8.01,422.4581200291297
531,0.0101,6.01,multiplicative,1.01,429.5333151347084
555,0.0101,7.01,multiplicative,5.01,437.52698193664605
552,0.0101,7.01,multiplicative,2.01,440.0740410621407
578,0.0101,8.01,multiplicative,8.01,440.80489911864976
573,0.0101,8.01,multiplicative,3.01,441.2749052661071
598,0.0101,9.01,multiplicative,8.01,443.7097541859424
574,0.0101,8.01,multiplicative,4.01,446.6715688319198
419,0.0101,0.01,multiplicative,9.01,446.77354760021336
411,0.0101,0.01,multiplicative,1.01,447.30681505534204
418,0.0101,0.01,multiplicative,8.01,447.7938353892132
410,0.0101,0.01,multiplicative,0.01,448.8115623044192
414,0.0101,0.01,multiplicative,4.01,448.82607662473737
576,0.0101,8.01,multiplicative,6.01,450.2193655666509
413,0.0101,0.01,multiplicative,3.01,450.38770056062145
417,0.0101,0.01,multiplicative,7.01,450.46042380975496
415,0.0101,0.01,multiplicative,5.01,451.5134162637428
416,0.0101,0.01,multiplicative,6.01,453.93179492801494
579,0.0101,8.01,multiplicative,9.01,455.93595082980295
517,0.0101,5.01,multiplicative,7.01,456.83915980213413
412,0.0101,0.01,multiplicative,2.01,457.38800665144583
557,0.0101,7.01,multiplicative,7.01,460.75616620804607
595,0.0101,9.01,multiplicative,5.01,460.9851363134947
554,0.0101,7.01,multiplicative,4.01,461.5621110099546
597,0.0101,9.01,multiplicative,7.01,462.1365723308259
556,0.0101,7.01,multiplicative,6.01,463.0583149865352
450,0.0101,2.01,multiplicative,0.01,465.4625545696791
559,0.0101,7.01,multiplicative,9.01,466.81989034102753
211,0.0051,0.01,multiplicative,1.01,480.29979482661446
217,0.0051,0.01,multiplicative,7.01,480.4211930300688
216,0.0051,0.01,multiplicative,6.01,480.42807324615353
212,0.0051,0.01,multiplicative,2.01,480.47296556469803
218,0.0051,0.01,multiplicative,8.01,480.4954406476986
214,0.0051,0.01,multiplicative,4.01,480.537967303795
213,0.0051,0.01,multiplicative,3.01,480.5652722444328
215,0.0051,0.01,multiplicative,5.01,480.7478563059996
219,0.0051,0.01,multiplicative,9.01,480.82170672771986
467,0.0101,3.01,additive,7.01,486.4085366782835
210,0.0051,0.01,multiplicative,0.01,487.4638285891311
483,0.0101,4.01,additive,3.01,491.11669922020485
401,0.0101,0.01,additive,1.01,494.94876125530766
582,0.0101,9.01,additive,2.01,495.0693901554581
522,0.0101,6.01,additive,2.01,495.1013460196527
545,0.0101,7.01,additive,5.01,495.20373904964777
529,0.0101,6.01,additive,9.01,495.6192563554737
407,0.0101,0.01,additive,7.01,495.7943663516049
409,0.0101,0.01,additive,9.01,495.83740195968124
445,0.0101,2.01,additive,5.01,496.03095975911253
547,0.0101,7.01,additive,7.01,496.1837630770334
502,0.0101,5.01,additive,2.01,496.25003197228597
481,0.0101,4.01,additive,1.01,496.5590069827864
523,0.0101,6.01,additive,3.01,496.92864181201674
487,0.0101,4.01,additive,7.01,497.02466943100325
525,0.0101,6.01,additive,5.01,497.0962071550089
511,0.0101,5.01,multiplicative,1.01,497.19046609704617
403,0.0101,0.01,additive,3.01,497.30814137716004
408,0.0101,0.01,additive,8.01,497.56197548344085
482,0.0101,4.01,additive,2.01,497.71288334565776
501,0.0101,5.01,additive,1.01,497.8262550682285
537,0.0101,6.01,multiplicative,7.01,497.843938934648
566,0.0101,8.01,additive,6.01,498.24136519310514
402,0.0101,0.01,additive,2.01,498.3660107803221
444,0.0101,2.01,additive,4.01,498.37225575832804
526,0.0101,6.01,additive,6.01,498.42688041610893
543,0.0101,7.01,additive,3.01,498.5111211112054
521,0.0101,6.01,additive,1.01,498.73766574515116
422,0.0101,1.01,additive,2.01,498.8715076823835
426,0.0101,1.01,additive,6.01,499.26191545904595
528,0.0101,6.01,additive,8.01,499.2641366362862
449,0.0101,2.01,additive,9.01,499.42826800643195
462,0.0101,3.01,additive,2.01,499.8771115970223
569,0.0101,8.01,additive,9.01,499.8992100969332
548,0.0101,7.01,additive,8.01,500.01504768889936
565,0.0101,8.01,additive,5.01,500.0577029852922
562,0.0101,8.01,additive,2.01,500.1189426955862
544,0.0101,7.01,additive,4.01,500.1667274564944
568,0.0101,8.01,additive,8.01,500.4551797965619
496,0.0101,4.01,multiplicative,6.01,500.79190144794853
546,0.0101,7.01,additive,6.01,500.8984960590809
588,0.0101,9.01,additive,8.01,501.0418566482873
541,0.0101,7.01,additive,1.01,501.35703255019365
585,0.0101,9.01,additive,5.01,501.50829304368114
442,0.0101,2.01,additive,2.01,501.5108857180491
404,0.0101,0.01,additive,4.01,501.5499391006884
488,0.0101,4.01,additive,8.01,501.62147876202044
583,0.0101,9.01,additive,3.01,501.6566763550714
567,0.0101,8.01,additive,7.01,501.67926524399365
421,0.0101,1.01,additive,1.01,501.8113953090667
549,0.0101,7.01,additive,9.01,501.96232410962466
591,0.0101,9.01,multiplicative,1.01,501.97762721730345
400,0.0101,0.01,additive,0.01,502.36133918355716
527,0.0101,6.01,additive,7.01,502.49433294830703
453,0.0101,2.01,multiplicative,3.01,502.5016521816936
428,0.0101,1.01,additive,8.01,502.9367104290721
405,0.0101,0.01,additive,5.01,502.973308218526
451,0.0101,2.01,multiplicative,1.01,503.0542784105746
510,0.0101,5.01,multiplicative,0.01,503.1262515912582
423,0.0101,1.01,additive,3.01,503.35327371646804
452,0.0101,2.01,multiplicative,2.01,503.7695525743447
524,0.0101,6.01,additive,4.01,503.84701746606993
