,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
310,0.0051,5.01,multiplicative,0.01,65.49812545919421
35,0.0001,1.01,multiplicative,5.01,65.69810138273844
55,0.0001,2.01,multiplicative,5.01,65.7118648110963
75,0.0001,3.01,multiplicative,5.01,65.71633944287017
95,0.0001,4.01,multiplicative,5.01,65.71730718017616
115,0.0001,5.01,multiplicative,5.01,65.71761612915876
135,0.0001,6.01,multiplicative,5.01,65.717777279779
155,0.0001,7.01,multiplicative,5.01,65.71789074474373
175,0.0001,8.01,multiplicative,5.01,65.71798981273196
195,0.0001,9.01,multiplicative,5.01,65.7181153036064
314,0.0051,5.01,multiplicative,4.01,65.93289092710778
270,0.0051,3.01,multiplicative,0.01,66.05439818475988
234,0.0051,1.01,multiplicative,4.01,66.35931832874667
294,0.0051,4.01,multiplicative,4.01,66.53956986762441
210,0.0051,0.01,multiplicative,0.01,67.71694671033448
256,0.0051,2.01,multiplicative,6.01,67.78202190705989
15,0.0001,0.01,multiplicative,5.01,67.92115379608704
10,0.0001,0.01,multiplicative,0.01,67.94158671838426
190,0.0001,9.01,multiplicative,0.01,67.94247556636607
170,0.0001,8.01,multiplicative,0.01,67.9424759743537
150,0.0001,7.01,multiplicative,0.01,67.94247657362254
130,0.0001,6.01,multiplicative,0.01,67.94247697000323
110,0.0001,5.01,multiplicative,0.01,67.94247849656146
90,0.0001,4.01,multiplicative,0.01,67.94248129862918
70,0.0001,3.01,multiplicative,0.01,67.94248643143388
50,0.0001,2.01,multiplicative,0.01,67.94250320217282
30,0.0001,1.01,multiplicative,0.01,67.94259497740147
0,0.0001,0.01,additive,0.01,68.01453247716202
370,0.0051,8.01,multiplicative,0.01,68.07404711732718
20,0.0001,1.01,additive,0.01,68.09790107396708
40,0.0001,2.01,additive,0.01,68.09790445581238
60,0.0001,3.01,additive,0.01,68.09790506581592
80,0.0001,4.01,additive,0.01,68.0979052774203
100,0.0001,5.01,additive,0.01,68.09790537830108
120,0.0001,6.01,additive,0.01,68.09790543246189
180,0.0001,9.01,additive,0.01,68.0979054658995
140,0.0001,7.01,additive,0.01,68.09790546796746
160,0.0001,8.01,additive,0.01,68.0979054857814
557,0.0101,7.01,multiplicative,7.01,69.66070746373221
111,0.0001,5.01,multiplicative,1.01,69.88563144444981
91,0.0001,4.01,multiplicative,1.01,69.885634439977
71,0.0001,3.01,multiplicative,1.01,69.8856362826268
51,0.0001,2.01,multiplicative,1.01,69.88564155143517
31,0.0001,1.01,multiplicative,1.01,69.88566988480427
191,0.0001,9.01,multiplicative,1.01,69.88591312274056
171,0.0001,8.01,multiplicative,1.01,69.88591323409815
151,0.0001,7.01,multiplicative,1.01,69.88591341633094
131,0.0001,6.01,multiplicative,1.01,69.88591370398206
11,0.0001,0.01,multiplicative,1.01,69.93754787912367
361,0.0051,8.01,additive,1.01,70.04154337500346
18,0.0001,0.01,multiplicative,8.01,70.27042463229648
535,0.0101,6.01,multiplicative,5.01,70.27438107374894
593,0.0101,9.01,multiplicative,3.01,70.50775670177708
350,0.0051,7.01,multiplicative,0.01,70.52594883683038
520,0.0101,6.01,additive,0.01,70.6771754727682
224,0.0051,1.01,additive,4.01,70.74333919279867
552,0.0101,7.01,multiplicative,2.01,70.84712010332166
452,0.0101,2.01,multiplicative,2.01,70.91580968668103
36,0.0001,1.01,multiplicative,6.01,71.01490435829808
32,0.0001,1.01,multiplicative,2.01,71.01786477438094
92,0.0001,4.01,multiplicative,2.01,71.01792646921413
112,0.0001,5.01,multiplicative,2.01,71.01792822507095
132,0.0001,6.01,multiplicative,2.01,71.01792926512866
152,0.0001,7.01,multiplicative,2.01,71.01793003172075
172,0.0001,8.01,multiplicative,2.01,71.01793031882082
192,0.0001,9.01,multiplicative,2.01,71.01793091508426
52,0.0001,2.01,multiplicative,2.01,71.0179375539785
72,0.0001,3.01,multiplicative,2.01,71.01796998286518
56,0.0001,2.01,multiplicative,6.01,71.02039854077856
76,0.0001,3.01,multiplicative,6.01,71.02083560922637
96,0.0001,4.01,multiplicative,6.01,71.02106841321977
116,0.0001,5.01,multiplicative,6.01,71.02120797716259
136,0.0001,6.01,multiplicative,6.01,71.02123452458305
156,0.0001,7.01,multiplicative,6.01,71.02127795391672
176,0.0001,8.01,multiplicative,6.01,71.02130711562955
196,0.0001,9.01,multiplicative,6.01,71.02132649021344
12,0.0001,0.01,multiplicative,2.01,71.02678953687503
138,0.0001,6.01,multiplicative,8.01,71.17861687084329
158,0.0001,7.01,multiplicative,8.01,71.17878297716013
178,0.0001,8.01,multiplicative,8.01,71.17880694459407
198,0.0001,9.01,multiplicative,8.01,71.17889183586351
118,0.0001,5.01,multiplicative,8.01,71.1793892784611
98,0.0001,4.01,multiplicative,8.01,71.1811297344274
78,0.0001,3.01,multiplicative,8.01,71.18559944574247
431,0.0101,1.01,multiplicative,1.01,71.24902961698787
38,0.0001,1.01,multiplicative,8.01,71.25239180806552
246,0.0051,2.01,additive,6.01,71.3042506035005
16,0.0001,0.01,multiplicative,6.01,71.35278128003931
14,0.0001,0.01,multiplicative,4.01,71.38319998513839
457,0.0101,2.01,multiplicative,7.01,71.38579601393317
174,0.0001,8.01,multiplicative,4.01,71.38690562837243
194,0.0001,9.01,multiplicative,4.01,71.38690966498287
154,0.0001,7.01,multiplicative,4.01,71.38692991274787
134,0.0001,6.01,multiplicative,4.01,71.38695749674285
114,0.0001,5.01,multiplicative,4.01,71.38700745212743
94,0.0001,4.01,multiplicative,4.01,71.38710439347703
74,0.0001,3.01,multiplicative,4.01,71.38727636702698
54,0.0001,2.01,multiplicative,4.01,71.38782801201681
34,0.0001,1.01,multiplicative,4.01,71.38790919190792
229,0.0051,1.01,additive,9.01,71.49771429505832
530,0.0101,6.01,multiplicative,0.01,71.52441560154817
252,0.0051,2.01,multiplicative,2.01,71.57515679993557
478,0.0101,3.01,multiplicative,8.01,71.57764495462463
495,0.0101,4.01,multiplicative,5.01,71.58086462524851
579,0.0101,8.01,multiplicative,9.01,71.63273264437763
269,0.0051,3.01,additive,9.01,71.70146528558946
58,0.0001,2.01,multiplicative,8.01,71.71932210093343
451,0.0101,2.01,multiplicative,1.01,71.73231261912655
248,0.0051,2.01,additive,8.01,71.75253240901317
536,0.0101,6.01,multiplicative,6.01,71.9834515548729
308,0.0051,5.01,additive,8.01,72.03849992497949
550,0.0101,7.01,multiplicative,0.01,72.06104995007861
288,0.0051,4.01,additive,8.01,72.08367700020762
267,0.0051,3.01,additive,7.01,72.2514081314396
227,0.0051,1.01,additive,7.01,72.26677551528569
419,0.0101,0.01,multiplicative,9.01,72.28498864958661
415,0.0101,0.01,multiplicative,5.01,72.28757870348272
418,0.0101,0.01,multiplicative,8.01,72.29551612849563
573,0.0101,8.01,multiplicative,3.01,72.31816765434895
577,0.0101,8.01,multiplicative,7.01,72.41405918786023
477,0.0101,3.01,multiplicative,7.01,72.42062166557879
540,0.0101,7.01,additive,0.01,72.45729135033305
348,0.0051,7.01,additive,8.01,72.46088870558603
330,0.0051,6.01,multiplicative,0.01,72.58113321404117
388,0.0051,9.01,additive,8.01,72.61414796282654
598,0.0101,9.01,multiplicative,8.01,72.67680123264174
328,0.0051,6.01,additive,8.01,72.69358535199292
499,0.0101,4.01,multiplicative,9.01,72.7011982222113
456,0.0101,2.01,multiplicative,6.01,72.71601229177602
247,0.0051,2.01,additive,7.01,72.76030236539688
389,0.0051,9.01,additive,9.01,72.76595293487938
411,0.0101,0.01,multiplicative,1.01,72.78618110320966
253,0.0051,2.01,multiplicative,3.01,72.80723683643085
368,0.0051,8.01,additive,8.01,72.8084374139879
225,0.0051,1.01,additive,5.01,72.80912171578838
435,0.0101,1.01,multiplicative,5.01,72.83147156576166
289,0.0051,4.01,additive,9.01,72.85238069840585
349,0.0051,7.01,additive,9.01,72.86151944927033
369,0.0051,8.01,additive,9.01,72.89232257290698
309,0.0051,5.01,additive,9.01,72.91595414652289
592,0.0101,9.01,multiplicative,2.01,72.96271885824899
360,0.0051,8.01,additive,0.01,72.97326720280728
493,0.0101,4.01,multiplicative,3.01,73.01030220333935
518,0.0101,5.01,multiplicative,8.01,73.01212065330152
455,0.0101,2.01,multiplicative,5.01,73.021288155088
226,0.0051,1.01,additive,6.01,73.13069321794029
380,0.0051,9.01,additive,0.01,73.17682452453008
553,0.0101,7.01,multiplicative,3.01,73.18808834199874
459,0.0101,2.01,multiplicative,9.01,73.22287970231376
417,0.0101,0.01,multiplicative,7.01,73.26348092190132
572,0.0101,8.01,multiplicative,2.01,73.29726735746812
591,0.0101,9.01,multiplicative,1.01,73.31601340830107
268,0.0051,3.01,additive,8.01,73.33436808478555
471,0.0101,3.01,multiplicative,1.01,73.42051021200531
439,0.0101,1.01,multiplicative,9.01,73.42152157234918
438,0.0101,1.01,multiplicative,8.01,73.44427364056989
492,0.0101,4.01,multiplicative,2.01,73.48480716338622
412,0.0101,0.01,multiplicative,2.01,73.49719110606327
514,0.0101,5.01,multiplicative,4.01,73.50155142852327
511,0.0101,5.01,multiplicative,1.01,73.57910737479719
475,0.0101,3.01,multiplicative,5.01,73.59575893114535
515,0.0101,5.01,multiplicative,5.01,73.60624276187401
513,0.0101,5.01,multiplicative,3.01,73.65449962602213
570,0.0101,8.01,multiplicative,0.01,73.65500614527163
416,0.0101,0.01,multiplicative,6.01,73.73908490733079
261,0.0051,3.01,additive,1.01,73.81382505943645
498,0.0101,4.01,multiplicative,8.01,73.88926046705457
249,0.0051,2.01,additive,9.01,73.89190286349157
510,0.0101,5.01,multiplicative,0.01,73.9378329765003
578,0.0101,8.01,multiplicative,8.01,74.04272515900662
228,0.0051,1.01,additive,8.01,74.07228746442894
544,0.0101,7.01,additive,4.01,74.16145765969553
430,0.0101,1.01,multiplicative,0.01,74.17923837273193
496,0.0101,4.01,multiplicative,6.01,74.22498725781375
312,0.0051,5.01,multiplicative,2.01,74.30784519465726
427,0.0101,1.01,additive,7.01,74.31442589825019
596,0.0101,9.01,multiplicative,6.01,74.346793964495
531,0.0101,6.01,multiplicative,1.01,74.38713418025668
560,0.0101,8.01,additive,0.01,74.39110955172099
532,0.0101,6.01,multiplicative,2.01,74.44514911030733
242,0.0051,2.01,additive,2.01,74.54333849184954
322,0.0051,6.01,additive,2.01,74.60032925216913
282,0.0051,4.01,additive,2.01,74.62362534887048
507,0.0101,5.01,additive,7.01,74.87107283102215
362,0.0051,8.01,additive,2.01,74.89194549941888
521,0.0101,6.01,additive,1.01,74.89494679583984
