,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
116,0.0001,5.01,multiplicative,6.01,16.583447276349386
51,0.0001,2.01,multiplicative,1.01,16.902234943591175
30,0.0001,1.01,multiplicative,0.01,17.147981671209934
173,0.0001,8.01,multiplicative,3.01,17.176832788261137
194,0.0001,9.01,multiplicative,4.01,17.186393241014663
172,0.0001,8.01,multiplicative,2.01,17.28930998718936
136,0.0001,6.01,multiplicative,6.01,17.299221087114756
153,0.0001,7.01,multiplicative,3.01,17.3370243645607
176,0.0001,8.01,multiplicative,6.01,17.34129943508535
76,0.0001,3.01,multiplicative,6.01,17.34843684639688
99,0.0001,4.01,multiplicative,9.01,17.35196319985684
57,0.0001,2.01,multiplicative,7.01,17.391478934589433
191,0.0001,9.01,multiplicative,1.01,17.459284954859037
195,0.0001,9.01,multiplicative,5.01,17.460696707603237
171,0.0001,8.01,multiplicative,1.01,17.46553339737296
151,0.0001,7.01,multiplicative,1.01,17.475076715752742
38,0.0001,1.01,multiplicative,8.01,17.4876272071114
175,0.0001,8.01,multiplicative,5.01,17.48940639563285
131,0.0001,6.01,multiplicative,1.01,17.49080520221397
111,0.0001,5.01,multiplicative,1.01,17.518098458793375
93,0.0001,4.01,multiplicative,3.01,17.528428131322467
155,0.0001,7.01,multiplicative,5.01,17.54842522014062
91,0.0001,4.01,multiplicative,1.01,17.581689197400447
54,0.0001,2.01,multiplicative,4.01,17.623419965512383
135,0.0001,6.01,multiplicative,5.01,17.67943346422413
74,0.0001,3.01,multiplicative,4.01,17.694719482274444
32,0.0001,1.01,multiplicative,2.01,17.695074331999805
71,0.0001,3.01,multiplicative,1.01,17.738630621186232
134,0.0001,6.01,multiplicative,4.01,17.784087958004054
113,0.0001,5.01,multiplicative,3.01,17.79944429393873
53,0.0001,2.01,multiplicative,3.01,17.879737796013913
156,0.0001,7.01,multiplicative,6.01,17.942083304917215
133,0.0001,6.01,multiplicative,3.01,17.995968772649338
174,0.0001,8.01,multiplicative,4.01,18.321010763412197
94,0.0001,4.01,multiplicative,4.01,18.494890790237953
56,0.0001,2.01,multiplicative,6.01,18.511067276283182
190,0.0001,9.01,multiplicative,0.01,18.541628461368227
37,0.0001,1.01,multiplicative,7.01,18.579054610800405
170,0.0001,8.01,multiplicative,0.01,18.600366809673126
150,0.0001,7.01,multiplicative,0.01,18.681315847813387
197,0.0001,9.01,multiplicative,7.01,18.73905225446457
177,0.0001,8.01,multiplicative,7.01,18.739351316640555
157,0.0001,7.01,multiplicative,7.01,18.743974981686666
137,0.0001,6.01,multiplicative,7.01,18.75994128174032
115,0.0001,5.01,multiplicative,5.01,18.790308539652358
55,0.0001,2.01,multiplicative,5.01,18.79342980118557
117,0.0001,5.01,multiplicative,7.01,18.796098270625496
130,0.0001,6.01,multiplicative,0.01,18.815816127741872
192,0.0001,9.01,multiplicative,2.01,18.926200082801657
97,0.0001,4.01,multiplicative,7.01,18.956619172669512
33,0.0001,1.01,multiplicative,3.01,18.97973804738932
110,0.0001,5.01,multiplicative,0.01,19.048594327396316
73,0.0001,3.01,multiplicative,3.01,19.089078748980835
95,0.0001,4.01,multiplicative,5.01,19.197351760710404
199,0.0001,9.01,multiplicative,9.01,19.233275821334118
58,0.0001,2.01,multiplicative,8.01,19.459435683248355
78,0.0001,3.01,multiplicative,8.01,19.48360076937653
90,0.0001,4.01,multiplicative,0.01,19.500176471447176
59,0.0001,2.01,multiplicative,9.01,19.667319424085715
118,0.0001,5.01,multiplicative,8.01,19.732423665476347
193,0.0001,9.01,multiplicative,3.01,19.74357939125014
77,0.0001,3.01,multiplicative,7.01,19.806874259842484
36,0.0001,1.01,multiplicative,6.01,19.813895311255074
