,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
493,0.0101,4.01,multiplicative,3.01,34.60629482728305
434,0.0101,1.01,multiplicative,4.01,34.70671206665555
410,0.0101,0.01,multiplicative,0.01,34.72853055453308
439,0.0101,1.01,multiplicative,9.01,34.8231128327441
478,0.0101,3.01,multiplicative,8.01,34.90490410237977
490,0.0101,4.01,multiplicative,0.01,35.021536445049826
532,0.0101,6.01,multiplicative,2.01,35.031233011943335
480,0.0101,4.01,additive,0.01,35.177369131253734
438,0.0101,1.01,multiplicative,8.01,35.21688496030334
499,0.0101,4.01,multiplicative,9.01,35.344949241416415
451,0.0101,2.01,multiplicative,1.01,35.45224192735768
570,0.0101,8.01,multiplicative,0.01,35.479990682594035
475,0.0101,3.01,multiplicative,5.01,35.49154467640321
594,0.0101,9.01,multiplicative,4.01,35.51228065248413
580,0.0101,9.01,additive,0.01,35.57446313306016
539,0.0101,6.01,multiplicative,9.01,35.58834901781499
411,0.0101,0.01,multiplicative,1.01,35.621364008471105
599,0.0101,9.01,multiplicative,9.01,35.64651382295859
573,0.0101,8.01,multiplicative,3.01,35.64872649313091
595,0.0101,9.01,multiplicative,5.01,35.67726388293457
593,0.0101,9.01,multiplicative,3.01,35.75283756080802
494,0.0101,4.01,multiplicative,4.01,35.75780551753621
530,0.0101,6.01,multiplicative,0.01,35.862543507852784
597,0.0101,9.01,multiplicative,7.01,35.86734470827337
552,0.0101,7.01,multiplicative,2.01,35.88012725595136
551,0.0101,7.01,multiplicative,1.01,35.88512541232122
459,0.0101,2.01,multiplicative,9.01,35.903055242862166
416,0.0101,0.01,multiplicative,6.01,35.90528444387896
571,0.0101,8.01,multiplicative,1.01,36.25177628984217
515,0.0101,5.01,multiplicative,5.01,36.28599401415972
415,0.0101,0.01,multiplicative,5.01,36.339013745785905
531,0.0101,6.01,multiplicative,1.01,36.52214869943131
460,0.0101,3.01,additive,0.01,36.57869221069439
577,0.0101,8.01,multiplicative,7.01,36.64306112267937
550,0.0101,7.01,multiplicative,0.01,36.682192790831294
491,0.0101,4.01,multiplicative,1.01,36.93041715370334
498,0.0101,4.01,multiplicative,8.01,36.955919189781994
430,0.0101,1.01,multiplicative,0.01,37.04141386205851
554,0.0101,7.01,multiplicative,4.01,37.117372815472514
469,0.0101,3.01,additive,9.01,37.14725336258584
589,0.0101,9.01,additive,9.01,37.220322328567725
441,0.0101,2.01,additive,1.01,37.23869975434851
435,0.0101,1.01,multiplicative,5.01,37.268018344324716
481,0.0101,4.01,additive,1.01,37.33816345651571
470,0.0101,3.01,multiplicative,0.01,37.344792646693634
592,0.0101,9.01,multiplicative,2.01,37.35895100897609
527,0.0101,6.01,additive,7.01,37.46072013039624
408,0.0101,0.01,additive,8.01,37.48437714303274
431,0.0101,1.01,multiplicative,1.01,37.523929630789354
428,0.0101,1.01,additive,8.01,37.543025988352156
437,0.0101,1.01,multiplicative,7.01,37.59980533272092
412,0.0101,0.01,multiplicative,2.01,37.642177773050506
507,0.0101,5.01,additive,7.01,37.723091312448126
426,0.0101,1.01,additive,6.01,37.763291656437936
401,0.0101,0.01,additive,1.01,37.82759935416678
547,0.0101,7.01,additive,7.01,37.88893942324747
574,0.0101,8.01,multiplicative,4.01,38.017868097117976
