,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
456,0.0101,2.01,multiplicative,6.01,80.69672271189292
432,0.0101,1.01,multiplicative,2.01,84.18020882665832
451,0.0101,2.01,multiplicative,1.01,84.96354345632878
531,0.0101,6.01,multiplicative,1.01,85.40756952664667
475,0.0101,3.01,multiplicative,5.01,86.38996136925208
573,0.0101,8.01,multiplicative,3.01,86.66397944227754
431,0.0101,1.01,multiplicative,1.01,86.84190559533623
511,0.0101,5.01,multiplicative,1.01,86.96848965112682
515,0.0101,5.01,multiplicative,5.01,87.440434835883
532,0.0101,6.01,multiplicative,2.01,87.63876110435382
553,0.0101,7.01,multiplicative,3.01,90.77994269392825
472,0.0101,3.01,multiplicative,2.01,91.7477832354237
438,0.0101,1.01,multiplicative,8.01,91.89154479759786
557,0.0101,7.01,multiplicative,7.01,92.19342262802482
437,0.0101,1.01,multiplicative,7.01,92.24765003473678
418,0.0101,0.01,multiplicative,8.01,93.17616698827855
556,0.0101,7.01,multiplicative,6.01,93.41473854459318
517,0.0101,5.01,multiplicative,7.01,93.50437385438975
409,0.0101,0.01,additive,9.01,93.98220335569934
411,0.0101,0.01,multiplicative,1.01,94.75139916939602
436,0.0101,1.01,multiplicative,6.01,94.81349575807157
415,0.0101,0.01,multiplicative,5.01,94.9187672385387
408,0.0101,0.01,additive,8.01,94.92107138491272
536,0.0101,6.01,multiplicative,6.01,95.10798577870581
406,0.0101,0.01,additive,6.01,95.30327216877886
537,0.0101,6.01,multiplicative,7.01,95.35131029649762
479,0.0101,3.01,multiplicative,9.01,95.35437295504627
405,0.0101,0.01,additive,5.01,95.37283908171655
452,0.0101,2.01,multiplicative,2.01,95.43778028173881
416,0.0101,0.01,multiplicative,6.01,96.0586260931053
401,0.0101,0.01,additive,1.01,96.21874865969886
412,0.0101,0.01,multiplicative,2.01,96.46049685541736
414,0.0101,0.01,multiplicative,4.01,96.77609903552059
478,0.0101,3.01,multiplicative,8.01,96.96152149310495
508,0.0101,5.01,additive,8.01,97.12100930024984
571,0.0101,8.01,multiplicative,1.01,97.12214450729377
404,0.0101,0.01,additive,4.01,97.16932785138401
474,0.0101,3.01,multiplicative,4.01,97.36241018467399
449,0.0101,2.01,additive,9.01,97.55216552358645
407,0.0101,0.01,additive,7.01,97.64996085803897
448,0.0101,2.01,additive,8.01,98.07361948534181
429,0.0101,1.01,additive,9.01,98.07612575420029
552,0.0101,7.01,multiplicative,2.01,98.19386921936714
586,0.0101,9.01,additive,6.01,98.24283825898257
529,0.0101,6.01,additive,9.01,98.32995061515904
454,0.0101,2.01,multiplicative,4.01,98.3633310693407
468,0.0101,3.01,additive,8.01,98.43829454572167
457,0.0101,2.01,multiplicative,7.01,98.59464314661228
542,0.0101,7.01,additive,2.01,98.60635846727124
455,0.0101,2.01,multiplicative,5.01,98.62703453227257
441,0.0101,2.01,additive,1.01,98.71896165998004
567,0.0101,8.01,additive,7.01,98.7659580329566
513,0.0101,5.01,multiplicative,3.01,98.81600758669657
477,0.0101,3.01,multiplicative,7.01,98.89000744985348
403,0.0101,0.01,additive,3.01,98.98314889109241
489,0.0101,4.01,additive,9.01,99.05188525840886
435,0.0101,1.01,multiplicative,5.01,99.22947551692336
526,0.0101,6.01,additive,6.01,99.3542095824624
568,0.0101,8.01,additive,8.01,99.41769931924533
549,0.0101,7.01,additive,9.01,99.42914194755923
572,0.0101,8.01,multiplicative,2.01,99.51805358349851
486,0.0101,4.01,additive,6.01,99.63647023413792
506,0.0101,5.01,additive,6.01,99.68081426421209
523,0.0101,6.01,additive,3.01,99.71121652016951
581,0.0101,9.01,additive,1.01,99.71682564210917
