,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
432,0.0101,1.01,multiplicative,2.01,42.41222768724593
552,0.0101,7.01,multiplicative,2.01,42.444924125202036
434,0.0101,1.01,multiplicative,4.01,42.466151431868674
435,0.0101,1.01,multiplicative,5.01,42.54359826298754
594,0.0101,9.01,multiplicative,4.01,42.54951834976234
559,0.0101,7.01,multiplicative,9.01,42.57375004251919
573,0.0101,8.01,multiplicative,3.01,42.59657418643461
470,0.0101,3.01,multiplicative,0.01,42.601679432325305
592,0.0101,9.01,multiplicative,2.01,42.60383855568008
551,0.0101,7.01,multiplicative,1.01,42.63263125463347
455,0.0101,2.01,multiplicative,5.01,42.657998039463365
491,0.0101,4.01,multiplicative,1.01,42.666451326177096
556,0.0101,7.01,multiplicative,6.01,42.668830421034166
593,0.0101,9.01,multiplicative,3.01,42.67412484731466
590,0.0101,9.01,multiplicative,0.01,42.687862160305855
438,0.0101,1.01,multiplicative,8.01,42.698394399067205
513,0.0101,5.01,multiplicative,3.01,42.70666405241017
517,0.0101,5.01,multiplicative,7.01,42.72207634231945
431,0.0101,1.01,multiplicative,1.01,42.72641481923789
598,0.0101,9.01,multiplicative,8.01,42.73307666994296
477,0.0101,3.01,multiplicative,7.01,42.73804430595652
433,0.0101,1.01,multiplicative,3.01,42.75561422772939
511,0.0101,5.01,multiplicative,1.01,42.75726088595399
495,0.0101,4.01,multiplicative,5.01,42.76146784339728
497,0.0101,4.01,multiplicative,7.01,42.76514903280027
574,0.0101,8.01,multiplicative,4.01,42.77603384259887
458,0.0101,2.01,multiplicative,8.01,42.78253900197784
452,0.0101,2.01,multiplicative,2.01,42.79502244820101
591,0.0101,9.01,multiplicative,1.01,42.795710030670485
496,0.0101,4.01,multiplicative,6.01,42.80447976511467
492,0.0101,4.01,multiplicative,2.01,42.80793129852457
572,0.0101,8.01,multiplicative,2.01,42.80866600990184
557,0.0101,7.01,multiplicative,7.01,42.82805105483778
577,0.0101,8.01,multiplicative,7.01,42.834824425831016
536,0.0101,6.01,multiplicative,6.01,42.835808217975455
575,0.0101,8.01,multiplicative,5.01,42.84067458729883
532,0.0101,6.01,multiplicative,2.01,42.842178307421705
538,0.0101,6.01,multiplicative,8.01,42.8537754875069
476,0.0101,3.01,multiplicative,6.01,42.864596188889855
473,0.0101,3.01,multiplicative,3.01,42.86539952540224
510,0.0101,5.01,multiplicative,0.01,42.86928242276171
472,0.0101,3.01,multiplicative,2.01,42.88852065233823
537,0.0101,6.01,multiplicative,7.01,42.892373609862325
555,0.0101,7.01,multiplicative,5.01,42.89508930906289
579,0.0101,8.01,multiplicative,9.01,42.89563604227719
553,0.0101,7.01,multiplicative,3.01,42.8976051006391
518,0.0101,5.01,multiplicative,8.01,42.906087051676046
558,0.0101,7.01,multiplicative,8.01,42.909233735236896
535,0.0101,6.01,multiplicative,5.01,42.910318134295764
571,0.0101,8.01,multiplicative,1.01,42.911050940130096
533,0.0101,6.01,multiplicative,3.01,42.913074124913464
554,0.0101,7.01,multiplicative,4.01,42.91471429264604
596,0.0101,9.01,multiplicative,6.01,42.93146310744116
530,0.0101,6.01,multiplicative,0.01,42.93361477766239
595,0.0101,9.01,multiplicative,5.01,42.93843415039429
471,0.0101,3.01,multiplicative,1.01,42.941385215361585
570,0.0101,8.01,multiplicative,0.01,42.94591160086437
437,0.0101,1.01,multiplicative,7.01,42.95522648673195
457,0.0101,2.01,multiplicative,7.01,42.9552823512928
539,0.0101,6.01,multiplicative,9.01,42.95833954989546
498,0.0101,4.01,multiplicative,8.01,42.97480885873352
494,0.0101,4.01,multiplicative,4.01,42.9761032981195
439,0.0101,1.01,multiplicative,9.01,42.9860367559073
534,0.0101,6.01,multiplicative,4.01,42.989043444516895
576,0.0101,8.01,multiplicative,6.01,42.99661536347628
490,0.0101,4.01,multiplicative,0.01,43.008289465799194
454,0.0101,2.01,multiplicative,4.01,43.0343028508877
493,0.0101,4.01,multiplicative,3.01,43.04730066648837
514,0.0101,5.01,multiplicative,4.01,43.05828132093102
578,0.0101,8.01,multiplicative,8.01,43.073652218232006
531,0.0101,6.01,multiplicative,1.01,43.08264140867906
512,0.0101,5.01,multiplicative,2.01,43.10992216745956
597,0.0101,9.01,multiplicative,7.01,43.11732538320647
453,0.0101,2.01,multiplicative,3.01,43.128868588835566
451,0.0101,2.01,multiplicative,1.01,43.1369489010737
550,0.0101,7.01,multiplicative,0.01,43.15390386499677
519,0.0101,5.01,multiplicative,9.01,43.15977366724827
430,0.0101,1.01,multiplicative,0.01,43.181377437111685
599,0.0101,9.01,multiplicative,9.01,43.25045465375832
459,0.0101,2.01,multiplicative,9.01,43.328621855734305
456,0.0101,2.01,multiplicative,6.01,43.369422770003446
436,0.0101,1.01,multiplicative,6.01,43.392409701362
450,0.0101,2.01,multiplicative,0.01,43.43435360690523
479,0.0101,3.01,multiplicative,9.01,43.43649890411863
515,0.0101,5.01,multiplicative,5.01,43.54415378026091
478,0.0101,3.01,multiplicative,8.01,43.5848170403169
499,0.0101,4.01,multiplicative,9.01,43.69585189623417
474,0.0101,3.01,multiplicative,4.01,43.70530022993829
516,0.0101,5.01,multiplicative,6.01,43.71778035697778
475,0.0101,3.01,multiplicative,5.01,43.798327593656005
408,0.0101,0.01,additive,8.01,50.31599002626954
