,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
416,0.0101,0.01,multiplicative,6.01,24.150261472418716
411,0.0101,0.01,multiplicative,1.01,24.55493666544841
418,0.0101,0.01,multiplicative,8.01,24.55569757466529
413,0.0101,0.01,multiplicative,3.01,24.568047847068428
414,0.0101,0.01,multiplicative,4.01,24.576802014019915
410,0.0101,0.01,multiplicative,0.01,24.57728213406066
412,0.0101,0.01,multiplicative,2.01,24.5896783781306
419,0.0101,0.01,multiplicative,9.01,24.61898400914636
415,0.0101,0.01,multiplicative,5.01,24.629673097495367
417,0.0101,0.01,multiplicative,7.01,24.65224585089624
435,0.0101,1.01,multiplicative,5.01,25.138288124718574
437,0.0101,1.01,multiplicative,7.01,25.170432008984037
552,0.0101,7.01,multiplicative,2.01,25.17744935410042
432,0.0101,1.01,multiplicative,2.01,25.18787969527109
471,0.0101,3.01,multiplicative,1.01,25.19280170045151
536,0.0101,6.01,multiplicative,6.01,25.19399246416262
491,0.0101,4.01,multiplicative,1.01,25.194374514350024
513,0.0101,5.01,multiplicative,3.01,25.196256557795216
516,0.0101,5.01,multiplicative,6.01,25.197584442570957
511,0.0101,5.01,multiplicative,1.01,25.199723955688498
559,0.0101,7.01,multiplicative,9.01,25.213848452504717
436,0.0101,1.01,multiplicative,6.01,25.21977464453672
518,0.0101,5.01,multiplicative,8.01,25.2220419268186
570,0.0101,8.01,multiplicative,0.01,25.22590938360437
551,0.0101,7.01,multiplicative,1.01,25.231447862269373
512,0.0101,5.01,multiplicative,2.01,25.234217556373284
430,0.0101,1.01,multiplicative,0.01,25.23431844207346
475,0.0101,3.01,multiplicative,5.01,25.23964539824491
577,0.0101,8.01,multiplicative,7.01,25.244694564896825
532,0.0101,6.01,multiplicative,2.01,25.246528587248317
592,0.0101,9.01,multiplicative,2.01,25.248363668560714
497,0.0101,4.01,multiplicative,7.01,25.251345183266178
534,0.0101,6.01,multiplicative,4.01,25.251583787854106
554,0.0101,7.01,multiplicative,4.01,25.251661808951948
433,0.0101,1.01,multiplicative,3.01,25.2564726597161
477,0.0101,3.01,multiplicative,7.01,25.25833061801402
495,0.0101,4.01,multiplicative,5.01,25.258730148017744
470,0.0101,3.01,multiplicative,0.01,25.272077963657626
472,0.0101,3.01,multiplicative,2.01,25.273956801093775
537,0.0101,6.01,multiplicative,7.01,25.27672136909638
493,0.0101,4.01,multiplicative,3.01,25.27701271655914
557,0.0101,7.01,multiplicative,7.01,25.277580260288314
434,0.0101,1.01,multiplicative,4.01,25.27844354240008
450,0.0101,2.01,multiplicative,0.01,25.278862533033656
579,0.0101,8.01,multiplicative,9.01,25.28314438893516
439,0.0101,1.01,multiplicative,9.01,25.28447023301228
456,0.0101,2.01,multiplicative,6.01,25.292368736260574
553,0.0101,7.01,multiplicative,3.01,25.29279572861141
490,0.0101,4.01,multiplicative,0.01,25.295427344887234
431,0.0101,1.01,multiplicative,1.01,25.306754028777224
594,0.0101,9.01,multiplicative,4.01,25.31054807083678
530,0.0101,6.01,multiplicative,0.01,25.310571530501132
515,0.0101,5.01,multiplicative,5.01,25.310985593746874
438,0.0101,1.01,multiplicative,8.01,25.31846429762535
454,0.0101,2.01,multiplicative,4.01,25.322080083222573
533,0.0101,6.01,multiplicative,3.01,25.32268431200581
538,0.0101,6.01,multiplicative,8.01,25.32273090883243
556,0.0101,7.01,multiplicative,6.01,25.322760160342675
574,0.0101,8.01,multiplicative,4.01,25.325585929961008
573,0.0101,8.01,multiplicative,3.01,25.330886450672256
496,0.0101,4.01,multiplicative,6.01,25.335039707876238
455,0.0101,2.01,multiplicative,5.01,25.342151252352185
