,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
457,0.0101,2.01,multiplicative,7.01,51.35941669565186
531,0.0101,6.01,multiplicative,1.01,52.6110409947436
598,0.0101,9.01,multiplicative,8.01,53.07216346966085
534,0.0101,6.01,multiplicative,4.01,53.62403849412104
539,0.0101,6.01,multiplicative,9.01,55.02456042964484
573,0.0101,8.01,multiplicative,3.01,56.16124546071338
477,0.0101,3.01,multiplicative,7.01,57.04591356316667
595,0.0101,9.01,multiplicative,5.01,57.89090703983112
577,0.0101,8.01,multiplicative,7.01,58.09295632899909
433,0.0101,1.01,multiplicative,3.01,58.1508292798839
517,0.0101,5.01,multiplicative,7.01,58.60321227367035
594,0.0101,9.01,multiplicative,4.01,58.70009491973718
455,0.0101,2.01,multiplicative,5.01,59.011372949452124
535,0.0101,6.01,multiplicative,5.01,59.55865030935908
559,0.0101,7.01,multiplicative,9.01,60.15141837609747
474,0.0101,3.01,multiplicative,4.01,60.2211575161434
515,0.0101,5.01,multiplicative,5.01,60.30873497039575
491,0.0101,4.01,multiplicative,1.01,60.729435961961805
471,0.0101,3.01,multiplicative,1.01,61.97464001245628
532,0.0101,6.01,multiplicative,2.01,62.65156957713363
575,0.0101,8.01,multiplicative,5.01,63.057048201422695
437,0.0101,1.01,multiplicative,7.01,63.39601166969313
513,0.0101,5.01,multiplicative,3.01,64.26011351943751
478,0.0101,3.01,multiplicative,8.01,64.6516949655635
452,0.0101,2.01,multiplicative,2.01,65.4577442569698
512,0.0101,5.01,multiplicative,2.01,65.60067278231936
454,0.0101,2.01,multiplicative,4.01,66.11986477622794
475,0.0101,3.01,multiplicative,5.01,66.4894024385626
592,0.0101,9.01,multiplicative,2.01,66.98073442419286
551,0.0101,7.01,multiplicative,1.01,67.35993782701752
431,0.0101,1.01,multiplicative,1.01,67.49668178302805
538,0.0101,6.01,multiplicative,8.01,68.33311583055523
599,0.0101,9.01,multiplicative,9.01,68.37414718925538
557,0.0101,7.01,multiplicative,7.01,69.00272049543176
576,0.0101,8.01,multiplicative,6.01,70.71518399214517
578,0.0101,8.01,multiplicative,8.01,71.1439743931376
597,0.0101,9.01,multiplicative,7.01,72.64886668459248
493,0.0101,4.01,multiplicative,3.01,72.91419228481172
521,0.0101,6.01,additive,1.01,83.86013164781204
547,0.0101,7.01,additive,7.01,85.26562606039144
427,0.0101,1.01,additive,7.01,85.75649670098238
428,0.0101,1.01,additive,8.01,87.31449745800155
583,0.0101,9.01,additive,3.01,87.66974583789114
506,0.0101,5.01,additive,6.01,87.82338543514267
422,0.0101,1.01,additive,2.01,88.00347021692319
425,0.0101,1.01,additive,5.01,88.1400896733041
543,0.0101,7.01,additive,3.01,88.14201946756188
589,0.0101,9.01,additive,9.01,88.20124802046656
545,0.0101,7.01,additive,5.01,88.22062956141764
446,0.0101,2.01,additive,6.01,88.67972553949748
565,0.0101,8.01,additive,5.01,88.76753087767237
527,0.0101,6.01,additive,7.01,88.77659837418183
443,0.0101,2.01,additive,3.01,89.2733218732571
463,0.0101,3.01,additive,3.01,89.45854151851866
447,0.0101,2.01,additive,7.01,89.50677326099074
482,0.0101,4.01,additive,2.01,89.62727315295075
406,0.0101,0.01,additive,6.01,89.72516891860332
585,0.0101,9.01,additive,5.01,89.83654010231534
441,0.0101,2.01,additive,1.01,89.84991105722861
402,0.0101,0.01,additive,2.01,90.33336460553363
407,0.0101,0.01,additive,7.01,90.3407652773352
546,0.0101,7.01,additive,6.01,90.49724010089184
501,0.0101,5.01,additive,1.01,90.56052534746118
507,0.0101,5.01,additive,7.01,90.65705584559474
442,0.0101,2.01,additive,2.01,90.74553435061596
421,0.0101,1.01,additive,1.01,90.78930152430014
528,0.0101,6.01,additive,8.01,90.79335593936057
564,0.0101,8.01,additive,4.01,90.80915929363927
586,0.0101,9.01,additive,6.01,91.0536017911969
469,0.0101,3.01,additive,9.01,91.08003976979565
584,0.0101,9.01,additive,4.01,91.14087781507688
444,0.0101,2.01,additive,4.01,91.14283292185654
487,0.0101,4.01,additive,7.01,91.15306167526944
529,0.0101,6.01,additive,9.01,91.25393880258513
549,0.0101,7.01,additive,9.01,91.45721016991985
467,0.0101,3.01,additive,7.01,91.47198004648328
483,0.0101,4.01,additive,3.01,91.56345302759024
504,0.0101,5.01,additive,4.01,91.70917107376646
461,0.0101,3.01,additive,1.01,91.75904354664243
523,0.0101,6.01,additive,3.01,91.88355238368722
508,0.0101,5.01,additive,8.01,91.94823671803869
426,0.0101,1.01,additive,6.01,92.00777689757894
449,0.0101,2.01,additive,9.01,92.04596064229828
505,0.0101,5.01,additive,5.01,92.14532158261865
502,0.0101,5.01,additive,2.01,92.35826788594164
448,0.0101,2.01,additive,8.01,92.43447437503775
485,0.0101,4.01,additive,5.01,92.45577929471699
548,0.0101,7.01,additive,8.01,92.46926519884204
526,0.0101,6.01,additive,6.01,92.63920046325667
405,0.0101,0.01,additive,5.01,92.70411140519109
403,0.0101,0.01,additive,3.01,92.73714187887498
566,0.0101,8.01,additive,6.01,92.84423088056224
567,0.0101,8.01,additive,7.01,92.93773132911564
524,0.0101,6.01,additive,4.01,93.25113747907683
401,0.0101,0.01,additive,1.01,93.57029957311052
525,0.0101,6.01,additive,5.01,93.58081435809302
542,0.0101,7.01,additive,2.01,93.82700646534636
466,0.0101,3.01,additive,6.01,93.89482440614846
445,0.0101,2.01,additive,5.01,94.16794509847546
569,0.0101,8.01,additive,9.01,94.2135563851616
568,0.0101,8.01,additive,8.01,94.3413220246789
541,0.0101,7.01,additive,1.01,94.42218958535953
563,0.0101,8.01,additive,3.01,94.64913899251904
509,0.0101,5.01,additive,9.01,94.68338849385636
429,0.0101,1.01,additive,9.01,94.7661033375139
423,0.0101,1.01,additive,3.01,94.79971851379683
588,0.0101,9.01,additive,8.01,94.80605987639717
468,0.0101,3.01,additive,8.01,94.97539498045586
587,0.0101,9.01,additive,7.01,95.08518301411695
488,0.0101,4.01,additive,8.01,95.22162177539224
484,0.0101,4.01,additive,4.01,95.27022848516157
464,0.0101,3.01,additive,4.01,95.30701138138296
503,0.0101,5.01,additive,3.01,95.32843496245036
544,0.0101,7.01,additive,4.01,95.41675572666381
486,0.0101,4.01,additive,6.01,95.86316403911275
582,0.0101,9.01,additive,2.01,96.45509275059801
561,0.0101,8.01,additive,1.01,96.69361323877479
408,0.0101,0.01,additive,8.01,96.96942693014657
