,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
437,0.0101,1.01,multiplicative,7.01,28.414810559564877
558,0.0101,7.01,multiplicative,8.01,28.726890832257702
511,0.0101,5.01,multiplicative,1.01,28.739850450022733
538,0.0101,6.01,multiplicative,8.01,28.811656452175885
534,0.0101,6.01,multiplicative,4.01,28.833002200948968
550,0.0101,7.01,multiplicative,0.01,28.863723363244052
455,0.0101,2.01,multiplicative,5.01,28.896133874212396
536,0.0101,6.01,multiplicative,6.01,28.897999745268958
595,0.0101,9.01,multiplicative,5.01,28.920471260733922
539,0.0101,6.01,multiplicative,9.01,28.943492278626838
496,0.0101,4.01,multiplicative,6.01,28.95251427952171
577,0.0101,8.01,multiplicative,7.01,28.959346220165063
454,0.0101,2.01,multiplicative,4.01,28.965439827256695
433,0.0101,1.01,multiplicative,3.01,29.020625650353235
515,0.0101,5.01,multiplicative,5.01,29.022118708652208
459,0.0101,2.01,multiplicative,9.01,29.03104080095949
436,0.0101,1.01,multiplicative,6.01,29.03547845904892
456,0.0101,2.01,multiplicative,6.01,29.06026030789607
512,0.0101,5.01,multiplicative,2.01,29.07514559011751
439,0.0101,1.01,multiplicative,9.01,29.086940636899428
570,0.0101,8.01,multiplicative,0.01,29.092385698548544
475,0.0101,3.01,multiplicative,5.01,29.094743599122175
557,0.0101,7.01,multiplicative,7.01,29.095565338411646
494,0.0101,4.01,multiplicative,4.01,29.104427830806102
457,0.0101,2.01,multiplicative,7.01,29.10617217244454
513,0.0101,5.01,multiplicative,3.01,29.116264562496667
438,0.0101,1.01,multiplicative,8.01,29.120498953418863
535,0.0101,6.01,multiplicative,5.01,29.1348604699281
431,0.0101,1.01,multiplicative,1.01,29.16258516996042
450,0.0101,2.01,multiplicative,0.01,29.169770685309594
516,0.0101,5.01,multiplicative,6.01,29.170925266417555
571,0.0101,8.01,multiplicative,1.01,29.17225019582496
556,0.0101,7.01,multiplicative,6.01,29.189577039963396
510,0.0101,5.01,multiplicative,0.01,29.189803486554734
555,0.0101,7.01,multiplicative,5.01,29.223524585007922
430,0.0101,1.01,multiplicative,0.01,29.22830493653663
471,0.0101,3.01,multiplicative,1.01,29.24050776875778
