,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
596,0.0101,9.01,multiplicative,6.01,38.71404024873955
455,0.0101,2.01,multiplicative,5.01,38.7669486274967
438,0.0101,1.01,multiplicative,8.01,39.455673112273935
494,0.0101,4.01,multiplicative,4.01,39.49460393272869
435,0.0101,1.01,multiplicative,5.01,39.49802972260528
476,0.0101,3.01,multiplicative,6.01,39.50495113421194
579,0.0101,8.01,multiplicative,9.01,39.738269180674706
452,0.0101,2.01,multiplicative,2.01,39.837717226955036
513,0.0101,5.01,multiplicative,3.01,39.92771386050581
498,0.0101,4.01,multiplicative,8.01,39.98568337595539
473,0.0101,3.01,multiplicative,3.01,40.005788461379026
537,0.0101,6.01,multiplicative,7.01,40.190403297670805
511,0.0101,5.01,multiplicative,1.01,40.205630191899274
459,0.0101,2.01,multiplicative,9.01,40.307117159290534
497,0.0101,4.01,multiplicative,7.01,40.31923232087625
434,0.0101,1.01,multiplicative,4.01,40.3233632053959
539,0.0101,6.01,multiplicative,9.01,40.362356411476064
572,0.0101,8.01,multiplicative,2.01,40.37597467900455
575,0.0101,8.01,multiplicative,5.01,40.408950320203076
495,0.0101,4.01,multiplicative,5.01,40.432253613098354
514,0.0101,5.01,multiplicative,4.01,40.5508334004721
471,0.0101,3.01,multiplicative,1.01,40.7836215866564
456,0.0101,2.01,multiplicative,6.01,40.8255715831084
595,0.0101,9.01,multiplicative,5.01,40.87782530235771
577,0.0101,8.01,multiplicative,7.01,40.90586199825458
477,0.0101,3.01,multiplicative,7.01,40.91915135458557
553,0.0101,7.01,multiplicative,3.01,40.948236930202526
597,0.0101,9.01,multiplicative,7.01,40.95948899079586
532,0.0101,6.01,multiplicative,2.01,40.968793640489054
431,0.0101,1.01,multiplicative,1.01,40.97747071469875
559,0.0101,7.01,multiplicative,9.01,40.990680582207716
499,0.0101,4.01,multiplicative,9.01,40.99183841979713
493,0.0101,4.01,multiplicative,3.01,41.05524093107147
550,0.0101,7.01,multiplicative,0.01,41.09683500968305
451,0.0101,2.01,multiplicative,1.01,41.10135912826579
436,0.0101,1.01,multiplicative,6.01,41.138531250145206
556,0.0101,7.01,multiplicative,6.01,41.175930845085816
512,0.0101,5.01,multiplicative,2.01,41.193823322426795
535,0.0101,6.01,multiplicative,5.01,41.20271758128054
439,0.0101,1.01,multiplicative,9.01,41.22366833687039
478,0.0101,3.01,multiplicative,8.01,41.230021678255305
598,0.0101,9.01,multiplicative,8.01,41.26135788199745
591,0.0101,9.01,multiplicative,1.01,41.36157763733298
491,0.0101,4.01,multiplicative,1.01,41.403001495439376
557,0.0101,7.01,multiplicative,7.01,41.45946772473352
433,0.0101,1.01,multiplicative,3.01,41.50707024698448
531,0.0101,6.01,multiplicative,1.01,41.61481490586793
555,0.0101,7.01,multiplicative,5.01,41.626355929153924
571,0.0101,8.01,multiplicative,1.01,41.67181883528299
475,0.0101,3.01,multiplicative,5.01,41.694701913649546
474,0.0101,3.01,multiplicative,4.01,41.747464698815335
458,0.0101,2.01,multiplicative,8.01,41.771755237322594
518,0.0101,5.01,multiplicative,8.01,41.79971629175692
573,0.0101,8.01,multiplicative,3.01,41.802136185554225
490,0.0101,4.01,multiplicative,0.01,41.83401062752769
453,0.0101,2.01,multiplicative,3.01,41.86259720501445
554,0.0101,7.01,multiplicative,4.01,41.87260530770531
519,0.0101,5.01,multiplicative,9.01,41.90437694757217
510,0.0101,5.01,multiplicative,0.01,41.932120279059255
558,0.0101,7.01,multiplicative,8.01,41.97404852819465
590,0.0101,9.01,multiplicative,0.01,41.999376168601394
496,0.0101,4.01,multiplicative,6.01,42.00798774287926
432,0.0101,1.01,multiplicative,2.01,42.11403451011357
578,0.0101,8.01,multiplicative,8.01,42.14281766850051
450,0.0101,2.01,multiplicative,0.01,42.1859902091825
594,0.0101,9.01,multiplicative,4.01,42.3160712552535
536,0.0101,6.01,multiplicative,6.01,42.363649461327206
470,0.0101,3.01,multiplicative,0.01,42.47075747177953
551,0.0101,7.01,multiplicative,1.01,42.47142307144483
570,0.0101,8.01,multiplicative,0.01,42.487206070324085
437,0.0101,1.01,multiplicative,7.01,42.502248515694745
534,0.0101,6.01,multiplicative,4.01,42.515934816691704
516,0.0101,5.01,multiplicative,6.01,42.521902959461215
454,0.0101,2.01,multiplicative,4.01,42.63775584432517
515,0.0101,5.01,multiplicative,5.01,42.65006197521312
517,0.0101,5.01,multiplicative,7.01,42.82741437094544
576,0.0101,8.01,multiplicative,6.01,42.87580050574115
