,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
405,0.0101,0.01,additive,5.01,45.62157563630433
408,0.0101,0.01,additive,8.01,45.637389947832794
403,0.0101,0.01,additive,3.01,46.76496391368141
406,0.0101,0.01,additive,6.01,47.403299054072235
400,0.0101,0.01,additive,0.01,47.68379589142208
407,0.0101,0.01,additive,7.01,48.49068874884369
409,0.0101,0.01,additive,9.01,48.82446968216691
404,0.0101,0.01,additive,4.01,49.26912952841823
402,0.0101,0.01,additive,2.01,49.582215341373015
401,0.0101,0.01,additive,1.01,55.071333475772335
410,0.0101,0.01,multiplicative,0.01,71.93898283276387
270,0.0051,3.01,multiplicative,0.01,75.71375451441243
412,0.0101,0.01,multiplicative,2.01,75.93113731455266
416,0.0101,0.01,multiplicative,6.01,76.05642068303466
419,0.0101,0.01,multiplicative,9.01,76.34417354855741
413,0.0101,0.01,multiplicative,3.01,76.5736939444961
417,0.0101,0.01,multiplicative,7.01,77.13416337520177
356,0.0051,7.01,multiplicative,6.01,77.19510994394038
334,0.0051,6.01,multiplicative,4.01,77.22644991759317
357,0.0051,7.01,multiplicative,7.01,77.37482126251135
374,0.0051,8.01,multiplicative,4.01,77.75848756289189
415,0.0101,0.01,multiplicative,5.01,77.96853321793785
564,0.0101,8.01,additive,4.01,78.05522194405499
336,0.0051,6.01,multiplicative,6.01,78.72757426359563
355,0.0051,7.01,multiplicative,5.01,78.86131716961302
296,0.0051,4.01,multiplicative,6.01,78.87613934000697
391,0.0051,9.01,multiplicative,1.01,79.12825019690376
330,0.0051,6.01,multiplicative,0.01,79.56250344536683
317,0.0051,5.01,multiplicative,7.01,79.8024496331734
370,0.0051,8.01,multiplicative,0.01,79.96742657445404
258,0.0051,2.01,multiplicative,8.01,80.21209707118935
421,0.0101,1.01,additive,1.01,80.32359709772925
375,0.0051,8.01,multiplicative,5.01,80.37977405475604
418,0.0101,0.01,multiplicative,8.01,80.61162655433017
299,0.0051,4.01,multiplicative,9.01,80.8100761371736
411,0.0101,0.01,multiplicative,1.01,81.26448746633955
311,0.0051,5.01,multiplicative,1.01,81.39946990012339
272,0.0051,3.01,multiplicative,2.01,81.47356514852795
251,0.0051,2.01,multiplicative,1.01,81.52878760288239
231,0.0051,1.01,multiplicative,1.01,81.59334935586907
462,0.0101,3.01,additive,2.01,81.66633028811884
230,0.0051,1.01,multiplicative,0.01,81.76031973856372
295,0.0051,4.01,multiplicative,5.01,81.87331368838478
293,0.0051,4.01,multiplicative,3.01,81.97866476049525
506,0.0101,5.01,additive,6.01,82.10595923993102
233,0.0051,1.01,multiplicative,3.01,82.46629579234502
469,0.0101,3.01,additive,9.01,82.5555392786803
333,0.0051,6.01,multiplicative,3.01,82.74436403627624
507,0.0101,5.01,additive,7.01,83.0066697871486
414,0.0101,0.01,multiplicative,4.01,83.06047228876864
377,0.0051,8.01,multiplicative,7.01,83.06388982601817
291,0.0051,4.01,multiplicative,1.01,83.40259688115012
354,0.0051,7.01,multiplicative,4.01,83.57240287152685
314,0.0051,5.01,multiplicative,4.01,83.61742528083425
313,0.0051,5.01,multiplicative,3.01,83.68757009269865
298,0.0051,4.01,multiplicative,8.01,83.74358247857042
254,0.0051,2.01,multiplicative,4.01,84.28649690493069
397,0.0051,9.01,multiplicative,7.01,84.35387555839033
463,0.0101,3.01,additive,3.01,84.51242766285708
372,0.0051,8.01,multiplicative,2.01,84.55461813019589
234,0.0051,1.01,multiplicative,4.01,84.68587754438713
277,0.0051,3.01,multiplicative,7.01,84.74610458757307
339,0.0051,6.01,multiplicative,9.01,84.77038017316734
253,0.0051,2.01,multiplicative,3.01,85.40387895239475
350,0.0051,7.01,multiplicative,0.01,85.44128463169908
524,0.0101,6.01,additive,4.01,85.52762388400431
332,0.0051,6.01,multiplicative,2.01,85.54065815933599
353,0.0051,7.01,multiplicative,3.01,85.58642404690441
425,0.0101,1.01,additive,5.01,85.79379713594915
236,0.0051,1.01,multiplicative,6.01,85.93709475773163
278,0.0051,3.01,multiplicative,8.01,86.21203326595398
