,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
400,0.0101,0.01,additive,0.01,49.55532580522171
405,0.0101,0.01,additive,5.01,49.676000876989036
409,0.0101,0.01,additive,9.01,49.94577551895584
407,0.0101,0.01,additive,7.01,50.03866634884292
408,0.0101,0.01,additive,8.01,50.10593897699401
457,0.0101,2.01,multiplicative,7.01,50.12767957886212
515,0.0101,5.01,multiplicative,5.01,50.12916612894304
403,0.0101,0.01,additive,3.01,50.1496423748645
406,0.0101,0.01,additive,6.01,50.17750348239296
452,0.0101,2.01,multiplicative,2.01,50.22083043538402
454,0.0101,2.01,multiplicative,4.01,50.22185055721826
473,0.0101,3.01,multiplicative,3.01,50.25265952907674
477,0.0101,3.01,multiplicative,7.01,50.25431079440817
496,0.0101,4.01,multiplicative,6.01,50.261088964147774
453,0.0101,2.01,multiplicative,3.01,50.274866958069325
455,0.0101,2.01,multiplicative,5.01,50.27765300348693
538,0.0101,6.01,multiplicative,8.01,50.30884833791096
401,0.0101,0.01,additive,1.01,50.31490311130112
436,0.0101,1.01,multiplicative,6.01,50.32432423463057
402,0.0101,0.01,additive,2.01,50.324672884774216
493,0.0101,4.01,multiplicative,3.01,50.3351366184512
471,0.0101,3.01,multiplicative,1.01,50.345839734877
499,0.0101,4.01,multiplicative,9.01,50.34929177125334
478,0.0101,3.01,multiplicative,8.01,50.351773381871205
535,0.0101,6.01,multiplicative,5.01,50.35344190011559
570,0.0101,8.01,multiplicative,0.01,50.35524283707304
594,0.0101,9.01,multiplicative,4.01,50.36540164279285
479,0.0101,3.01,multiplicative,9.01,50.36934410963231
404,0.0101,0.01,additive,4.01,50.378592485850724
498,0.0101,4.01,multiplicative,8.01,50.380649257405146
474,0.0101,3.01,multiplicative,4.01,50.38297492762559
516,0.0101,5.01,multiplicative,6.01,50.392669722133974
472,0.0101,3.01,multiplicative,2.01,50.39922566317697
593,0.0101,9.01,multiplicative,3.01,50.402538223292446
534,0.0101,6.01,multiplicative,4.01,50.40354418665577
558,0.0101,7.01,multiplicative,8.01,50.41051309737365
495,0.0101,4.01,multiplicative,5.01,50.41159674702125
497,0.0101,4.01,multiplicative,7.01,50.416652257235384
451,0.0101,2.01,multiplicative,1.01,50.422824515670285
492,0.0101,4.01,multiplicative,2.01,50.42415158321233
554,0.0101,7.01,multiplicative,4.01,50.426232645613645
597,0.0101,9.01,multiplicative,7.01,50.42909481267193
517,0.0101,5.01,multiplicative,7.01,50.431078980907984
518,0.0101,5.01,multiplicative,8.01,50.43810933126099
531,0.0101,6.01,multiplicative,1.01,50.43852161987697
456,0.0101,2.01,multiplicative,6.01,50.4410788346031
578,0.0101,8.01,multiplicative,8.01,50.44209968052364
458,0.0101,2.01,multiplicative,8.01,50.445841627620254
571,0.0101,8.01,multiplicative,1.01,50.45459516153434
536,0.0101,6.01,multiplicative,6.01,50.454910116819114
572,0.0101,8.01,multiplicative,2.01,50.45611866584888
596,0.0101,9.01,multiplicative,6.01,50.459612016663364
579,0.0101,8.01,multiplicative,9.01,50.462978683756056
537,0.0101,6.01,multiplicative,7.01,50.46299453319151
599,0.0101,9.01,multiplicative,9.01,50.472145899636644
430,0.0101,1.01,multiplicative,0.01,50.47989267201496
551,0.0101,7.01,multiplicative,1.01,50.48293224235619
530,0.0101,6.01,multiplicative,0.01,50.485323216513024
470,0.0101,3.01,multiplicative,0.01,50.488316014939535
431,0.0101,1.01,multiplicative,1.01,50.4937724408431
476,0.0101,3.01,multiplicative,6.01,50.51730608942994
598,0.0101,9.01,multiplicative,8.01,50.51872323738374
559,0.0101,7.01,multiplicative,9.01,50.523657652232465
539,0.0101,6.01,multiplicative,9.01,50.52486301640239
576,0.0101,8.01,multiplicative,6.01,50.53208818493819
553,0.0101,7.01,multiplicative,3.01,50.53233529818542
574,0.0101,8.01,multiplicative,4.01,50.537487413646865
555,0.0101,7.01,multiplicative,5.01,50.53885753129931
532,0.0101,6.01,multiplicative,2.01,50.53987681590702
519,0.0101,5.01,multiplicative,9.01,50.54142191159983
439,0.0101,1.01,multiplicative,9.01,50.54356236445464
475,0.0101,3.01,multiplicative,5.01,50.54645003853635
575,0.0101,8.01,multiplicative,5.01,50.55106927739727
592,0.0101,9.01,multiplicative,2.01,50.55668455903433
491,0.0101,4.01,multiplicative,1.01,50.55669875293477
