,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
439,0.0101,1.01,multiplicative,9.01,41.065567465245124
494,0.0101,4.01,multiplicative,4.01,41.193401570245996
513,0.0101,5.01,multiplicative,3.01,41.206540962241064
551,0.0101,7.01,multiplicative,1.01,41.23147956244228
556,0.0101,7.01,multiplicative,6.01,41.258812027624714
538,0.0101,6.01,multiplicative,8.01,41.28588204419602
593,0.0101,9.01,multiplicative,3.01,41.32614515443508
518,0.0101,5.01,multiplicative,8.01,41.33678150478107
451,0.0101,2.01,multiplicative,1.01,41.34134302590565
532,0.0101,6.01,multiplicative,2.01,41.356831193683526
459,0.0101,2.01,multiplicative,9.01,41.385713421356954
534,0.0101,6.01,multiplicative,4.01,41.4004907512722
497,0.0101,4.01,multiplicative,7.01,41.42839411135816
499,0.0101,4.01,multiplicative,9.01,41.453139828209046
558,0.0101,7.01,multiplicative,8.01,41.509411544347216
473,0.0101,3.01,multiplicative,3.01,41.51785723346421
597,0.0101,9.01,multiplicative,7.01,41.53076770177967
519,0.0101,5.01,multiplicative,9.01,41.543581721844774
478,0.0101,3.01,multiplicative,8.01,41.57931000291417
498,0.0101,4.01,multiplicative,8.01,41.58353108016137
599,0.0101,9.01,multiplicative,9.01,41.593083871719585
531,0.0101,6.01,multiplicative,1.01,41.59748522148461
475,0.0101,3.01,multiplicative,5.01,41.621471463886394
596,0.0101,9.01,multiplicative,6.01,41.64261627696062
552,0.0101,7.01,multiplicative,2.01,41.72781945682448
574,0.0101,8.01,multiplicative,4.01,41.7536192021785
575,0.0101,8.01,multiplicative,5.01,41.804713007248246
515,0.0101,5.01,multiplicative,5.01,41.82703856557439
539,0.0101,6.01,multiplicative,9.01,41.997866576189345
453,0.0101,2.01,multiplicative,3.01,42.002775089231555
512,0.0101,5.01,multiplicative,2.01,42.06998665190941
490,0.0101,4.01,multiplicative,0.01,42.12328894237969
455,0.0101,2.01,multiplicative,5.01,42.13584931284556
516,0.0101,5.01,multiplicative,6.01,42.1561921242552
472,0.0101,3.01,multiplicative,2.01,42.19933274251852
471,0.0101,3.01,multiplicative,1.01,42.20403103256804
474,0.0101,3.01,multiplicative,4.01,42.244634537691894
438,0.0101,1.01,multiplicative,8.01,42.270975714629714
553,0.0101,7.01,multiplicative,3.01,42.277149472061275
456,0.0101,2.01,multiplicative,6.01,42.313500621930075
535,0.0101,6.01,multiplicative,5.01,42.34757299565436
436,0.0101,1.01,multiplicative,6.01,42.44933300320931
450,0.0101,2.01,multiplicative,0.01,42.46073918921489
495,0.0101,4.01,multiplicative,5.01,42.506124163485204
437,0.0101,1.01,multiplicative,7.01,42.50935994417012
579,0.0101,8.01,multiplicative,9.01,42.54421175166616
594,0.0101,9.01,multiplicative,4.01,42.551683774888104
592,0.0101,9.01,multiplicative,2.01,42.57454368407025
578,0.0101,8.01,multiplicative,8.01,42.578705651366676
598,0.0101,9.01,multiplicative,8.01,42.60087079589284
590,0.0101,9.01,multiplicative,0.01,42.63409309981684
435,0.0101,1.01,multiplicative,5.01,42.67349810456934
433,0.0101,1.01,multiplicative,3.01,42.72820266832519
572,0.0101,8.01,multiplicative,2.01,42.75669436238051
457,0.0101,2.01,multiplicative,7.01,42.777168535401884
430,0.0101,1.01,multiplicative,0.01,42.816318803008656
434,0.0101,1.01,multiplicative,4.01,42.82084187949079
511,0.0101,5.01,multiplicative,1.01,42.82381144665819
576,0.0101,8.01,multiplicative,6.01,42.834990724256954
577,0.0101,8.01,multiplicative,7.01,42.84315699279909
479,0.0101,3.01,multiplicative,9.01,42.87214068978091
452,0.0101,2.01,multiplicative,2.01,42.87215503292005
493,0.0101,4.01,multiplicative,3.01,42.87877032521168
533,0.0101,6.01,multiplicative,3.01,42.888870212642914
557,0.0101,7.01,multiplicative,7.01,42.89275783669898
559,0.0101,7.01,multiplicative,9.01,42.9383254141701
550,0.0101,7.01,multiplicative,0.01,42.96101168844017
458,0.0101,2.01,multiplicative,8.01,42.96146840174583
477,0.0101,3.01,multiplicative,7.01,42.9709212743309
454,0.0101,2.01,multiplicative,4.01,42.9769734570963
514,0.0101,5.01,multiplicative,4.01,42.9860156319261
571,0.0101,8.01,multiplicative,1.01,42.98983600139717
491,0.0101,4.01,multiplicative,1.01,43.04543629053512
573,0.0101,8.01,multiplicative,3.01,43.05343361999487
517,0.0101,5.01,multiplicative,7.01,43.08587869407371
595,0.0101,9.01,multiplicative,5.01,43.131368434027586
476,0.0101,3.01,multiplicative,6.01,43.136529194767725
570,0.0101,8.01,multiplicative,0.01,43.14819019759868
492,0.0101,4.01,multiplicative,2.01,43.17231165393781
591,0.0101,9.01,multiplicative,1.01,43.19257774639414
431,0.0101,1.01,multiplicative,1.01,43.319153182261104
555,0.0101,7.01,multiplicative,5.01,43.32988540073933
432,0.0101,1.01,multiplicative,2.01,43.36228750921704
554,0.0101,7.01,multiplicative,4.01,43.49374561554494
537,0.0101,6.01,multiplicative,7.01,43.52100217378369
470,0.0101,3.01,multiplicative,0.01,43.61605287817662
510,0.0101,5.01,multiplicative,0.01,43.623099648974005
496,0.0101,4.01,multiplicative,6.01,43.669139840893756
536,0.0101,6.01,multiplicative,6.01,43.680414294310715
530,0.0101,6.01,multiplicative,0.01,43.89082945438185
258,0.0051,2.01,multiplicative,8.01,44.99702818107189
236,0.0051,1.01,multiplicative,6.01,45.141288086868116
259,0.0051,2.01,multiplicative,9.01,45.16758043807543
370,0.0051,8.01,multiplicative,0.01,45.19892144070016
333,0.0051,6.01,multiplicative,3.01,45.24642726328836
238,0.0051,1.01,multiplicative,8.01,45.26814170348769
335,0.0051,6.01,multiplicative,5.01,45.30400732670535
256,0.0051,2.01,multiplicative,6.01,45.353124581998124
237,0.0051,1.01,multiplicative,7.01,45.359291091730604
233,0.0051,1.01,multiplicative,3.01,45.484368997631485
331,0.0051,6.01,multiplicative,1.01,45.50463666892041
390,0.0051,9.01,multiplicative,0.01,45.521855778758294
351,0.0051,7.01,multiplicative,1.01,45.54401376878206
352,0.0051,7.01,multiplicative,2.01,45.61029964025632
376,0.0051,8.01,multiplicative,6.01,45.67075781411217
319,0.0051,5.01,multiplicative,9.01,45.67366601384767
250,0.0051,2.01,multiplicative,0.01,45.677330072699974
337,0.0051,6.01,multiplicative,7.01,45.69697867066376
235,0.0051,1.01,multiplicative,5.01,45.70209185058279
251,0.0051,2.01,multiplicative,1.01,45.71369413612148
359,0.0051,7.01,multiplicative,9.01,45.71430868180992
314,0.0051,5.01,multiplicative,4.01,45.72179322117433
254,0.0051,2.01,multiplicative,4.01,45.76769527053953
255,0.0051,2.01,multiplicative,5.01,45.77598857192251
334,0.0051,6.01,multiplicative,4.01,45.801317428242164
315,0.0051,5.01,multiplicative,5.01,45.81579534637216
252,0.0051,2.01,multiplicative,2.01,45.81704992015888
372,0.0051,8.01,multiplicative,2.01,45.82299277163017
354,0.0051,7.01,multiplicative,4.01,45.8334367763509
350,0.0051,7.01,multiplicative,0.01,45.846538094865245
358,0.0051,7.01,multiplicative,8.01,45.877638423359826
234,0.0051,1.01,multiplicative,4.01,45.88449221227249
371,0.0051,8.01,multiplicative,1.01,45.88741743996006
395,0.0051,9.01,multiplicative,5.01,45.91334074061404
336,0.0051,6.01,multiplicative,6.01,45.91559922048848
332,0.0051,6.01,multiplicative,2.01,45.91603588395546
230,0.0051,1.01,multiplicative,0.01,45.919554252123
253,0.0051,2.01,multiplicative,3.01,45.92330822975258
339,0.0051,6.01,multiplicative,9.01,45.93398285405471
355,0.0051,7.01,multiplicative,5.01,45.961232899272396
317,0.0051,5.01,multiplicative,7.01,45.968456762042116
318,0.0051,5.01,multiplicative,8.01,45.969605196638845
398,0.0051,9.01,multiplicative,8.01,46.03670548989089
312,0.0051,5.01,multiplicative,2.01,46.04474962526727
356,0.0051,7.01,multiplicative,6.01,46.0464226650971
357,0.0051,7.01,multiplicative,7.01,46.05232697524453
290,0.0051,4.01,multiplicative,0.01,46.076315924198084
311,0.0051,5.01,multiplicative,1.01,46.08769050106167
399,0.0051,9.01,multiplicative,9.01,46.09188780113209
378,0.0051,8.01,multiplicative,8.01,46.09204544337859
375,0.0051,8.01,multiplicative,5.01,46.11429581060836
239,0.0051,1.01,multiplicative,9.01,46.14230484225429
391,0.0051,9.01,multiplicative,1.01,46.146868786827525
338,0.0051,6.01,multiplicative,8.01,46.15622972691067
316,0.0051,5.01,multiplicative,6.01,46.16360265746906
291,0.0051,4.01,multiplicative,1.01,46.17216568578829
379,0.0051,8.01,multiplicative,9.01,46.17558227957586
353,0.0051,7.01,multiplicative,3.01,46.20196375729378
296,0.0051,4.01,multiplicative,6.01,46.231332897485366
278,0.0051,3.01,multiplicative,8.01,46.25730072206802
330,0.0051,6.01,multiplicative,0.01,46.25903732826927
297,0.0051,4.01,multiplicative,7.01,46.261130297754605
397,0.0051,9.01,multiplicative,7.01,46.32041841293779
270,0.0051,3.01,multiplicative,0.01,46.344419057871974
232,0.0051,1.01,multiplicative,2.01,46.39362061354094
373,0.0051,8.01,multiplicative,3.01,46.39619581353829
377,0.0051,8.01,multiplicative,7.01,46.40287463331072
374,0.0051,8.01,multiplicative,4.01,46.40745128238578
393,0.0051,9.01,multiplicative,3.01,46.410197510155015
396,0.0051,9.01,multiplicative,6.01,46.4489809253083
274,0.0051,3.01,multiplicative,4.01,46.45378294171074
292,0.0051,4.01,multiplicative,2.01,46.49706040495991
272,0.0051,3.01,multiplicative,2.01,46.49897980710098
257,0.0051,2.01,multiplicative,7.01,46.499352882158334
392,0.0051,9.01,multiplicative,2.01,46.54773361505753
299,0.0051,4.01,multiplicative,9.01,46.55685191914516
295,0.0051,4.01,multiplicative,5.01,46.56847449368543
271,0.0051,3.01,multiplicative,1.01,46.59658599229242
394,0.0051,9.01,multiplicative,4.01,46.61788799339585
279,0.0051,3.01,multiplicative,9.01,46.62169300913061
293,0.0051,4.01,multiplicative,3.01,46.66747295114968
273,0.0051,3.01,multiplicative,3.01,46.78161472347123
275,0.0051,3.01,multiplicative,5.01,46.80346466442905
277,0.0051,3.01,multiplicative,7.01,46.87736247393419
276,0.0051,3.01,multiplicative,6.01,46.91298704201915
313,0.0051,5.01,multiplicative,3.01,47.023823782323596
294,0.0051,4.01,multiplicative,4.01,47.08559879349392
310,0.0051,5.01,multiplicative,0.01,47.157129820627155
231,0.0051,1.01,multiplicative,1.01,47.165839022353204
298,0.0051,4.01,multiplicative,8.01,47.4383111601155
410,0.0101,0.01,multiplicative,0.01,50.511072431818306
411,0.0101,0.01,multiplicative,1.01,51.14904471284817
414,0.0101,0.01,multiplicative,4.01,51.229376774615915
415,0.0101,0.01,multiplicative,5.01,51.25702898523182
419,0.0101,0.01,multiplicative,9.01,51.38011719576419
417,0.0101,0.01,multiplicative,7.01,51.66812935802476
416,0.0101,0.01,multiplicative,6.01,51.76723411631712
413,0.0101,0.01,multiplicative,3.01,51.80076848120202
412,0.0101,0.01,multiplicative,2.01,51.8809384211119
418,0.0101,0.01,multiplicative,8.01,52.17195486280358
216,0.0051,0.01,multiplicative,6.01,58.09138918175585
212,0.0051,0.01,multiplicative,2.01,58.09159705280387
213,0.0051,0.01,multiplicative,3.01,58.14395015641423
217,0.0051,0.01,multiplicative,7.01,58.34775540008505
218,0.0051,0.01,multiplicative,8.01,58.36934910846837
215,0.0051,0.01,multiplicative,5.01,59.863431387472765
219,0.0051,0.01,multiplicative,9.01,59.98966145831041
211,0.0051,0.01,multiplicative,1.01,60.15336708945191
214,0.0051,0.01,multiplicative,4.01,60.96596796772731
210,0.0051,0.01,multiplicative,0.01,60.972191455913155
403,0.0101,0.01,additive,3.01,132.87504885189563
504,0.0101,5.01,additive,4.01,133.42955162017262
428,0.0101,1.01,additive,8.01,134.856327066094
563,0.0101,8.01,additive,3.01,135.9787184791379
402,0.0101,0.01,additive,2.01,136.5672066218267
484,0.0101,4.01,additive,4.01,136.72255361110112
400,0.0101,0.01,additive,0.01,137.08765723893748
529,0.0101,6.01,additive,9.01,137.42441013858542
407,0.0101,0.01,additive,7.01,137.46204070049933
405,0.0101,0.01,additive,5.01,137.7418934077558
401,0.0101,0.01,additive,1.01,137.81278942349476
408,0.0101,0.01,additive,8.01,138.05005539862373
564,0.0101,8.01,additive,4.01,138.08745731637987
544,0.0101,7.01,additive,4.01,138.4501404235183
569,0.0101,8.01,additive,9.01,139.63627166358435
441,0.0101,2.01,additive,1.01,139.93416834385113
466,0.0101,3.01,additive,6.01,140.06256470040188
468,0.0101,3.01,additive,8.01,140.08088005327244
427,0.0101,1.01,additive,7.01,140.16603408050358
523,0.0101,6.01,additive,3.01,140.41646324875185
542,0.0101,7.01,additive,2.01,140.92409204149607
480,0.0101,4.01,additive,0.01,140.94322461812746
421,0.0101,1.01,additive,1.01,141.04694238557693
448,0.0101,2.01,additive,8.01,141.12048345065932
589,0.0101,9.01,additive,9.01,141.17319492853085
444,0.0101,2.01,additive,4.01,141.24033775668104
467,0.0101,3.01,additive,7.01,141.28608760937206
547,0.0101,7.01,additive,7.01,141.31272404205126
482,0.0101,4.01,additive,2.01,141.33040709119734
464,0.0101,3.01,additive,4.01,141.42417496458916
424,0.0101,1.01,additive,4.01,141.47090850749197
525,0.0101,6.01,additive,5.01,141.49705246117009
521,0.0101,6.01,additive,1.01,141.502652864355
422,0.0101,1.01,additive,2.01,141.67881582012438
449,0.0101,2.01,additive,9.01,141.70640629054785
446,0.0101,2.01,additive,6.01,141.75777076693973
524,0.0101,6.01,additive,4.01,141.78933140463317
502,0.0101,5.01,additive,2.01,141.80415370110288
585,0.0101,9.01,additive,5.01,141.84506062870864
566,0.0101,8.01,additive,6.01,141.90390605777426
485,0.0101,4.01,additive,5.01,141.97368217032806
507,0.0101,5.01,additive,7.01,141.9872673426258
546,0.0101,7.01,additive,6.01,141.99586595925425
460,0.0101,3.01,additive,0.01,142.0459460255296
527,0.0101,6.01,additive,7.01,142.0662754491759
469,0.0101,3.01,additive,9.01,142.06724746953574
508,0.0101,5.01,additive,8.01,142.34200271296407
429,0.0101,1.01,additive,9.01,142.34510707228586
463,0.0101,3.01,additive,3.01,142.38720227526954
543,0.0101,7.01,additive,3.01,142.41465982570858
442,0.0101,2.01,additive,2.01,142.45034762606548
489,0.0101,4.01,additive,9.01,142.495280139354
580,0.0101,9.01,additive,0.01,142.53050573066022
420,0.0101,1.01,additive,0.01,142.56892719761694
528,0.0101,6.01,additive,8.01,142.59412878086232
483,0.0101,4.01,additive,3.01,142.59553141821257
565,0.0101,8.01,additive,5.01,142.68982565561643
509,0.0101,5.01,additive,9.01,142.8570790868849
561,0.0101,8.01,additive,1.01,142.86372534077395
567,0.0101,8.01,additive,7.01,142.99896702155584
461,0.0101,3.01,additive,1.01,143.02267306401373
