,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
360,0.0051,8.01,additive,0.01,271.63050857416584
410,0.0101,0.01,multiplicative,0.01,272.72666797985346
340,0.0051,7.01,additive,0.01,273.6486672191366
320,0.0051,6.01,additive,0.01,273.8356511335808
260,0.0051,3.01,additive,0.01,279.51154485309485
220,0.0051,1.01,additive,0.01,279.78161171150145
300,0.0051,5.01,additive,0.01,280.0851519319509
407,0.0101,0.01,additive,7.01,280.4632487933878
240,0.0051,2.01,additive,0.01,280.80254803655714
405,0.0101,0.01,additive,5.01,281.6046942302804
406,0.0101,0.01,additive,6.01,281.9844779528433
402,0.0101,0.01,additive,2.01,282.0138666387589
380,0.0051,9.01,additive,0.01,282.11671417076656
404,0.0101,0.01,additive,4.01,282.44602837584665
403,0.0101,0.01,additive,3.01,282.45651170186727
280,0.0051,4.01,additive,0.01,283.0235498544405
212,0.0051,0.01,multiplicative,2.01,283.7339293704367
409,0.0101,0.01,additive,9.01,284.3600672849908
408,0.0101,0.01,additive,8.01,285.1168714169684
290,0.0051,4.01,multiplicative,0.01,285.2799166659996
424,0.0101,1.01,additive,4.01,285.61393318510187
563,0.0101,8.01,additive,3.01,286.4546686487456
464,0.0101,3.01,additive,4.01,287.0856517613127
211,0.0051,0.01,multiplicative,1.01,287.73857771979874
463,0.0101,3.01,additive,3.01,287.8040837129942
370,0.0051,8.01,multiplicative,0.01,288.3908525352171
221,0.0051,1.01,additive,1.01,288.6664135073892
465,0.0101,3.01,additive,5.01,288.87932363407054
484,0.0101,4.01,additive,4.01,288.91139470748345
543,0.0101,7.01,additive,3.01,289.04141646211735
330,0.0051,6.01,multiplicative,0.01,289.1011259880638
381,0.0051,9.01,additive,1.01,289.15888957052664
361,0.0051,8.01,additive,1.01,289.19339334608435
310,0.0051,5.01,multiplicative,0.01,289.2449360247097
321,0.0051,6.01,additive,1.01,289.3653354877307
341,0.0051,7.01,additive,1.01,289.40881735990644
584,0.0101,9.01,additive,4.01,289.47498229624534
545,0.0101,7.01,additive,5.01,289.53986798604245
583,0.0101,9.01,additive,3.01,289.8622500745351
241,0.0051,2.01,additive,1.01,289.88351471561714
523,0.0101,6.01,additive,3.01,289.97346614761
350,0.0051,7.01,multiplicative,0.01,290.1158007001726
301,0.0051,5.01,additive,1.01,290.25659074815127
250,0.0051,2.01,multiplicative,0.01,290.30271170243236
230,0.0051,1.01,multiplicative,0.01,290.58880325969926
565,0.0101,8.01,additive,5.01,290.74384139481333
586,0.0101,9.01,additive,6.01,290.8247952409559
