,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
402,0.0101,0.01,additive,2.01,55.76805800161126
403,0.0101,0.01,additive,3.01,56.01545463169255
405,0.0101,0.01,additive,5.01,56.24291976675828
406,0.0101,0.01,additive,6.01,56.43352303498111
407,0.0101,0.01,additive,7.01,56.44917445149347
408,0.0101,0.01,additive,8.01,56.47671155373944
409,0.0101,0.01,additive,9.01,56.55364692360799
550,0.0101,7.01,multiplicative,0.01,56.80382583454375
401,0.0101,0.01,additive,1.01,57.06280412570216
470,0.0101,3.01,multiplicative,0.01,57.370583321398996
404,0.0101,0.01,additive,4.01,57.6891282916816
444,0.0101,2.01,additive,4.01,57.99792047564594
544,0.0101,7.01,additive,4.01,58.01147947218942
491,0.0101,4.01,multiplicative,1.01,58.07877780324934
590,0.0101,9.01,multiplicative,0.01,58.08765401557719
504,0.0101,5.01,additive,4.01,58.0972016298143
584,0.0101,9.01,additive,4.01,58.224118933975504
564,0.0101,8.01,additive,4.01,58.28695925537783
524,0.0101,6.01,additive,4.01,58.2967507423568
423,0.0101,1.01,additive,3.01,58.34983093601841
453,0.0101,2.01,multiplicative,3.01,58.397902094106655
570,0.0101,8.01,multiplicative,0.01,58.46228173605657
539,0.0101,6.01,multiplicative,9.01,58.66424013935984
464,0.0101,3.01,additive,4.01,58.68377958620319
551,0.0101,7.01,multiplicative,1.01,58.701701628023315
511,0.0101,5.01,multiplicative,1.01,58.71528002354039
571,0.0101,8.01,multiplicative,1.01,58.777642264885294
484,0.0101,4.01,additive,4.01,58.84478886048501
572,0.0101,8.01,multiplicative,2.01,58.940303784432544
514,0.0101,5.01,multiplicative,4.01,58.96298555862046
557,0.0101,7.01,multiplicative,7.01,58.99719910969567
512,0.0101,5.01,multiplicative,2.01,59.02622939849205
471,0.0101,3.01,multiplicative,1.01,59.03427583692725
417,0.0101,0.01,multiplicative,7.01,59.03445764738401
483,0.0101,4.01,additive,3.01,59.03967636127235
450,0.0101,2.01,multiplicative,0.01,59.05378658859737
493,0.0101,4.01,multiplicative,3.01,59.09499010310504
503,0.0101,5.01,additive,3.01,59.107898940376
591,0.0101,9.01,multiplicative,1.01,59.13967836807775
439,0.0101,1.01,multiplicative,9.01,59.18715976672265
578,0.0101,8.01,multiplicative,8.01,59.200553664132755
488,0.0101,4.01,additive,8.01,59.21453043201461
556,0.0101,7.01,multiplicative,6.01,59.216672811017524
472,0.0101,3.01,multiplicative,2.01,59.21910278345285
508,0.0101,5.01,additive,8.01,59.23214652421806
528,0.0101,6.01,additive,8.01,59.26863078453655
477,0.0101,3.01,multiplicative,7.01,59.27200902335513
588,0.0101,9.01,additive,8.01,59.27890975693903
432,0.0101,1.01,multiplicative,2.01,59.28065137531767
574,0.0101,8.01,multiplicative,4.01,59.30847747810139
534,0.0101,6.01,multiplicative,4.01,59.31056269128819
479,0.0101,3.01,multiplicative,9.01,59.34558710361822
468,0.0101,3.01,additive,8.01,59.34582513859198
536,0.0101,6.01,multiplicative,6.01,59.3544461862908
438,0.0101,1.01,multiplicative,8.01,59.37550043831826
443,0.0101,2.01,additive,3.01,59.38524784258107
429,0.0101,1.01,additive,9.01,59.49556065306303
451,0.0101,2.01,multiplicative,1.01,59.50573937385724
427,0.0101,1.01,additive,7.01,59.50786276883595
558,0.0101,7.01,multiplicative,8.01,59.52090562222448
433,0.0101,1.01,multiplicative,3.01,59.56078360865838
502,0.0101,5.01,additive,2.01,59.56664700698265
436,0.0101,1.01,multiplicative,6.01,59.582794999051934
448,0.0101,2.01,additive,8.01,59.59523692269274
542,0.0101,7.01,additive,2.01,59.596609340363344
577,0.0101,8.01,multiplicative,7.01,59.59708120764199
522,0.0101,6.01,additive,2.01,59.5980485936239
560,0.0101,8.01,additive,0.01,59.5995091557725
455,0.0101,2.01,multiplicative,5.01,59.6044945608491
582,0.0101,9.01,additive,2.01,59.607594143174516
562,0.0101,8.01,additive,2.01,59.60938667777451
573,0.0101,8.01,multiplicative,3.01,59.61124130303488
482,0.0101,4.01,additive,2.01,59.62060017392882
413,0.0101,0.01,multiplicative,3.01,59.62882081806925
422,0.0101,1.01,additive,2.01,59.63053865770881
554,0.0101,7.01,multiplicative,4.01,59.635827541546035
568,0.0101,8.01,additive,8.01,59.64959874757272
434,0.0101,1.01,multiplicative,4.01,59.650672982418826
463,0.0101,3.01,additive,3.01,59.661487734453246
548,0.0101,7.01,additive,8.01,59.6633218196211
519,0.0101,5.01,multiplicative,9.01,59.66429396787086
459,0.0101,2.01,multiplicative,9.01,59.681900515049
520,0.0101,6.01,additive,0.01,59.690224207200856
599,0.0101,9.01,multiplicative,9.01,59.72637174769467
460,0.0101,3.01,additive,0.01,59.73879870975546
495,0.0101,4.01,multiplicative,5.01,59.74362906309038
497,0.0101,4.01,multiplicative,7.01,59.75728340759708
442,0.0101,2.01,additive,2.01,59.75881057821246
486,0.0101,4.01,additive,6.01,59.77139343218314
466,0.0101,3.01,additive,6.01,59.78062563203364
462,0.0101,3.01,additive,2.01,59.783586959943875
532,0.0101,6.01,multiplicative,2.01,59.787979099667375
424,0.0101,1.01,additive,4.01,59.79738628346095
537,0.0101,6.01,multiplicative,7.01,59.801571360870305
437,0.0101,1.01,multiplicative,7.01,59.80409394346488
533,0.0101,6.01,multiplicative,3.01,59.81480202790589
416,0.0101,0.01,multiplicative,6.01,59.81540735413368
414,0.0101,0.01,multiplicative,4.01,59.84889279008829
546,0.0101,7.01,additive,6.01,59.84935817328319
506,0.0101,5.01,additive,6.01,59.853497303997514
586,0.0101,9.01,additive,6.01,59.8567455434313
526,0.0101,6.01,additive,6.01,59.90334098973252
415,0.0101,0.01,multiplicative,5.01,59.90910787028628
567,0.0101,8.01,additive,7.01,59.923574391872954
487,0.0101,4.01,additive,7.01,59.92857689701007
428,0.0101,1.01,additive,8.01,59.93078264804728
535,0.0101,6.01,multiplicative,5.01,59.95212935887105
594,0.0101,9.01,multiplicative,4.01,59.96273716689975
576,0.0101,8.01,multiplicative,6.01,59.969034775906316
412,0.0101,0.01,multiplicative,2.01,59.97024051299309
593,0.0101,9.01,multiplicative,3.01,59.986256101844994
447,0.0101,2.01,additive,7.01,59.99209447684635
566,0.0101,8.01,additive,6.01,59.99229433478989
454,0.0101,2.01,multiplicative,4.01,60.00487137597307
467,0.0101,3.01,additive,7.01,60.02410200281907
500,0.0101,5.01,additive,0.01,60.063367363097235
540,0.0101,7.01,additive,0.01,60.06831007880925
547,0.0101,7.01,additive,7.01,60.07517391743469
527,0.0101,6.01,additive,7.01,60.078073946097795
446,0.0101,2.01,additive,6.01,60.084170606368964
517,0.0101,5.01,multiplicative,7.01,60.0973202655313
507,0.0101,5.01,additive,7.01,60.09951823441144
518,0.0101,5.01,multiplicative,8.01,60.145936338049225
410,0.0101,0.01,multiplicative,0.01,60.155794022699276
440,0.0101,2.01,additive,0.01,60.159381611933874
589,0.0101,9.01,additive,9.01,60.162650591600055
587,0.0101,9.01,additive,7.01,60.194885291221155
553,0.0101,7.01,multiplicative,3.01,60.23703541527124
480,0.0101,4.01,additive,0.01,60.26461306582196
523,0.0101,6.01,additive,3.01,60.293712653370136
583,0.0101,9.01,additive,3.01,60.355021531795074
476,0.0101,3.01,multiplicative,6.01,60.3627335395408
580,0.0101,9.01,additive,0.01,60.36294489798689
494,0.0101,4.01,multiplicative,4.01,60.392381144747645
452,0.0101,2.01,multiplicative,2.01,60.47316768528383
418,0.0101,0.01,multiplicative,8.01,60.60202999589167
419,0.0101,0.01,multiplicative,9.01,60.63636132028701
541,0.0101,7.01,additive,1.01,60.66655985286917
521,0.0101,6.01,additive,1.01,60.68175674401494
481,0.0101,4.01,additive,1.01,60.691414978302895
501,0.0101,5.01,additive,1.01,60.69382602621202
561,0.0101,8.01,additive,1.01,60.711746767463005
581,0.0101,9.01,additive,1.01,60.71666990892635
421,0.0101,1.01,additive,1.01,60.73108624785987
563,0.0101,8.01,additive,3.01,60.7374470958348
420,0.0101,1.01,additive,0.01,60.7441347359259
431,0.0101,1.01,multiplicative,1.01,60.77800998486576
538,0.0101,6.01,multiplicative,8.01,60.784859012383635
559,0.0101,7.01,multiplicative,9.01,60.82820803553513
441,0.0101,2.01,additive,1.01,60.838368942563264
579,0.0101,8.01,multiplicative,9.01,60.89642590986877
565,0.0101,8.01,additive,5.01,60.9506003495772
461,0.0101,3.01,additive,1.01,60.95828810760671
545,0.0101,7.01,additive,5.01,60.97442339053136
525,0.0101,6.01,additive,5.01,60.980068721969836
585,0.0101,9.01,additive,5.01,60.98115351836722
411,0.0101,0.01,multiplicative,1.01,61.00764630073417
597,0.0101,9.01,multiplicative,7.01,61.070223353299845
