,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
57,0.0001,2.01,multiplicative,7.01,129.76939672477445
115,0.0001,5.01,multiplicative,5.01,133.74457355167635
33,0.0001,1.01,multiplicative,3.01,136.44064581136874
34,0.0001,1.01,multiplicative,4.01,140.33391902549863
110,0.0001,5.01,multiplicative,0.01,141.0501107506786
36,0.0001,1.01,multiplicative,6.01,141.1968213041937
53,0.0001,2.01,multiplicative,3.01,141.44297310948633
56,0.0001,2.01,multiplicative,6.01,142.0301159652019
79,0.0001,3.01,multiplicative,9.01,142.44925403488202
74,0.0001,3.01,multiplicative,4.01,142.87175730907578
15,0.0001,0.01,multiplicative,5.01,143.9318226530327
90,0.0001,4.01,multiplicative,0.01,144.06901060962088
78,0.0001,3.01,multiplicative,8.01,144.87255582955157
10,0.0001,0.01,multiplicative,0.01,145.35546067188844
99,0.0001,4.01,multiplicative,9.01,146.51148301139702
72,0.0001,3.01,multiplicative,2.01,146.86055041285917
55,0.0001,2.01,multiplicative,5.01,146.9724116173068
52,0.0001,2.01,multiplicative,2.01,147.06164905412547
77,0.0001,3.01,multiplicative,7.01,147.3526151860305
58,0.0001,2.01,multiplicative,8.01,148.04958293566662
119,0.0001,5.01,multiplicative,9.01,148.0846901705271
98,0.0001,4.01,multiplicative,8.01,148.21645499853915
130,0.0001,6.01,multiplicative,0.01,148.7004465493969
139,0.0001,6.01,multiplicative,9.01,148.84252272251948
159,0.0001,7.01,multiplicative,9.01,149.26731952882275
37,0.0001,1.01,multiplicative,7.01,149.29044079879415
118,0.0001,5.01,multiplicative,8.01,149.46590069268765
179,0.0001,8.01,multiplicative,9.01,149.5304213300908
17,0.0001,0.01,multiplicative,7.01,149.5987963051575
199,0.0001,9.01,multiplicative,9.01,149.70478036024278
76,0.0001,3.01,multiplicative,6.01,149.79109940477292
97,0.0001,4.01,multiplicative,7.01,149.90161256071323
138,0.0001,6.01,multiplicative,8.01,150.06771648035095
194,0.0001,9.01,multiplicative,4.01,150.20239020908457
174,0.0001,8.01,multiplicative,4.01,150.21215704588056
154,0.0001,7.01,multiplicative,4.01,150.23452818571843
134,0.0001,6.01,multiplicative,4.01,150.2896277618639
16,0.0001,0.01,multiplicative,6.01,150.37462339349963
158,0.0001,7.01,multiplicative,8.01,150.39628002952514
114,0.0001,5.01,multiplicative,4.01,150.5146489512942
178,0.0001,8.01,multiplicative,8.01,150.59378603815574
198,0.0001,9.01,multiplicative,8.01,150.73527196646054
193,0.0001,9.01,multiplicative,3.01,150.78752307332417
173,0.0001,8.01,multiplicative,3.01,150.80525795437578
117,0.0001,5.01,multiplicative,7.01,150.80774058775253
73,0.0001,3.01,multiplicative,3.01,150.82035041448188
153,0.0001,7.01,multiplicative,3.01,150.82671402227604
133,0.0001,6.01,multiplicative,3.01,150.85062021203754
93,0.0001,4.01,multiplicative,3.01,150.86646212489683
551,0.0101,7.01,multiplicative,1.01,150.86693474710475
113,0.0001,5.01,multiplicative,3.01,150.87077302247016
18,0.0001,0.01,multiplicative,8.01,151.11501425198537
5,0.0001,0.01,additive,5.01,151.12327716135158
6,0.0001,0.01,additive,6.01,151.1509879825841
137,0.0001,6.01,multiplicative,7.01,151.24681553236147
4,0.0001,0.01,additive,4.01,151.28110358536054
192,0.0001,9.01,multiplicative,2.01,151.29568621198717
7,0.0001,0.01,additive,7.01,151.3238789963518
94,0.0001,4.01,multiplicative,4.01,151.3513094346596
172,0.0001,8.01,multiplicative,2.01,151.3646502817024
54,0.0001,2.01,multiplicative,4.01,151.3691904808538
30,0.0001,1.01,multiplicative,0.01,151.439041747241
96,0.0001,4.01,multiplicative,6.01,151.46023700338984
152,0.0001,7.01,multiplicative,2.01,151.46163184827097
157,0.0001,7.01,multiplicative,7.01,151.48557037960072
182,0.0001,9.01,additive,2.01,151.48972644733675
