,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
502,0.0101,5.01,additive,2.01,307.0149312746421
489,0.0101,4.01,additive,9.01,315.59275355665017
548,0.0101,7.01,additive,8.01,323.8443064280826
550,0.0101,7.01,multiplicative,0.01,323.9186637547853
484,0.0101,4.01,additive,4.01,325.54861021008116
521,0.0101,6.01,additive,1.01,327.3089985875873
549,0.0101,7.01,additive,9.01,327.38913889858554
587,0.0101,9.01,additive,7.01,327.7290092347564
529,0.0101,6.01,additive,9.01,328.09084095489885
480,0.0101,4.01,additive,0.01,329.73516213325496
524,0.0101,6.01,additive,4.01,330.51773571923934
585,0.0101,9.01,additive,5.01,333.3017383800664
577,0.0101,8.01,multiplicative,7.01,334.48968665936314
469,0.0101,3.01,additive,9.01,334.5145429134049
528,0.0101,6.01,additive,8.01,334.845405613687
525,0.0101,6.01,additive,5.01,334.9453559774022
465,0.0101,3.01,additive,5.01,335.213178184481
564,0.0101,8.01,additive,4.01,335.5637488488999
576,0.0101,8.01,multiplicative,6.01,336.331048803408
467,0.0101,3.01,additive,7.01,337.4532211952652
462,0.0101,3.01,additive,2.01,338.3026045256981
527,0.0101,6.01,additive,7.01,338.37959072705326
506,0.0101,5.01,additive,6.01,338.7029553914476
487,0.0101,4.01,additive,7.01,338.72807079700897
485,0.0101,4.01,additive,5.01,339.0325140182023
503,0.0101,5.01,additive,3.01,340.1640263567768
460,0.0101,3.01,additive,0.01,341.7136594072702
446,0.0101,2.01,additive,6.01,342.2940787682935
483,0.0101,4.01,additive,3.01,342.3299109568079
561,0.0101,8.01,additive,1.01,343.1945271584748
567,0.0101,8.01,additive,7.01,343.5877494921232
501,0.0101,5.01,additive,1.01,344.08951902425497
563,0.0101,8.01,additive,3.01,344.16362221139406
508,0.0101,5.01,additive,8.01,344.52453992021185
447,0.0101,2.01,additive,7.01,344.54903650827526
574,0.0101,8.01,multiplicative,4.01,344.77865677282574
504,0.0101,5.01,additive,4.01,345.3539438712811
568,0.0101,8.01,additive,8.01,345.6464992227892
584,0.0101,9.01,additive,4.01,346.0697971819595
543,0.0101,7.01,additive,3.01,346.43646556935636
488,0.0101,4.01,additive,8.01,346.61058600304636
461,0.0101,3.01,additive,1.01,346.79785705358137
589,0.0101,9.01,additive,9.01,346.90065619185947
582,0.0101,9.01,additive,2.01,346.9178053561448
426,0.0101,1.01,additive,6.01,348.27454139749796
423,0.0101,1.01,additive,3.01,348.86972062865516
581,0.0101,9.01,additive,1.01,349.44945146576373
419,0.0101,0.01,multiplicative,9.01,349.53307946816744
590,0.0101,9.01,multiplicative,0.01,350.1280902790058
566,0.0101,8.01,additive,6.01,350.1715181537841
565,0.0101,8.01,additive,5.01,350.58256173283223
560,0.0101,8.01,additive,0.01,351.1209813416917
496,0.0101,4.01,multiplicative,6.01,353.8415105681406
420,0.0101,1.01,additive,0.01,354.16972760139157
562,0.0101,8.01,additive,2.01,354.2263240203642
486,0.0101,4.01,additive,6.01,355.47689386431756
556,0.0101,7.01,multiplicative,6.01,356.91609541095426
427,0.0101,1.01,additive,7.01,358.2984885046194
466,0.0101,3.01,additive,6.01,358.31832724284305
442,0.0101,2.01,additive,2.01,358.70389276570523
540,0.0101,7.01,additive,0.01,360.5831685428156
440,0.0101,2.01,additive,0.01,364.4096991088286
545,0.0101,7.01,additive,5.01,364.6342258940305
520,0.0101,6.01,additive,0.01,365.5791434657823
500,0.0101,5.01,additive,0.01,365.79987083252996
575,0.0101,8.01,multiplicative,5.01,366.2021224888471
599,0.0101,9.01,multiplicative,9.01,366.4286037332459
522,0.0101,6.01,additive,2.01,366.6095114762041
499,0.0101,4.01,multiplicative,9.01,367.7231890793024
512,0.0101,5.01,multiplicative,2.01,368.2770000510739
449,0.0101,2.01,additive,9.01,370.2180271824317
542,0.0101,7.01,additive,2.01,371.7420185115247
597,0.0101,9.01,multiplicative,7.01,374.12044445761086
429,0.0101,1.01,additive,9.01,375.2467452557013
424,0.0101,1.01,additive,4.01,375.83621985406984
555,0.0101,7.01,multiplicative,5.01,378.34630701559337
422,0.0101,1.01,additive,2.01,378.9756938777011
425,0.0101,1.01,additive,5.01,379.65256781156035
573,0.0101,8.01,multiplicative,3.01,379.65559232203236
482,0.0101,4.01,additive,2.01,381.1185021373741
407,0.0101,0.01,additive,7.01,382.0982328195854
443,0.0101,2.01,additive,3.01,382.1503118999788
481,0.0101,4.01,additive,1.01,383.329684741782
505,0.0101,5.01,additive,5.01,383.6181874917932
580,0.0101,9.01,additive,0.01,383.93735270473655
463,0.0101,3.01,additive,3.01,384.6139819999191
472,0.0101,3.01,multiplicative,2.01,384.701049969517
416,0.0101,0.01,multiplicative,6.01,385.50298462420693
588,0.0101,9.01,additive,8.01,386.01561537677435
