,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,error
518,0.0101,5.01,multiplicative,8.01,33.81635932598096
557,0.0101,7.01,multiplicative,7.01,33.835154832816556
474,0.0101,3.01,multiplicative,4.01,33.88987327817462
430,0.0101,1.01,multiplicative,0.01,33.9766938434997
496,0.0101,4.01,multiplicative,6.01,34.0154339089215
497,0.0101,4.01,multiplicative,7.01,34.02357908345265
499,0.0101,4.01,multiplicative,9.01,34.04507940769004
452,0.0101,2.01,multiplicative,2.01,34.06926752989362
451,0.0101,2.01,multiplicative,1.01,34.09895912865148
593,0.0101,9.01,multiplicative,3.01,34.12512197242402
494,0.0101,4.01,multiplicative,4.01,34.176699955501014
498,0.0101,4.01,multiplicative,8.01,34.17703111147741
472,0.0101,3.01,multiplicative,2.01,34.18635125734905
492,0.0101,4.01,multiplicative,2.01,34.19058094190984
458,0.0101,2.01,multiplicative,8.01,34.22885242275553
553,0.0101,7.01,multiplicative,3.01,34.23275932146346
459,0.0101,2.01,multiplicative,9.01,34.23718894102232
455,0.0101,2.01,multiplicative,5.01,34.24529758624789
513,0.0101,5.01,multiplicative,3.01,34.247097064268395
439,0.0101,1.01,multiplicative,9.01,34.25494378815212
575,0.0101,8.01,multiplicative,5.01,34.256059561938464
592,0.0101,9.01,multiplicative,2.01,34.258781272767436
558,0.0101,7.01,multiplicative,8.01,34.268360944470984
531,0.0101,6.01,multiplicative,1.01,34.28080180828511
437,0.0101,1.01,multiplicative,7.01,34.282219200373106
456,0.0101,2.01,multiplicative,6.01,34.28767974884277
454,0.0101,2.01,multiplicative,4.01,34.290522013151104
590,0.0101,9.01,multiplicative,0.01,34.293276929231325
493,0.0101,4.01,multiplicative,3.01,34.293553518039374
574,0.0101,8.01,multiplicative,4.01,34.299242758936515
516,0.0101,5.01,multiplicative,6.01,34.30522885900845
554,0.0101,7.01,multiplicative,4.01,34.3106817673805
550,0.0101,7.01,multiplicative,0.01,34.31920231652603
453,0.0101,2.01,multiplicative,3.01,34.322045818714685
598,0.0101,9.01,multiplicative,8.01,34.324427334616274
577,0.0101,8.01,multiplicative,7.01,34.325048613421195
