,crypto,yhat_sum,MACD_cross_buy,MACD_cross_sell
41,WOO,0.270392473123386,False,False
2,ALGO,0.20371744543619905,False,False
37,SOL,0.1876949450773673,False,False
33,RARE,0.15331179568900272,False,False
18,FORTH,0.10556816308673453,False,False
19,ICP,0.09886713520329181,False,False
5,ATOM,0.09701242645782779,False,False
0,ACH,0.09535163768795313,False,False
42,XMR,0.08895308971118963,False,False
34,REQ,0.08179526252332747,False,False
27,NYM,0.07937146100888391,False,False
40,TRIBE,0.06748559074613793,False,False
11,CVC,0.06172158418916382,False,False
9,CHR,0.0580724517295194,False,False
36,SNX,0.054435058925905944,False,False
4,ANT,0.05293387311197236,False,False
7,BAT,0.05292831422714391,False,False
26,NMR,0.049581120875051586,False,False
31,QTUM,0.048500255935758116,False,False
1,ADX,0.04353229558302743,False,False
15,ETH,0.03973276036773008,False,False
25,MSOL,0.03828389246618565,False,False
45,ZEC,0.03816143914303807,False,False
10,COTI,0.03814409628383321,False,False
39,TOKE,0.034361393183069064,False,False
16,EWT,0.02865264032018447,False,False
14,ETC,0.027861081416368474,False,False
30,QNT,0.027859988929749023,False,False
28,OXY,0.027494911011449203,False,False
23,LTC,0.02638801205941332,False,False
17,FIL,0.025750434113983343,False,False
29,PHA,0.02565211617102414,False,False
8,BOND,0.024649351870608915,False,False
22,LSK,0.023132789949228766,False,False
13,ENS,0.01983312513365398,False,False
3,ALICE,0.01676565875724035,False,False
35,SCRT,0.015373499882488435,False,False
12,ENJ,0.014306221107110407,False,False
43,XRP,0.014172012076744931,False,False
24,MATIC,0.013227843826171676,False,False
20,INJ,0.009823441515911314,False,False
44,XTZ,0.007384107343429322,False,False
6,BAND,0.006594270381289646,False,False
38,STEP,0.005829878478342332,False,False
32,RAD,0.00578008223571606,False,False
21,JASMY,0.0001650932002739692,False,False
